,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년07월_계_총인구수,"42,512","7,208","1,124","10,365","1,630","2,145","3,976","2,230","4,538","2,134","3,345","3,817"
2020년07월_계_연령구간인구수,"42,512","7,208","1,124","10,365","1,630","2,145","3,976","2,230","4,538","2,134","3,345","3,817"
2020년07월_계_0~9세,"1,558",464,49,479,36,50,130,63,131,37,56,63
2020년07월_계_10~19세,"2,311",677,22,715,56,75,174,67,265,46,106,108
2020년07월_계_20~29세,"2,902",596,56,897,87,119,225,131,280,131,185,195
2020년07월_계_30~39세,"2,905",672,99,868,94,111,265,108,263,107,144,174
2020년07월_계_40~49세,"4,490","1,026",101,"1,348",137,169,352,157,458,196,260,286
2020년07월_계_50~59세,"7,506","1,243",171,"1,799",281,341,725,447,787,440,596,676
2020년07월_계_60~69세,"9,431","1,218",270,"2,066",440,528,930,571,"1,052",515,841,"1,000"
2020년07월_계_70~79세,"6,577",768,192,"1,316",305,434,641,402,748,355,667,749
2020년07월_계_80~89세,"4,233",469,147,778,171,272,474,255,470,271,420,506
2020년07월_계_90~99세,580,70,15,96,23,46,57,29,82,36,66,60
2020년07월_계_100세 이상,19,5,2,3,0,0,3,0,2,0,4,0
2020년07월_남_총인구수,"20,859","3,506",564,"5,087",794,"1,016","1,948","1,097","2,199","1,040","1,689","1,919"
2020년07월_남_연령구간인구수,"20,859","3,506",564,"5,087",794,"1,016","1,948","1,097","2,199","1,040","1,689","1,919"
2020년07월_남_0~9세,795,238,24,237,11,30,64,35,67,24,34,31
2020년07월_남_10~19세,"1,182",336,17,359,38,34,79,25,143,31,63,57
2020년07월_남_20~29세,"1,733",341,34,523,55,75,140,83,162,72,116,132
2020년07월_남_30~39세,"1,544",331,53,460,56,65,148,58,123,58,82,110
2020년07월_남_40~49세,"2,513",535,69,734,86,95,212,81,252,97,165,187
2020년07월_남_50~59세,"3,936",620,88,931,148,176,379,228,416,243,345,362
2020년07월_남_60~69세,"4,728",609,130,"1,022",203,263,461,312,505,285,429,509
2020년07월_남_70~79세,"2,978",334,86,567,140,191,293,178,378,140,316,355
2020년07월_남_80~89세,"1,328",143,60,236,55,76,152,95,140,81,128,162
2020년07월_남_90~99세,121,19,2,18,2,11,20,2,13,9,11,14
2020년07월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"21,653","3,702",560,"5,278",836,"1,129","2,028","1,133","2,339","1,094","1,656","1,898"
2020년07월_여_연령구간인구수,"21,653","3,702",560,"5,278",836,"1,129","2,028","1,133","2,339","1,094","1,656","1,898"
2020년07월_여_0~9세,763,226,25,242,25,20,66,28,64,13,22,32
2020년07월_여_10~19세,"1,129",341,5,356,18,41,95,42,122,15,43,51
2020년07월_여_20~29세,"1,169",255,22,374,32,44,85,48,118,59,69,63
2020년07월_여_30~39세,"1,361",341,46,408,38,46,117,50,140,49,62,64
2020년07월_여_40~49세,"1,977",491,32,614,51,74,140,76,206,99,95,99
2020년07월_여_50~59세,"3,570",623,83,868,133,165,346,219,371,197,251,314
2020년07월_여_60~69세,"4,703",609,140,"1,044",237,265,469,259,547,230,412,491
2020년07월_여_70~79세,"3,599",434,106,749,165,243,348,224,370,215,351,394
2020년07월_여_80~89세,"2,905",326,87,542,116,196,322,160,330,190,292,344
2020년07월_여_90~99세,459,51,13,78,21,35,37,27,69,27,55,46
2020년07월_여_100세 이상,18,5,1,3,0,0,3,0,2,0,4,0
