카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년01월_계_총인구수,"53,835","22,043","4,851","7,060","1,781","1,802","1,382","2,426","2,432","4,112","5,346",408,192
2020년01월_계_연령구간인구수,"53,835","22,043","4,851","7,060","1,781","1,802","1,382","2,426","2,432","4,112","5,346",408,192
2020년01월_계_0~9세,"3,811","2,128",195,669,74,85,53,102,85,144,254,10,12
2020년01월_계_10~19세,"4,363","2,422",275,569,123,78,60,202,66,174,377,14,3
2020년01월_계_20~29세,"5,204","2,500",374,853,147,142,100,185,143,249,477,25,9
2020년01월_계_30~39세,"5,028","2,408",284,950,128,123,116,138,142,276,431,21,11
2020년01월_계_40~49세,"6,797","3,428",493,908,179,152,105,264,189,381,601,71,26
2020년01월_계_50~59세,"8,838","3,431",838,"1,173",297,302,263,403,365,706,934,89,37
2020년01월_계_60~69세,"8,221","2,772",864,863,307,319,275,388,449,896,932,105,51
2020년01월_계_70~79세,"7,218","1,925",950,700,300,321,246,436,561,851,855,40,33
2020년01월_계_80~89세,"3,802",882,512,334,191,240,145,271,390,385,418,25,9
2020년01월_계_90~99세,515,134,59,36,33,39,19,34,39,50,63,8,1
2020년01월_계_100세 이상,38,13,7,5,2,1,0,3,3,0,4,0,0
2020년01월_남_총인구수,"26,816","10,789","2,433","3,706",944,871,680,"1,233","1,157","2,024","2,615",249,115
2020년01월_남_연령구간인구수,"26,816","10,789","2,433","3,706",944,871,680,"1,233","1,157","2,024","2,615",249,115
2020년01월_남_0~9세,"1,942","1,072",98,368,43,44,21,46,45,67,127,4,7
2020년01월_남_10~19세,"2,269","1,237",148,284,90,39,30,114,37,86,194,7,3
2020년01월_남_20~29세,"2,871","1,325",223,487,87,65,52,111,78,151,270,18,4
2020년01월_남_30~39세,"2,640","1,146",169,531,75,64,61,86,80,168,238,15,7
2020년01월_남_40~49세,"3,873","1,769",313,512,117,101,71,169,119,263,366,53,20
2020년01월_남_50~59세,"4,804","1,726",499,680,173,171,142,259,213,381,477,59,24
2020년01월_남_60~69세,"4,075","1,321",426,442,170,164,145,186,220,430,479,63,29
2020년01월_남_70~79세,"3,064",882,374,292,122,138,108,176,222,365,343,23,19
2020년01월_남_80~89세,"1,174",282,166,103,57,76,46,80,138,104,113,7,2
2020년01월_남_90~99세,100,29,14,6,10,9,4,6,5,9,8,0,0
2020년01월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년01월_여_총인구수,"27,019","11,254","2,418","3,354",837,931,702,"1,193","1,275","2,088","2,731",159,77
2020년01월_여_연령구간인구수,"27,019","11,254","2,418","3,354",837,931,702,"1,193","1,275","2,088","2,731",159,77
2020년01월_여_0~9세,"1,869","1,056",97,301,31,41,32,56,40,77,127,6,5
2020년01월_여_10~19세,"2,094","1,185",127,285,33,39,30,88,29,88,183,7,0
2020년01월_여_20~29세,"2,333","1,175",151,366,60,77,48,74,65,98,207,7,5
2020년01월_여_30~39세,"2,388","1,262",115,419,53,59,55,52,62,108,193,6,4
2020년01월_여_40~49세,"2,924","1,659",180,396,62,51,34,95,70,118,235,18,6
2020년01월_여_50~59세,"4,034","1,705",339,493,124,131,121,144,152,325,457,30,13
2020년01월_여_60~69세,"4,146","1,451",438,421,137,155,130,202,229,466,453,42,22
2020년01월_여_70~79세,"4,154","1,043",576,408,178,183,138,260,339,486,512,17,14
2020년01월_여_80~89세,"2,628",600,346,231,134,164,99,191,252,281,305,18,7
2020년01월_여_90~99세,415,105,45,30,23,30,15,28,34,41,55,8,1
2020년01월_여_100세 이상,34,13,4,4,2,1,0,3,3,0,4,0,0
