카테고리,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년01월_계_총인구수,"494,175","24,551","15,560","30,252","29,260","16,975","35,164","33,977","15,334","26,112","18,332","22,821","18,327","23,826","22,721","21,831","15,772","17,513","23,599","23,565","31,136","27,547"
2021년01월_계_연령구간인구수,"494,175","24,551","15,560","30,252","29,260","16,975","35,164","33,977","15,334","26,112","18,332","22,821","18,327","23,826","22,721","21,831","15,772","17,513","23,599","23,565","31,136","27,547"
2021년01월_계_0~9세,"22,109","1,195","1,278","2,028","1,185",685,"1,269","2,129",419,"1,147","1,012",671,602,817,784,359,"1,218",660,717,883,"1,751","1,300"
2021년01월_계_10~19세,"28,399","1,469","1,139","2,936","1,369",827,"1,664","2,653",577,"1,582",808,849,851,"1,079","1,131",474,"1,430",855,992,"1,517","2,298","1,899"
2021년01월_계_20~29세,"108,625","4,685","1,855","3,980","7,418","5,518","11,139","5,478","4,443","5,786","3,937","6,471","4,385","5,739","5,768","8,336","1,731","4,053","6,100","2,869","4,809","4,125"
2021년01월_계_30~39세,"86,722","4,075","2,593","3,915","6,037","3,540","6,792","5,362","2,993","4,960","3,694","4,567","3,290","4,734","3,919","5,625","1,892","3,271","4,772","2,653","4,293","3,745"
2021년01월_계_40~49세,"68,220","3,406","2,506","5,044","3,695","2,017","4,048","5,283","1,745","3,600","2,308","2,760","2,283","3,273","2,974","2,491","2,949","2,264","3,567","3,357","4,709","3,941"
2021년01월_계_50~59세,"68,024","3,401","2,326","4,804","3,479","1,660","3,928","4,874","1,826","3,494","2,550","2,814","2,432","3,139","3,240","1,772","2,567","2,395","3,196","4,211","5,002","4,914"
2021년01월_계_60~69세,"59,467","3,327","1,995","3,902","3,181","1,349","3,329","4,340","1,700","2,942","2,246","2,526","2,250","2,785","2,601","1,462","2,149","2,205","2,307","4,140","4,651","4,080"
2021년01월_계_70~79세,"37,251","2,156","1,231","2,522","2,105",961,"2,168","2,762","1,140","1,848","1,313","1,542","1,570","1,586","1,635",940,"1,296","1,256","1,351","2,680","2,650","2,539"
2021년01월_계_80~89세,"13,254",726,538,948,677,362,709,959,432,663,401,555,568,574,583,311,468,482,520,"1,048",846,884
2021년01월_계_90~99세,"1,780",102,75,143,96,45,98,120,49,80,60,56,81,80,71,45,59,64,65,178,108,105
2021년01월_계_100세 이상,324,9,24,30,18,11,20,17,10,10,3,10,15,20,15,16,13,8,12,29,19,15
2021년01월_남_총인구수,"247,853","12,035","7,615","14,628","14,210","8,559","16,909","16,606","7,319","12,699","8,837","11,722","9,181","13,089","11,375","11,398","7,755","8,860","14,223","11,786","15,238","13,809"
2021년01월_남_연령구간인구수,"247,853","12,035","7,615","14,628","14,210","8,559","16,909","16,606","7,319","12,699","8,837","11,722","9,181","13,089","11,375","11,398","7,755","8,860","14,223","11,786","15,238","13,809"
2021년01월_남_0~9세,"11,350",610,672,"1,062",618,359,619,"1,134",229,586,532,343,280,422,417,178,614,330,365,465,870,645
2021년01월_남_10~19세,"14,510",773,585,"1,536",674,395,815,"1,345",280,830,377,444,425,550,608,231,719,432,508,813,"1,147","1,023"
2021년01월_남_20~29세,"52,878","2,247",979,"1,988","3,341","2,650","4,896","2,605","1,833","2,724","1,770","3,270","2,209","3,192","2,733","4,032",896,"1,846","3,620","1,528","2,387","2,132"
