카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년09월_계_총인구수,"439,719","16,976","23,786","15,624","15,367","24,645","15,304","16,023","18,836","23,516","15,588","25,787","36,498","17,166","39,879","27,003","19,965","20,286","13,964","17,848","35,658"
2020년09월_계_연령구간인구수,"439,719","16,976","23,786","15,624","15,367","24,645","15,304","16,023","18,836","23,516","15,588","25,787","36,498","17,166","39,879","27,003","19,965","20,286","13,964","17,848","35,658"
2020년09월_계_0~9세,"29,428",803,"1,183",572,850,"2,088",460,"1,011","1,454","1,526",671,"1,764","4,078","1,504","2,760","2,151","1,137",946,620,"1,806","2,044"
2020년09월_계_10~19세,"37,769","1,241","1,977",972,"1,369","2,850",891,993,"1,842","1,911","1,018","2,211","4,875","1,429","3,749","2,646","1,512","1,605",933,"1,447","2,298"
2020년09월_계_20~29세,"67,151","2,785","4,287","4,496","2,094","3,019","5,081","2,780","2,327","3,249","3,102","3,244","3,488","2,154","5,855","3,058","3,590","3,041","1,923","2,332","5,246"
2020년09월_계_30~39세,"60,552","2,523","3,370","2,528","1,990","3,072","2,064","2,686","2,718","3,135","1,917","3,412","4,837","2,557","5,281","3,602","2,746","2,461","1,720","2,883","5,050"
2020년09월_계_40~49세,"70,532","2,591","3,761","2,042","2,229","4,595","1,709","2,459","3,312","3,665","1,997","4,233","7,978","2,987","6,514","4,633","2,883","2,931","1,996","2,790","5,227"
2020년09월_계_50~59세,"69,637","2,769","3,690","1,927","2,755","4,043","2,072","2,588","2,848","3,783","2,390","4,168","4,940","2,763","6,369","4,268","3,053","3,866","2,487","2,829","6,029"
2020년09월_계_60~69세,"54,528","2,063","2,724","1,451","2,159","2,696","1,492","1,882","2,224","3,315","2,176","3,590","3,262","2,093","4,694","3,536","2,625","2,993","2,171","2,164","5,218"
2020년09월_계_70~79세,"33,681","1,372","1,847","1,096","1,283","1,464","1,017","1,093","1,413","2,006","1,508","2,169","2,083","1,148","2,934","2,166","1,617","1,650","1,447","1,142","3,226"
2020년09월_계_80~89세,"14,032",677,808,451,552,685,446,447,608,796,682,847,807,450,"1,443",823,696,693,557,388,"1,176"
2020년09월_계_90~99세,"2,029",138,105,71,73,122,58,68,76,112,118,126,124,63,237,96,95,86,82,53,126
2020년09월_계_100세 이상,380,14,34,18,13,11,14,16,14,18,9,23,26,18,43,24,11,14,28,14,18
2020년09월_남_총인구수,"212,151","7,924","11,329","6,580","7,173","11,741","7,747","7,743","9,084","11,396","7,726","12,468","17,370","8,306","19,647","13,048","9,592","9,903","6,895","8,846","17,633"
2020년09월_남_연령구간인구수,"212,151","7,924","11,329","6,580","7,173","11,741","7,747","7,743","9,084","11,396","7,726","12,468","17,370","8,306","19,647","13,048","9,592","9,903","6,895","8,846","17,633"
2020년09월_남_0~9세,"15,026",376,613,278,403,"1,073",234,509,769,773,337,933,"2,098",804,"1,427","1,094",588,454,303,917,"1,043"
2020년09월_남_10~19세,"19,171",663,"1,021",430,657,"1,427",465,492,906,992,518,"1,148","2,384",748,"2,029","1,274",767,832,476,738,"1,204"
2020년09월_남_20~29세,"32,422","1,278","1,926","1,458",970,"1,500","2,680","1,359","1,164","1,642","1,724","1,667","1,653","1,042","3,094","1,463","1,535","1,573",948,"1,150","2,596"
2020년09월_남_30~39세,"30,125","1,190","1,661","1,176",988,"1,427","1,148","1,367","1,325","1,605","1,074","1,647","2,189","1,232","2,623","1,779","1,416","1,333",918,"1,414","2,613"
2020년09월_남_40~49세,"34,731","1,246","1,834",978,"1,047","2,173",878,"1,243","1,612","1,800",986,"2,101","3,831","1,424","3,190","2,325","1,469","1,433","1,057","1,404","2,700"
2020년09월_남_50~59세,"34,285","1,301","1,863",948,"1,314","1,940","1,026","1,233","1,411","1,823","1,172","2,003","2,507","1,369","3,199","2,108","1,536","1,844","1,266","1,462","2,960"
2020년09월_남_60~69세,"25,644",963,"1,288",645,999,"1,270",703,888,"1,032","1,529",985,"1,642","1,469",996,"2,216","1,686","1,270","1,435","1,039","1,044","2,545"
2020년09월_남_70~79세,"14,727",588,781,467,563,631,429,469,604,882,636,956,912,496,"1,265",967,710,717,642,543,"1,469"
