카테고리,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020년01월_계_총인구수,"39,555","18,632","2,204","1,600","1,701","2,435","2,092","4,631","1,455","1,867","1,577","1,361"
2020년01월_계_연령구간인구수,"39,555","18,632","2,204","1,600","1,701","2,435","2,092","4,631","1,455","1,867","1,577","1,361"
2020년01월_계_0~9세,"1,938","1,395",41,32,25,69,64,153,25,52,47,35
2020년01월_계_10~19세,"3,124","1,998",121,74,79,155,102,268,50,111,81,85
2020년01월_계_20~29세,"3,286","1,958",116,79,103,209,125,277,98,133,92,96
2020년01월_계_30~39세,"2,755","1,733",94,67,72,143,120,265,59,85,62,55
2020년01월_계_40~49세,"4,634","2,720",216,151,113,245,186,460,104,171,139,129
2020년01월_계_50~59세,"7,091","3,282",470,329,289,404,363,750,284,324,319,277
2020년01월_계_60~69세,"6,873","2,571",468,315,341,495,417,932,363,368,348,255
2020년01월_계_70~79세,"5,580","1,801",392,315,369,399,407,815,238,350,273,221
2020년01월_계_80~89세,"3,717","1,034",242,206,250,279,278,610,207,245,187,179
2020년01월_계_90~99세,526,131,41,31,54,36,30,93,27,27,29,27
2020년01월_계_100세 이상,31,9,3,1,6,1,0,8,0,1,0,2
2020년01월_남_총인구수,"19,058","9,038","1,046",794,788,"1,207","1,010","2,189",690,874,773,649
2020년01월_남_연령구간인구수,"19,058","9,038","1,046",794,788,"1,207","1,010","2,189",690,874,773,649
2020년01월_남_0~9세,990,713,19,16,10,35,31,79,14,26,27,20
2020년01월_남_10~19세,"1,603","1,025",59,35,36,76,47,146,30,54,44,51
2020년01월_남_20~29세,"1,868","1,088",69,43,66,131,84,151,59,70,51,56
2020년01월_남_30~39세,"1,431",857,51,40,43,86,69,145,31,43,37,29
2020년01월_남_40~49세,"2,540","1,388",121,97,71,149,103,284,65,105,81,76
2020년01월_남_50~59세,"3,734","1,700",252,204,151,222,197,394,132,170,158,154
2020년01월_남_60~69세,"3,389","1,193",249,168,176,255,223,441,189,187,178,130
2020년01월_남_70~79세,"2,264",743,149,120,164,154,160,327,100,146,123,78
2020년01월_남_80~89세,"1,115",307,70,66,58,88,89,197,64,63,64,49
2020년01월_남_90~99세,117,23,7,5,12,11,7,21,6,9,10,6
2020년01월_남_100세 이상,7,1,0,0,1,0,0,4,0,1,0,0
2020년01월_여_총인구수,"20,497","9,594","1,158",806,913,"1,228","1,082","2,442",765,993,804,712
2020년01월_여_연령구간인구수,"20,497","9,594","1,158",806,913,"1,228","1,082","2,442",765,993,804,712
2020년01월_여_0~9세,948,682,22,16,15,34,33,74,11,26,20,15
2020년01월_여_10~19세,"1,521",973,62,39,43,79,55,122,20,57,37,34
2020년01월_여_20~29세,"1,418",870,47,36,37,78,41,126,39,63,41,40
2020년01월_여_30~39세,"1,324",876,43,27,29,57,51,120,28,42,25,26
2020년01월_여_40~49세,"2,094","1,332",95,54,42,96,83,176,39,66,58,53
2020년01월_여_50~59세,"3,357","1,582",218,125,138,182,166,356,152,154,161,123
2020년01월_여_60~69세,"3,484","1,378",219,147,165,240,194,491,174,181,170,125
2020년01월_여_70~79세,"3,316","1,058",243,195,205,245,247,488,138,204,150,143
2020년01월_여_80~89세,"2,602",727,172,140,192,191,189,413,143,182,123,130
2020년01월_여_90~99세,409,108,34,26,42,25,23,72,21,18,19,21
2020년01월_여_100세 이상,24,8,3,1,5,1,0,4,0,0,0,2
