,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년03월_계_총인구수,"422,759","16,116","15,932","16,425","19,951","23,096","11,342","20,199","18,579","12,179","15,077","24,164","11,088","11,221","16,910","12,850","14,243","22,434","19,060","11,596","17,335","31,410","27,619","33,933"
2021년03월_계_연령구간인구수,"422,759","16,116","15,932","16,425","19,951","23,096","11,342","20,199","18,579","12,179","15,077","24,164","11,088","11,221","16,910","12,850","14,243","22,434","19,060","11,596","17,335","31,410","27,619","33,933"
2021년03월_계_0~9세,"29,580","1,341","1,114","1,939","1,708","1,787",519,"1,358","1,254","1,087",841,"2,083",534,725,"1,009",970,889,978,"1,081",350,"1,303","2,228","2,020","2,462"
2021년03월_계_10~19세,"50,675","2,087","1,812","2,017","4,444","2,475","1,118","3,912","2,208","1,720","1,423","4,105",858,723,"1,335",987,"1,158","1,846","1,820",659,"1,917","4,676","3,180","4,195"
2021년03월_계_20~29세,"54,732","2,013","2,293","2,101","1,896","2,931","1,871","2,479","2,172","1,263","2,099","2,693","1,764","1,433","2,098","1,243","2,176","3,308","2,514","1,328","2,106","4,342","3,839","4,770"
2021년03월_계_30~39세,"42,446","1,598","2,043","2,086","1,386","2,333","1,185","1,374","1,598","1,125","1,461","1,973","1,331","1,513","2,020","1,509","1,865","2,245","1,906",945,"1,812","2,816","2,913","3,409"
2021년03월_계_40~49세,"72,293","2,849","2,712","3,253","4,985","3,682","1,672","4,496","3,180","2,419","2,161","4,799","1,760","1,793","2,491","1,929","2,331","3,113","2,821","1,276","2,885","5,623","4,475","5,588"
2021년03월_계_50~59세,"75,004","2,813","2,671","2,602","2,877","4,080","2,109","3,400","3,210","1,851","2,937","4,188","1,916","1,946","2,892","2,051","2,757","4,197","3,583","2,183","3,133","5,816","5,040","6,752"
2021년03월_계_60~69세,"52,867","1,726","1,826","1,309","1,381","3,043","1,540","1,683","2,302","1,429","2,162","2,449","1,514","1,645","2,719","2,165","1,822","3,533","2,965","2,412","2,580","3,424","3,492","3,746"
2021년03월_계_70~79세,"28,930","1,079",977,734,844,"1,766",835,"1,002","1,679",872,"1,236","1,183",966,939,"1,512","1,332",831,"2,092","1,456","1,535","1,067","1,532","1,657","1,804"
2021년03월_계_80~89세,"14,238",544,436,329,377,885,446,436,864,367,667,592,397,437,712,562,355,974,823,800,457,836,868,"1,074"
2021년03월_계_90~99세,"1,911",60,46,52,50,112,45,57,109,44,85,94,48,64,117,93,56,145,89,106,70,112,129,128
2021년03월_계_100세 이상,83,6,2,3,3,2,2,2,3,2,5,5,0,3,5,9,3,3,2,2,5,5,6,5
2021년03월_남_총인구수,"204,586","7,676","7,758","7,871","9,799","11,289","5,642","10,601","8,562","5,888","7,035","11,599","5,334","5,569","8,170","6,184","6,966","10,659","8,985","5,280","8,414","15,257","13,697","16,351"
2021년03월_남_연령구간인구수,"204,586","7,676","7,758","7,871","9,799","11,289","5,642","10,601","8,562","5,888","7,035","11,599","5,334","5,569","8,170","6,184","6,966","10,659","8,985","5,280","8,414","15,257","13,697","16,351"
2021년03월_남_0~9세,"15,255",678,575,969,914,935,258,792,597,565,421,"1,069",264,387,536,480,453,513,558,175,657,"1,161","1,023","1,275"
2021년03월_남_10~19세,"26,738","1,011",950,985,"2,353","1,298",626,"2,557","1,002",863,686,"2,093",428,380,695,541,583,"1,038",926,337,"1,032","2,388","1,746","2,220"
2021년03월_남_20~29세,"29,396","1,049","1,161","1,082","1,029","1,613","1,037","1,461","1,151",665,"1,098","1,457",867,731,"1,084",702,"1,164","1,783","1,324",721,"1,160","2,346","2,163","2,548"
2021년03월_남_30~39세,"20,702",703,984,925,606,"1,132",646,615,781,510,710,885,681,798,"1,037",756,923,"1,166",938,492,903,"1,376","1,460","1,675"
2021년03월_남_40~49세,"32,973","1,310","1,254","1,525","2,236","1,695",757,"1,957","1,441","1,155",935,"2,119",857,900,"1,207",935,"1,117","1,418","1,268",617,"1,328","2,464","2,042","2,436"
2021년03월_남_50~59세,"36,294","1,386","1,305","1,313","1,532","1,981","1,043","1,814","1,545",962,"1,359","2,082",953,991,"1,384",961,"1,334","1,920","1,618",984,"1,438","2,774","2,433","3,182"
2021년03월_남_60~69세,"24,960",826,881,625,625,"1,451",725,795,"1,006",648,"1,003","1,149",686,782,"1,277",946,862,"1,594","1,378","1,112","1,224","1,733","1,734","1,898"
2021년03월_남_70~79세,"12,589",461,465,307,354,798,381,423,686,365,534,515,424,409,680,631,381,865,653,602,514,686,730,725
2021년03월_남_80~89세,"5,211",232,172,124,138,357,162,170,328,143,257,211,161,174,254,209,134,332,295,219,147,297,334,361
2021년03월_남_90~99세,447,19,11,16,10,29,6,16,25,12,31,18,13,17,16,22,14,30,26,20,9,30,30,27
2021년03월_남_100세 이상,21,1,0,0,2,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,4
2021년03월_여_총인구수,"218,173","8,440","8,174","8,554","10,152","11,807","5,700","9,598","10,017","6,291","8,042","12,565","5,754","5,652","8,740","6,666","7,277","11,775","10,075","6,316","8,921","16,153","13,922","17,582"
2021년03월_여_연령구간인구수,"218,173","8,440","8,174","8,554","10,152","11,807","5,700","9,598","10,017","6,291","8,042","12,565","5,754","5,652","8,740","6,666","7,277","11,775","10,075","6,316","8,921","16,153","13,922","17,582"
2021년03월_여_0~9세,"14,325",663,539,970,794,852,261,566,657,522,420,"1,014",270,338,473,490,436,465,523,175,646,"1,067",997,"1,187"
2021년03월_여_10~19세,"23,937","1,076",862,"1,032","2,091","1,177",492,"1,355","1,206",857,737,"2,012",430,343,640,446,575,808,894,322,885,"2,288","1,434","1,975"
2021년03월_여_20~29세,"25,336",964,"1,132","1,019",867,"1,318",834,"1,018","1,021",598,"1,001","1,236",897,702,"1,014",541,"1,012","1,525","1,190",607,946,"1,996","1,676","2,222"
2021년03월_여_30~39세,"21,744",895,"1,059","1,161",780,"1,201",539,759,817,615,751,"1,088",650,715,983,753,942,"1,079",968,453,909,"1,440","1,453","1,734"
2021년03월_여_40~49세,"39,320","1,539","1,458","1,728","2,749","1,987",915,"2,539","1,739","1,264","1,226","2,680",903,893,"1,284",994,"1,214","1,695","1,553",659,"1,557","3,159","2,433","3,152"
2021년03월_여_50~59세,"38,710","1,427","1,366","1,289","1,345","2,099","1,066","1,586","1,665",889,"1,578","2,106",963,955,"1,508","1,090","1,423","2,277","1,965","1,199","1,695","3,042","2,607","3,570"
2021년03월_여_60~69세,"27,907",900,945,684,756,"1,592",815,888,"1,296",781,"1,159","1,300",828,863,"1,442","1,219",960,"1,939","1,587","1,300","1,356","1,691","1,758","1,848"
2021년03월_여_70~79세,"16,341",618,512,427,490,968,454,579,993,507,702,668,542,530,832,701,450,"1,227",803,933,553,846,927,"1,079"
2021년03월_여_80~89세,"9,027",312,264,205,239,528,284,266,536,224,410,381,236,263,458,353,221,642,528,581,310,539,534,713
2021년03월_여_90~99세,"1,464",41,35,36,40,83,39,41,84,32,54,76,35,47,101,71,42,115,63,86,61,82,99,101
2021년03월_여_100세 이상,62,5,2,3,1,2,1,1,3,2,4,4,0,3,5,8,2,3,1,1,3,3,4,1
