,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2021년11월_계_총인구수,"387,667","24,032","19,085","14,792","33,525","21,770","24,842","24,150","20,413","19,695","24,946","34,505","18,807","31,713","16,344","38,534","20,514"
2021년11월_계_연령구간인구수,"387,667","24,032","19,085","14,792","33,525","21,770","24,842","24,150","20,413","19,695","24,946","34,505","18,807","31,713","16,344","38,534","20,514"
2021년11월_계_0~9세,"21,419","1,141","1,007","1,389","1,402","1,117","1,011","1,693",761,"1,140","1,006","2,148",965,"1,796",694,"2,949","1,200"
2021년11월_계_10~19세,"25,540","1,464","1,196",880,"1,807","1,172","1,389","1,865",751,"1,266","1,124","3,021","1,153","2,004","1,036","3,778","1,634"
2021년11월_계_20~29세,"54,312","3,209","2,458","1,761","5,203","2,972","3,652","3,412","4,247","2,770","3,625","4,846","2,645","4,192","2,180","4,711","2,429"
2021년11월_계_30~39세,"56,942","3,212","2,665","2,676","5,175","3,269","3,500","3,591","4,471","3,132","3,666","4,720","2,888","4,436","2,015","4,710","2,816"
2021년11월_계_40~49세,"55,755","3,489","2,945","2,293","4,778","3,064","3,358","3,471","2,587","2,720","3,313","5,548","2,757","4,328","2,224","5,842","3,038"
2021년11월_계_50~59세,"67,614","4,757","3,291","2,419","6,157","3,781","4,590","4,215","3,074","3,215","4,742","5,528","3,164","5,677","3,178","6,364","3,462"
2021년11월_계_60~69세,"60,625","3,806","3,022","1,985","5,077","3,652","4,128","3,541","2,592","3,188","4,283","4,882","3,018","5,392","2,868","5,815","3,376"
2021년11월_계_70~79세,"31,161","2,048","1,813",995,"2,744","1,941","2,228","1,565","1,332","1,610","2,154","2,594","1,549","2,653","1,468","2,835","1,632"
2021년11월_계_80~89세,"12,611",789,616,358,"1,069",707,869,704,518,589,940,"1,078",600,"1,069",586,"1,309",810
2021년11월_계_90~99세,"1,608",113,68,36,108,94,113,90,67,63,90,126,65,158,94,211,112
2021년11월_계_100세 이상,80,4,4,0,5,1,4,3,13,2,3,14,3,8,1,10,5
2021년11월_남_총인구수,"191,305","11,996","9,504","7,431","16,615","10,951","12,315","11,776","9,841","9,650","12,790","16,666","9,235","15,876","8,196","18,690","9,773"
2021년11월_남_연령구간인구수,"191,305","11,996","9,504","7,431","16,615","10,951","12,315","11,776","9,841","9,650","12,790","16,666","9,235","15,876","8,196","18,690","9,773"
2021년11월_남_0~9세,"11,029",593,529,686,718,620,522,860,369,579,546,"1,101",495,905,369,"1,520",617
2021년11월_남_10~19세,"12,968",726,622,453,874,602,718,991,401,617,590,"1,523",598,"1,007",469,"1,948",829
2021년11월_남_20~29세,"26,755","1,605","1,275",888,"2,599","1,498","1,827","1,685","1,776","1,355","1,799","2,299","1,286","2,102","1,125","2,404","1,232"
2021년11월_남_30~39세,"29,256","1,689","1,394","1,345","2,732","1,672","1,861","1,815","2,253","1,635","1,933","2,383","1,471","2,295","1,087","2,291","1,400"
2021년11월_남_40~49세,"28,877","1,850","1,560","1,249","2,518","1,648","1,758","1,740","1,349","1,419","1,788","2,732","1,409","2,318","1,141","2,876","1,522"
2021년11월_남_50~59세,"33,456","2,425","1,643","1,224","3,072","1,870","2,267","2,010","1,552","1,530","2,544","2,653","1,574","2,865","1,601","3,010","1,616"
2021년11월_남_60~69세,"29,420","1,850","1,434",984,"2,457","1,812","1,974","1,704","1,270","1,522","2,199","2,282","1,411","2,712","1,456","2,812","1,541"
2021년11월_남_70~79세,"14,192",918,778,456,"1,206",920,"1,007",685,628,740,987,"1,200",725,"1,248",687,"1,304",703
2021년11월_남_80~89세,"4,980",316,248,136,417,288,353,269,222,239,378,461,251,386,243,493,280
2021년11월_남_90~99세,352,24,20,10,20,21,27,17,19,13,25,26,14,35,18,32,31
2021년11월_남_100세 이상,20,0,1,0,2,0,1,0,2,1,1,6,1,3,0,0,2
2021년11월_여_총인구수,"196,362","12,036","9,581","7,361","16,910","10,819","12,527","12,374","10,572","10,045","12,156","17,839","9,572","15,837","8,148","19,844","10,741"
2021년11월_여_연령구간인구수,"196,362","12,036","9,581","7,361","16,910","10,819","12,527","12,374","10,572","10,045","12,156","17,839","9,572","15,837","8,148","19,844","10,741"
2021년11월_여_0~9세,"10,390",548,478,703,684,497,489,833,392,561,460,"1,047",470,891,325,"1,429",583
2021년11월_여_10~19세,"12,572",738,574,427,933,570,671,874,350,649,534,"1,498",555,997,567,"1,830",805
2021년11월_여_20~29세,"27,557","1,604","1,183",873,"2,604","1,474","1,825","1,727","2,471","1,415","1,826","2,547","1,359","2,090","1,055","2,307","1,197"
2021년11월_여_30~39세,"27,686","1,523","1,271","1,331","2,443","1,597","1,639","1,776","2,218","1,497","1,733","2,337","1,417","2,141",928,"2,419","1,416"
2021년11월_여_40~49세,"26,878","1,639","1,385","1,044","2,260","1,416","1,600","1,731","1,238","1,301","1,525","2,816","1,348","2,010","1,083","2,966","1,516"
2021년11월_여_50~59세,"34,158","2,332","1,648","1,195","3,085","1,911","2,323","2,205","1,522","1,685","2,198","2,875","1,590","2,812","1,577","3,354","1,846"
2021년11월_여_60~69세,"31,205","1,956","1,588","1,001","2,620","1,840","2,154","1,837","1,322","1,666","2,084","2,600","1,607","2,680","1,412","3,003","1,835"
2021년11월_여_70~79세,"16,969","1,130","1,035",539,"1,538","1,021","1,221",880,704,870,"1,167","1,394",824,"1,405",781,"1,531",929
