,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년12월_계_총인구수,"1,804,104","657,432","339,718","317,714","267,859","282,276","108,508","80,662","82,450","91,609","25,394","24,036","22,085","27,314","27,810","54,529","52,140"
2020년12월_계_연령구간인구수,"1,804,104","657,432","339,718","317,714","267,859","282,276","108,508","80,662","82,450","91,609","25,394","24,036","22,085","27,314","27,810","54,529","52,140"
2020년12월_계_0~9세,"128,692","54,217","24,846","29,371","20,951","19,166","6,370","5,011","4,307","6,911","1,276","1,212","1,156","1,343","1,521","2,690","2,561"
2020년12월_계_10~19세,"174,963","71,736","36,192","35,544","26,830","27,908","9,664","7,331","6,166","8,311","1,680","1,820","1,658","1,680","2,219","4,237","3,723"
2020년12월_계_20~29세,"211,464","92,971","49,504","43,467","29,721","36,202","10,604","7,569","7,231","8,956","1,969","1,782","1,669","2,101","2,076","4,308","4,305"
2020년12월_계_30~39세,"189,012","81,910","39,993","41,917","30,705","28,467","8,867","6,417","6,645","9,408","1,635","1,700","1,553","1,941","2,001","3,860","3,903"
2020년12월_계_40~49세,"268,277","107,117","53,471","53,646","43,433","41,935","14,824","10,747","9,991","13,548","2,748","2,875","2,582","2,844","3,324","6,164","6,145"
2020년12월_계_50~59세,"299,522","105,997","57,050","48,947","43,964","48,996","18,394","13,704","13,704","15,254","4,516","4,205","3,682","4,688","4,505","9,068","8,845"
2020년12월_계_60~69세,"255,829","76,853","42,407","34,446","37,597","40,484","16,923","12,945","14,562","13,858","4,855","4,392","4,216","4,994","4,832","9,689","9,629"
2020년12월_계_70~79세,"170,340","44,098","23,936","20,162","22,900","24,521","13,403","9,827","11,402","9,267","3,829","3,380","3,136","4,298","4,184","8,387","7,708"
2020년12월_계_80~89세,"91,504","19,593","10,652","8,941","10,068","12,506","8,184","6,121","7,166","5,259","2,491","2,317","2,121","2,984","2,747","5,280","4,667"
2020년12월_계_90~99세,"13,645","2,779","1,585","1,194","1,566","1,985","1,162",949,"1,200",794,367,331,291,419,373,810,619
2020년12월_계_100세 이상,856,161,82,79,124,106,113,41,76,43,28,22,21,22,28,36,35
2020년12월_남_총인구수,"896,874","323,542","165,413","158,129","135,332","140,573","53,791","39,560","40,844","47,077","12,832","11,959","11,000","13,966","13,520","26,964","25,914"
2020년12월_남_연령구간인구수,"896,874","323,542","165,413","158,129","135,332","140,573","53,791","39,560","40,844","47,077","12,832","11,959","11,000","13,966","13,520","26,964","25,914"
2020년12월_남_0~9세,"66,002","27,783","12,785","14,998","10,663","9,812","3,266","2,657","2,228","3,476",626,639,599,715,777,"1,420","1,341"
2020년12월_남_10~19세,"90,603","37,108","18,847","18,261","13,842","14,256","5,131","3,775","3,165","4,339",888,933,847,886,"1,150","2,322","1,961"
2020년12월_남_20~29세,"114,209","48,769","25,620","23,149","16,311","19,713","5,848","4,240","4,034","4,999","1,127",986,938,"1,235","1,142","2,447","2,420"
2020년12월_남_30~39세,"97,465","41,374","20,269","21,105","16,031","14,931","4,716","3,280","3,539","4,841",791,934,808,"1,066",966,"2,079","2,109"
2020년12월_남_40~49세,"138,330","52,475","25,552","26,923","22,797","21,414","7,794","5,490","5,609","7,514","1,601","1,598","1,464","1,736","1,882","3,513","3,443"
2020년12월_남_50~59세,"154,888","52,020","27,536","24,484","23,039","24,863","9,898","7,309","7,446","8,490","2,551","2,320","2,067","2,669","2,454","4,935","4,827"
2020년12월_남_60~69세,"126,312","36,663","20,008","16,655","18,521","20,084","8,394","6,457","7,294","7,184","2,573","2,253","2,143","2,669","2,454","4,803","4,820"
2020년12월_남_70~79세,"75,155","19,611","10,668","8,943","10,316","10,945","5,777","4,132","4,983","4,286","1,762","1,417","1,366","1,899","1,708","3,609","3,344"
2020년12월_남_80~89세,"30,700","7,076","3,760","3,316","3,444","4,070","2,691","1,992","2,261","1,772",814,799,697,984,892,"1,695","1,513"
2020년12월_남_90~99세,"3,033",632,351,281,331,461,254,217,270,168,90,75,67,101,95,140,132
2020년12월_남_100세 이상,177,31,17,14,37,24,22,11,15,8,9,5,4,6,0,1,4
2020년12월_여_총인구수,"907,230","333,890","174,305","159,585","132,527","141,703","54,717","41,102","41,606","44,532","12,562","12,077","11,085","13,348","14,290","27,565","26,226"
2020년12월_여_연령구간인구수,"907,230","333,890","174,305","159,585","132,527","141,703","54,717","41,102","41,606","44,532","12,562","12,077","11,085","13,348","14,290","27,565","26,226"
2020년12월_여_0~9세,"62,690","26,434","12,061","14,373","10,288","9,354","3,104","2,354","2,079","3,435",650,573,557,628,744,"1,270","1,220"
2020년12월_여_10~19세,"84,360","34,628","17,345","17,283","12,988","13,652","4,533","3,556","3,001","3,972",792,887,811,794,"1,069","1,915","1,762"
2020년12월_여_20~29세,"97,255","44,202","23,884","20,318","13,410","16,489","4,756","3,329","3,197","3,957",842,796,731,866,934,"1,861","1,885"
2020년12월_여_30~39세,"91,547","40,536","19,724","20,812","14,674","13,536","4,151","3,137","3,106","4,567",844,766,745,875,"1,035","1,781","1,794"
2020년12월_여_40~49세,"129,947","54,642","27,919","26,723","20,636","20,521","7,030","5,257","4,382","6,034","1,147","1,277","1,118","1,108","1,442","2,651","2,702"
2020년12월_여_50~59세,"144,634","53,977","29,514","24,463","20,925","24,133","8,496","6,395","6,258","6,764","1,965","1,885","1,615","2,019","2,051","4,133","4,018"
2020년12월_여_60~69세,"129,517","40,190","22,399","17,791","19,076","20,400","8,529","6,488","7,268","6,674","2,282","2,139","2,073","2,325","2,378","4,886","4,809"
2020년12월_여_70~79세,"95,185","24,487","13,268","11,219","12,584","13,576","7,626","5,695","6,419","4,981","2,067","1,963","1,770","2,399","2,476","4,778","4,364"
2020년12월_여_80~89세,"60,804","12,517","6,892","5,625","6,624","8,436","5,493","4,129","4,905","3,487","1,677","1,518","1,424","2,000","1,855","3,585","3,154"
