카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2020년01월_계_총인구수,"342,328","342,328"
2020년01월_계_연령구간인구수,"342,328","342,328"
2020년01월_계_0~9세,"47,342","47,342"
2020년01월_계_10~19세,"40,361","40,361"
2020년01월_계_20~29세,"36,452","36,452"
2020년01월_계_30~39세,"61,447","61,447"
2020년01월_계_40~49세,"65,109","65,109"
2020년01월_계_50~59세,"42,665","42,665"
2020년01월_계_60~69세,"27,467","27,467"
2020년01월_계_70~79세,"13,558","13,558"
2020년01월_계_80~89세,"6,804","6,804"
2020년01월_계_90~99세,"1,068","1,068"
2020년01월_계_100세 이상,55,55
2020년01월_남_총인구수,"170,729","170,729"
2020년01월_남_연령구간인구수,"170,729","170,729"
2020년01월_남_0~9세,"24,214","24,214"
2020년01월_남_10~19세,"20,258","20,258"
2020년01월_남_20~29세,"18,418","18,418"
2020년01월_남_30~39세,"29,982","29,982"
2020년01월_남_40~49세,"33,502","33,502"
2020년01월_남_50~59세,"22,062","22,062"
2020년01월_남_60~69세,"13,626","13,626"
2020년01월_남_70~79세,"6,151","6,151"
2020년01월_남_80~89세,"2,264","2,264"
2020년01월_남_90~99세,242,242
2020년01월_남_100세 이상,10,10
2020년01월_여_총인구수,"171,599","171,599"
2020년01월_여_연령구간인구수,"171,599","171,599"
2020년01월_여_0~9세,"23,128","23,128"
2020년01월_여_10~19세,"20,103","20,103"
2020년01월_여_20~29세,"18,034","18,034"
2020년01월_여_30~39세,"31,465","31,465"
2020년01월_여_40~49세,"31,607","31,607"
2020년01월_여_50~59세,"20,603","20,603"
2020년01월_여_60~69세,"13,841","13,841"
2020년01월_여_70~79세,"7,407","7,407"
2020년01월_여_80~89세,"4,540","4,540"
2020년01월_여_90~99세,826,826
2020년01월_여_100세 이상,45,45
