,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년04월_계_총인구수,"82,031","2,642","2,489","2,513","3,567","3,795","1,328","2,533","1,772","1,807","2,634","5,033","2,237","1,882","4,588","1,357","11,110","12,812","11,409","6,523"
2021년04월_계_연령구간인구수,"82,031","2,642","2,489","2,513","3,567","3,795","1,328","2,533","1,772","1,807","2,634","5,033","2,237","1,882","4,588","1,357","11,110","12,812","11,409","6,523"
2021년04월_계_0~9세,"4,172",92,59,66,89,126,43,74,51,51,43,185,70,44,131,44,731,877,975,421
2021년04월_계_10~19세,"6,102",121,101,114,158,199,61,125,76,78,104,303,89,71,193,59,"1,012","1,405","1,338",495
2021년04월_계_20~29세,"7,080",152,122,151,266,263,83,185,87,107,122,421,123,135,315,81,"1,265","1,347","1,280",575
2021년04월_계_30~39세,"6,486",159,123,162,208,265,87,162,102,103,141,325,124,91,270,78,"1,108","1,199","1,158",621
2021년04월_계_40~49세,"9,904",244,221,241,327,379,107,213,171,181,240,562,186,178,427,141,"1,579","1,922","1,829",756
2021년04월_계_50~59세,"13,507",423,350,428,579,657,191,431,270,271,381,946,320,338,844,206,"1,807","2,132","1,864","1,069"
2021년04월_계_60~69세,"14,876",656,600,549,788,780,293,568,392,392,582,"1,009",501,399,"1,010",277,"1,733","1,792","1,455","1,100"
2021년04월_계_70~79세,"11,414",416,491,479,644,645,246,417,333,356,576,776,431,343,789,280,"1,135","1,277",914,866
2021년04월_계_80~89세,"7,218",321,366,272,417,410,187,302,241,221,376,439,347,248,505,161,617,763,496,529
2021년04월_계_90~99세,"1,231",58,55,48,88,70,30,54,48,45,68,64,44,33,97,30,119,98,100,82
2021년04월_계_100세 이상,41,0,1,3,3,1,0,2,1,2,1,3,2,2,7,0,4,0,0,9
2021년04월_남_총인구수,"40,661","1,340","1,230","1,338","1,814","1,855",631,"1,299",889,912,"1,267","2,562","1,102",951,"2,316",702,"5,477","6,211","5,518","3,247"
2021년04월_남_연령구간인구수,"40,661","1,340","1,230","1,338","1,814","1,855",631,"1,299",889,912,"1,267","2,562","1,102",951,"2,316",702,"5,477","6,211","5,518","3,247"
2021년04월_남_0~9세,"2,172",57,33,38,45,65,22,40,32,23,22,95,43,22,59,23,381,452,492,228
2021년04월_남_10~19세,"3,115",71,58,63,87,91,36,62,42,46,51,158,45,41,107,27,491,716,676,247
2021년04월_남_20~29세,"3,963",94,79,94,150,139,50,113,54,67,75,228,74,78,191,52,686,730,688,321
2021년04월_남_30~39세,"3,448",93,73,107,120,141,49,90,60,62,82,182,75,58,159,47,570,604,566,310
2021년04월_남_40~49세,"5,548",149,143,156,216,234,70,135,109,116,157,345,129,119,264,103,822,961,895,425
2021년04월_남_50~59세,"7,378",234,205,277,323,356,101,254,151,158,223,520,179,191,476,119,949,"1,084",986,592
2021년04월_남_60~69세,"7,491",339,299,284,427,401,140,304,194,215,296,531,256,217,527,141,813,859,688,560
2021년04월_남_70~79세,"4,989",195,229,220,293,287,100,194,149,150,229,342,178,147,347,122,522,536,370,379
2021년04월_남_80~89세,"2,285",95,105,90,126,119,57,92,88,66,122,142,117,71,159,57,215,244,145,175
2021년04월_남_90~99세,264,13,5,9,25,21,6,15,10,9,9,19,6,7,27,11,26,25,12,9
2021년04월_남_100세 이상,8,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1
2021년04월_여_총인구수,"41,370","1,302","1,259","1,175","1,753","1,940",697,"1,234",883,895,"1,367","2,471","1,135",931,"2,272",655,"5,633","6,601","5,891","3,276"
2021년04월_여_연령구간인구수,"41,370","1,302","1,259","1,175","1,753","1,940",697,"1,234",883,895,"1,367","2,471","1,135",931,"2,272",655,"5,633","6,601","5,891","3,276"
2021년04월_여_0~9세,"2,000",35,26,28,44,61,21,34,19,28,21,90,27,22,72,21,350,425,483,193
2021년04월_여_10~19세,"2,987",50,43,51,71,108,25,63,34,32,53,145,44,30,86,32,521,689,662,248
2021년04월_여_20~29세,"3,117",58,43,57,116,124,33,72,33,40,47,193,49,57,124,29,579,617,592,254
2021년04월_여_30~39세,"3,038",66,50,55,88,124,38,72,42,41,59,143,49,33,111,31,538,595,592,311
2021년04월_여_40~49세,"4,356",95,78,85,111,145,37,78,62,65,83,217,57,59,163,38,757,961,934,331
2021년04월_여_50~59세,"6,129",189,145,151,256,301,90,177,119,113,158,426,141,147,368,87,858,"1,048",878,477
2021년04월_여_60~69세,"7,385",317,301,265,361,379,153,264,198,177,286,478,245,182,483,136,920,933,767,540
2021년04월_여_70~79세,"6,425",221,262,259,351,358,146,223,184,206,347,434,253,196,442,158,613,741,544,487
2021년04월_여_80~89세,"4,933",226,261,182,291,291,130,210,153,155,254,297,230,177,346,104,402,519,351,354
2021년04월_여_90~99세,967,45,50,39,63,49,24,39,38,36,59,45,38,26,70,19,93,73,88,73
2021년04월_여_100세 이상,33,0,0,3,1,0,0,2,1,2,0,3,2,2,7,0,2,0,0,8
