카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021년12월_계_총인구수,"43,365","13,334","3,639","3,699","1,785","3,112","5,902","3,990","1,531","1,384","2,814","2,175"
2021년12월_계_연령구간인구수,"43,365","13,334","3,639","3,699","1,785","3,112","5,902","3,990","1,531","1,384","2,814","2,175"
2021년12월_계_0~9세,"2,438",934,277,132,46,131,553,154,53,39,65,54
2021년12월_계_10~19세,"3,164","1,226",299,169,67,166,598,248,89,55,155,92
2021년12월_계_20~29세,"3,897","1,237",285,381,123,238,758,364,119,97,183,112
2021년12월_계_30~39세,"3,369","1,059",246,305,120,175,755,260,104,72,140,133
2021년12월_계_40~49세,"5,239","1,899",451,403,170,340,809,477,155,99,240,196
2021년12월_계_50~59세,"7,435","2,182",629,695,341,568,858,791,278,224,461,408
2021년12월_계_60~69세,"7,642","2,089",655,746,379,619,677,768,311,318,564,516
2021년12월_계_70~79세,"5,717","1,614",452,495,273,468,500,531,233,251,512,388
2021년12월_계_80~89세,"3,922",963,302,326,232,369,358,339,162,194,445,232
2021년12월_계_90~99세,528,127,40,47,33,37,35,57,27,34,47,44
2021년12월_계_100세 이상,14,4,3,0,1,1,1,1,0,1,2,0
2021년12월_남_총인구수,"22,206","6,610","1,840","1,999",944,"1,677","3,099","2,027",787,697,"1,406","1,120"
2021년12월_남_연령구간인구수,"22,206","6,610","1,840","1,999",944,"1,677","3,099","2,027",787,697,"1,406","1,120"
2021년12월_남_0~9세,"1,222",491,145,62,20,76,263,65,24,13,37,26
2021년12월_남_10~19세,"1,654",628,161,88,30,96,314,124,49,29,86,49
2021년12월_남_20~29세,"2,329",691,159,225,79,187,468,223,62,64,112,59
2021년12월_남_30~39세,"1,810",520,107,192,80,99,413,144,62,41,78,74
2021년12월_남_40~49세,"2,920","1,007",237,263,107,210,437,267,90,51,139,112
2021년12월_남_50~59세,"4,256","1,210",378,394,208,318,506,439,164,134,269,236
2021년12월_남_60~69세,"4,082","1,028",336,420,219,341,383,428,167,169,300,291
2021년12월_남_70~79세,"2,536",714,210,239,113,211,195,226,105,109,229,185
2021년12월_남_80~89세,"1,279",297,96,104,79,131,109,99,57,79,146,82
2021년12월_남_90~99세,116,24,10,12,9,8,11,11,7,8,10,6
2021년12월_남_100세 이상,2,0,1,0,0,0,0,1,0,0,0,0
2021년12월_여_총인구수,"21,159","6,724","1,799","1,700",841,"1,435","2,803","1,963",744,687,"1,408","1,055"
2021년12월_여_연령구간인구수,"21,159","6,724","1,799","1,700",841,"1,435","2,803","1,963",744,687,"1,408","1,055"
2021년12월_여_0~9세,"1,216",443,132,70,26,55,290,89,29,26,28,28
2021년12월_여_10~19세,"1,510",598,138,81,37,70,284,124,40,26,69,43
2021년12월_여_20~29세,"1,568",546,126,156,44,51,290,141,57,33,71,53
2021년12월_여_30~39세,"1,559",539,139,113,40,76,342,116,42,31,62,59
2021년12월_여_40~49세,"2,319",892,214,140,63,130,372,210,65,48,101,84
2021년12월_여_50~59세,"3,179",972,251,301,133,250,352,352,114,90,192,172
2021년12월_여_60~69세,"3,560","1,061",319,326,160,278,294,340,144,149,264,225
2021년12월_여_70~79세,"3,181",900,242,256,160,257,305,305,128,142,283,203
2021년12월_여_80~89세,"2,643",666,206,222,153,238,249,240,105,115,299,150
2021년12월_여_90~99세,412,103,30,35,24,29,24,46,20,26,37,38
2021년12월_여_100세 이상,12,4,2,0,1,1,1,0,0,1,2,0
