카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년09월_계_총인구수,"51,539","24,562","1,777","1,850","2,767","1,604","1,667",874,"1,448","1,134","1,010","3,618","1,777","3,103","4,348"
2020년09월_계_연령구간인구수,"51,539","24,562","1,777","1,850","2,767","1,604","1,667",874,"1,448","1,134","1,010","3,618","1,777","3,103","4,348"
2020년09월_계_0~9세,"2,676","1,949",46,30,101,26,28,18,37,30,27,148,23,65,148
2020년09월_계_10~19세,"4,073","2,634",89,85,184,68,61,33,63,69,33,274,50,144,286
2020년09월_계_20~29세,"3,950","2,259",80,92,253,91,90,45,101,69,53,264,93,174,286
2020년09월_계_30~39세,"3,972","2,447",94,89,185,71,76,37,83,46,42,251,80,171,300
2020년09월_계_40~49세,"6,495","3,818",178,156,314,136,133,49,132,78,68,424,166,289,554
2020년09월_계_50~59세,"9,184","4,330",301,300,494,286,304,125,266,182,180,649,362,581,824
2020년09월_계_60~69세,"9,571","3,689",455,447,577,347,386,202,305,258,232,783,379,710,801
2020년09월_계_70~79세,"6,789","2,190",321,380,390,312,309,201,230,188,200,504,351,566,647
2020년09월_계_80~89세,"4,188","1,086",184,234,226,231,238,143,199,177,148,279,241,350,452
2020년09월_계_90~99세,623,151,29,37,42,35,42,21,31,36,25,42,31,52,49
2020년09월_계_100세 이상,18,9,0,0,1,1,0,0,1,1,2,0,1,1,1
2020년09월_남_총인구수,"25,847","12,306",913,904,"1,445",786,848,383,706,554,505,"1,782",894,"1,592","2,229"
2020년09월_남_연령구간인구수,"25,847","12,306",913,904,"1,445",786,848,383,706,554,505,"1,782",894,"1,592","2,229"
2020년09월_남_0~9세,"1,358",999,24,17,48,14,13,9,14,16,11,72,11,30,80
2020년09월_남_10~19세,"2,213","1,450",51,47,94,39,31,16,30,37,16,141,27,80,154
2020년09월_남_20~29세,"2,325","1,305",51,57,164,55,55,23,64,41,37,145,52,101,175
2020년09월_남_30~39세,"2,181","1,250",64,55,109,36,47,19,54,29,29,131,53,120,185
2020년09월_남_40~49세,"3,621","2,007",106,98,187,79,80,26,84,49,40,228,101,195,341
2020년09월_남_50~59세,"4,999","2,235",174,172,278,150,186,68,149,102,109,344,216,332,484
2020년09월_남_60~69세,"4,776","1,766",233,206,297,190,203,94,159,133,134,405,204,368,384
2020년09월_남_70~79세,"2,975",932,148,166,180,139,153,84,91,83,79,230,154,260,276
2020년09월_남_80~89세,"1,277",333,57,77,77,76,65,42,58,56,44,80,73,98,141
2020년09월_남_90~99세,118,26,5,9,11,8,15,2,3,8,5,6,3,8,9
2020년09월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년09월_여_총인구수,"25,692","12,256",864,946,"1,322",818,819,491,742,580,505,"1,836",883,"1,511","2,119"
2020년09월_여_연령구간인구수,"25,692","12,256",864,946,"1,322",818,819,491,742,580,505,"1,836",883,"1,511","2,119"
2020년09월_여_0~9세,"1,318",950,22,13,53,12,15,9,23,14,16,76,12,35,68
2020년09월_여_10~19세,"1,860","1,184",38,38,90,29,30,17,33,32,17,133,23,64,132
2020년09월_여_20~29세,"1,625",954,29,35,89,36,35,22,37,28,16,119,41,73,111
2020년09월_여_30~39세,"1,791","1,197",30,34,76,35,29,18,29,17,13,120,27,51,115
2020년09월_여_40~49세,"2,874","1,811",72,58,127,57,53,23,48,29,28,196,65,94,213
2020년09월_여_50~59세,"4,185","2,095",127,128,216,136,118,57,117,80,71,305,146,249,340
2020년09월_여_60~69세,"4,795","1,923",222,241,280,157,183,108,146,125,98,378,175,342,417
2020년09월_여_70~79세,"3,814","1,258",173,214,210,173,156,117,139,105,121,274,197,306,371
2020년09월_여_80~89세,"2,911",753,127,157,149,155,173,101,141,121,104,199,168,252,311
2020년09월_여_90~99세,505,125,24,28,31,27,27,19,28,28,20,36,28,44,40
2020년09월_여_100세 이상,14,6,0,0,1,1,0,0,1,1,1,0,1,1,1
