카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년02월_계_총인구수,"651,211","344,685","25,899","25,084","34,390","33,401","20,122","39,380","27,679","20,876","22,451","39,938","27,772","18,416","9,277","306,526","39,385","22,425","26,113","45,834","6,556","18,840","23,007","47,993","13,408","18,023","36,422","8,520"
2020년02월_계_연령구간인구수,"651,211","344,685","25,899","25,084","34,390","33,401","20,122","39,380","27,679","20,876","22,451","39,938","27,772","18,416","9,277","306,526","39,385","22,425","26,113","45,834","6,556","18,840","23,007","47,993","13,408","18,023","36,422","8,520"
2020년02월_계_0~9세,"46,112","23,862","1,969","1,320","2,155","2,769","1,888","2,987","1,767","1,147","1,655","2,522","1,898","1,242",543,"22,250","2,811","1,347","1,777","3,671",304,"1,412","1,805","4,102",949,"1,037","2,728",307
2020년02월_계_10~19세,"67,189","35,239","2,666","1,778","3,209","3,866","2,608","4,394","3,169","1,925","2,272","4,238","2,896","1,403",815,"31,950","4,210","2,079","2,441","5,708",328,"1,918","2,642","5,315","1,131","1,837","3,944",397
2020년02월_계_20~29세,"105,146","56,601","3,908","4,576","6,152","5,325","3,380","6,101","4,427","3,590","3,612","7,188","4,899","2,233","1,210","48,545","6,048","4,303","5,109","7,875",514,"2,868","3,125","7,509","1,941","2,662","5,891",700
2020년02월_계_30~39세,"85,684","43,658","3,382","4,041","4,956","4,229","2,370","5,086","3,131","2,642","2,552","4,586","3,344","2,339","1,000","42,026","5,370","3,207","4,171","5,491",697,"2,548","3,095","7,329","2,080","2,128","5,252",658
2020년02월_계_40~49세,"111,005","58,556","4,789","4,219","6,041","5,808","3,520","7,280","4,857","3,458","3,870","6,555","3,958","2,765","1,436","52,449","7,318","3,475","3,962","7,957","1,126","2,990","4,199","8,665","2,160","3,201","6,457",939
2020년02월_계_50~59세,"126,363","67,110","4,654","4,676","6,356","6,370","3,671","7,336","5,505","4,291","4,610","8,365","5,918","3,473","1,885","59,253","7,544","4,169","4,732","9,366","1,707","3,732","4,281","8,267","2,547","3,992","7,010","1,906"
2020년02월_계_60~69세,"65,120","34,280","2,424","2,534","2,699","3,136","1,847","3,465","2,662","2,114","2,186","3,883","3,083","2,810","1,437","30,840","3,578","2,248","2,642","3,866","1,002","2,236","2,446","4,076","1,586","1,906","3,281","1,973"
2020년02월_계_70~79세,"28,689","16,261","1,419","1,283","1,533","1,212",569,"1,816","1,393","1,081","1,089","1,618","1,085","1,526",637,"12,428","1,664","1,025",816,"1,191",600,808,925,"1,720",630,819,"1,196","1,034"
