,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년06월_계_총인구수,"51,153","11,079","13,461","4,856","2,260","1,627","2,501","1,480","1,256","1,242","2,124","2,036","2,889","4,342"
2021년06월_계_연령구간인구수,"51,153","11,079","13,461","4,856","2,260","1,627","2,501","1,480","1,256","1,242","2,124","2,036","2,889","4,342"
2021년06월_계_0~9세,"2,216",525,965,153,49,25,63,48,32,29,36,52,42,197
2021년06월_계_10~19세,"3,383",849,"1,477",221,56,60,106,65,46,26,66,78,93,240
2021년06월_계_20~29세,"3,731","1,051","1,285",274,88,82,124,81,55,34,84,94,191,288
2021년06월_계_30~39세,"3,288",870,"1,066",271,119,51,106,72,56,46,85,104,132,310
2021년06월_계_40~49세,"5,587","1,477","1,903",479,154,134,208,96,71,93,145,143,230,454
2021년06월_계_50~59세,"8,314","1,924","2,264",769,305,229,371,201,181,171,317,306,508,768
2021년06월_계_60~69세,"10,422","2,038","2,124","1,084",515,384,538,357,295,319,555,501,731,981
2021년06월_계_70~79세,"8,011","1,463","1,399",928,473,337,500,289,241,286,434,404,562,695
2021년06월_계_80~89세,"5,310",773,822,580,431,269,416,231,242,210,345,300,334,357
2021년06월_계_90~99세,867,103,151,96,69,56,68,39,35,28,55,52,65,50
2021년06월_계_100세 이상,24,6,5,1,1,0,1,1,2,0,2,2,1,2
2021년06월_남_총인구수,"25,270","5,550","6,574","2,432","1,092",796,"1,180",704,602,631,"1,036",983,"1,426","2,264"
2021년06월_남_연령구간인구수,"25,270","5,550","6,574","2,432","1,092",796,"1,180",704,602,631,"1,036",983,"1,426","2,264"
2021년06월_남_0~9세,"1,120",262,484,77,29,9,32,24,17,20,17,27,27,95
2021년06월_남_10~19세,"1,736",441,774,112,35,30,48,29,22,14,31,35,46,119
2021년06월_남_20~29세,"2,156",590,718,156,58,48,68,55,32,22,49,58,124,178
2021년06월_남_30~39세,"1,835",461,524,164,72,30,67,41,32,28,52,65,84,215
2021년06월_남_40~49세,"3,051",779,922,294,96,87,113,58,43,65,85,80,142,287
2021년06월_남_50~59세,"4,546","1,092","1,180",439,156,131,203,108,105,102,165,180,264,421
2021년06월_남_60~69세,"5,111",979,997,555,264,188,253,176,154,153,285,252,356,499
2021년06월_남_70~79세,"3,602",629,638,408,211,157,225,136,107,139,210,186,260,296
2021년06월_남_80~89세,"1,905",292,293,206,156,103,152,70,80,85,131,88,108,141
2021년06월_남_90~99세,207,25,43,21,15,13,19,7,10,3,11,12,15,13
2021년06월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"25,883","5,529","6,887","2,424","1,168",831,"1,321",776,654,611,"1,088","1,053","1,463","2,078"
2021년06월_여_연령구간인구수,"25,883","5,529","6,887","2,424","1,168",831,"1,321",776,654,611,"1,088","1,053","1,463","2,078"
2021년06월_여_0~9세,"1,096",263,481,76,20,16,31,24,15,9,19,25,15,102
2021년06월_여_10~19세,"1,647",408,703,109,21,30,58,36,24,12,35,43,47,121
2021년06월_여_20~29세,"1,575",461,567,118,30,34,56,26,23,12,35,36,67,110
2021년06월_여_30~39세,"1,453",409,542,107,47,21,39,31,24,18,33,39,48,95
2021년06월_여_40~49세,"2,536",698,981,185,58,47,95,38,28,28,60,63,88,167
2021년06월_여_50~59세,"3,768",832,"1,084",330,149,98,168,93,76,69,152,126,244,347
2021년06월_여_60~69세,"5,311","1,059","1,127",529,251,196,285,181,141,166,270,249,375,482
2021년06월_여_70~79세,"4,409",834,761,520,262,180,275,153,134,147,224,218,302,399
2021년06월_여_80~89세,"3,405",481,529,374,275,166,264,161,162,125,214,212,226,216
2021년06월_여_90~99세,660,78,108,75,54,43,49,32,25,25,44,40,50,37
2021년06월_여_100세 이상,23,6,4,1,1,0,1,1,2,0,2,2,1,2
