,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년06월_계_총인구수,"78,610","33,695","9,781","2,543","3,122","3,217","1,758","2,532","6,699","2,550","4,579","3,596","4,538"
2020년06월_계_연령구간인구수,"78,610","33,695","9,781","2,543","3,122","3,217","1,758","2,532","6,699","2,550","4,579","3,596","4,538"
2020년06월_계_0~9세,"3,755","2,193",534,59,72,86,32,60,269,87,132,105,126
2020년06월_계_10~19세,"5,808","3,385",660,99,167,140,61,140,415,143,254,130,214
2020년06월_계_20~29세,"6,935","3,592","1,083",139,158,184,85,197,495,145,279,258,320
2020년06월_계_30~39세,"6,320","3,118","1,096",159,194,145,88,145,479,157,245,226,268
2020년06월_계_40~49세,"9,732","5,077","1,139",242,285,294,152,249,772,239,450,346,487
2020년06월_계_50~59세,"13,913","6,042","1,598",446,488,551,284,469,"1,331",440,810,613,841
2020년06월_계_60~69세,"14,366","5,205","1,577",588,715,683,460,544,"1,362",527,936,788,981
2020년06월_계_70~79세,"10,409","3,229","1,164",462,582,582,343,399,922,448,870,643,765
2020년06월_계_80~89세,"6,522","1,638",827,310,411,496,217,287,570,309,547,441,469
2020년06월_계_90~99세,812,204,96,36,48,55,35,41,79,52,54,46,66
2020년06월_계_100세 이상,38,12,7,3,2,1,1,1,5,3,2,0,1
2020년06월_남_총인구수,"39,464","16,744","4,915","1,317","1,591","1,579",880,"1,314","3,327","1,290","2,320","1,823","2,364"
2020년06월_남_연령구간인구수,"39,464","16,744","4,915","1,317","1,591","1,579",880,"1,314","3,327","1,290","2,320","1,823","2,364"
2020년06월_남_0~9세,"1,936","1,141",264,28,39,46,18,33,138,44,65,55,65
2020년06월_남_10~19세,"2,984","1,711",339,51,98,70,31,77,218,66,129,77,117
2020년06월_남_20~29세,"3,944","1,985",611,80,101,100,47,114,285,95,170,154,202
2020년06월_남_30~39세,"3,534","1,655",614,95,119,81,52,97,264,101,152,135,169
2020년06월_남_40~49세,"5,368","2,591",637,171,169,175,99,164,424,143,279,210,306
2020년06월_남_50~59세,"7,358","3,079",838,252,265,315,148,243,690,248,455,345,480
2020년06월_남_60~69세,"7,086","2,490",766,305,362,357,242,280,669,257,460,405,493
2020년06월_남_70~79세,"4,724","1,460",530,210,267,250,168,182,416,208,405,282,346
2020년06월_남_80~89세,"2,345",582,298,119,164,169,73,112,203,111,196,149,169
2020년06월_남_90~99세,180,48,18,5,7,16,2,11,20,16,9,11,17
2020년06월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년06월_여_총인구수,"39,146","16,951","4,866","1,226","1,531","1,638",878,"1,218","3,372","1,260","2,259","1,773","2,174"
2020년06월_여_연령구간인구수,"39,146","16,951","4,866","1,226","1,531","1,638",878,"1,218","3,372","1,260","2,259","1,773","2,174"
2020년06월_여_0~9세,"1,819","1,052",270,31,33,40,14,27,131,43,67,50,61
2020년06월_여_10~19세,"2,824","1,674",321,48,69,70,30,63,197,77,125,53,97
2020년06월_여_20~29세,"2,991","1,607",472,59,57,84,38,83,210,50,109,104,118
2020년06월_여_30~39세,"2,786","1,463",482,64,75,64,36,48,215,56,93,91,99
2020년06월_여_40~49세,"4,364","2,486",502,71,116,119,53,85,348,96,171,136,181
2020년06월_여_50~59세,"6,555","2,963",760,194,223,236,136,226,641,192,355,268,361
2020년06월_여_60~69세,"7,280","2,715",811,283,353,326,218,264,693,270,476,383,488
2020년06월_여_70~79세,"5,685","1,769",634,252,315,332,175,217,506,240,465,361,419
2020년06월_여_80~89세,"4,177","1,056",529,191,247,327,144,175,367,198,351,292,300
2020년06월_여_90~99세,632,156,78,31,41,39,33,30,59,36,45,35,49
2020년06월_여_100세 이상,33,10,7,2,2,1,1,0,5,2,2,0,1
