카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년01월_계_총인구수,"111,005","17,930","13,074","15,553","7,564","1,607","3,444","2,830","3,531","6,134","5,135","6,439","15,398","6,792","5,313",261
2021년01월_계_연령구간인구수,"111,005","17,930","13,074","15,553","7,564","1,607","3,444","2,830","3,531","6,134","5,135","6,439","15,398","6,792","5,313",261
2021년01월_계_0~9세,"8,067","1,356","1,392","1,924",641,39,89,69,73,161,232,444,"1,021",331,292,3
2021년01월_계_10~19세,"10,278","1,864","1,513","2,048",622,44,146,86,139,308,300,494,"1,666",617,424,7
2021년01월_계_20~29세,"10,758","2,288","1,461","1,557",516,120,275,149,243,393,469,547,"1,612",693,425,10
2021년01월_계_30~39세,"11,805","2,299","1,858","2,330",856,93,184,135,164,440,450,681,"1,327",532,444,12
2021년01월_계_40~49세,"17,716","3,174","2,391","3,098","1,215",163,338,261,331,696,673,964,"2,531","1,132",717,32
2021년01월_계_50~59세,"18,452","3,063","1,951","1,888","1,199",282,608,534,680,"1,075",968,"1,106","2,882","1,281",892,43
2021년01월_계_60~69세,"16,649","2,020","1,279","1,343","1,228",407,761,678,787,"1,454","1,021","1,119","2,318","1,151","1,022",61
2021년01월_계_70~79세,"10,643","1,119",733,830,778,240,600,508,627,"1,072",664,751,"1,345",660,652,64
2021년01월_계_80~89세,"5,786",643,422,466,434,197,390,362,420,467,322,293,636,332,373,29
2021년01월_계_90~99세,818,94,73,68,73,22,50,46,65,66,36,34,59,62,70,0
2021년01월_계_100세 이상,33,10,1,1,2,0,3,2,2,2,0,6,1,1,2,0
2021년01월_남_총인구수,"55,985","9,320","6,595","8,109","3,775",851,"1,759","1,399","1,734","2,994","2,559","3,156","7,491","3,499","2,611",133
2021년01월_남_연령구간인구수,"55,985","9,320","6,595","8,109","3,775",851,"1,759","1,399","1,734","2,994","2,559","3,156","7,491","3,499","2,611",133
2021년01월_남_0~9세,"4,197",711,717,"1,021",301,25,55,42,39,87,118,224,537,158,160,2
2021년01월_남_10~19세,"5,301",907,801,"1,031",337,24,82,51,72,160,168,270,856,325,212,5
2021년01월_남_20~29세,"6,419","1,346",828,974,295,72,178,93,152,239,304,311,932,422,266,7
2021년01월_남_30~39세,"6,363","1,305",964,"1,234",440,58,104,73,92,273,252,358,662,311,231,6
2021년01월_남_40~49세,"9,414","1,715","1,190","1,635",678,103,206,171,212,402,379,514,"1,205",600,378,26
2021년01월_남_50~59세,"9,781","1,634","1,024","1,066",627,173,337,308,388,568,486,555,"1,443",696,450,26
2021년01월_남_60~69세,"8,020","1,005",636,639,593,218,387,330,376,664,471,497,"1,099",576,501,28
2021년01월_남_70~79세,"4,555",474,295,360,347,110,269,213,276,442,280,323,555,295,289,27
2021년01월_남_80~89세,"1,801",205,128,139,143,62,128,110,121,151,96,96,195,106,115,6
2021년01월_남_90~99세,125,17,12,10,13,6,12,7,5,8,5,6,7,9,8,0
2021년01월_남_100세 이상,9,1,0,0,1,0,1,1,1,0,0,2,0,1,1,0
2021년01월_여_총인구수,"55,020","8,610","6,479","7,444","3,789",756,"1,685","1,431","1,797","3,140","2,576","3,283","7,907","3,293","2,702",128
2021년01월_여_연령구간인구수,"55,020","8,610","6,479","7,444","3,789",756,"1,685","1,431","1,797","3,140","2,576","3,283","7,907","3,293","2,702",128
2021년01월_여_0~9세,"3,870",645,675,903,340,14,34,27,34,74,114,220,484,173,132,1
2021년01월_여_10~19세,"4,977",957,712,"1,017",285,20,64,35,67,148,132,224,810,292,212,2
2021년01월_여_20~29세,"4,339",942,633,583,221,48,97,56,91,154,165,236,680,271,159,3
2021년01월_여_30~39세,"5,442",994,894,"1,096",416,35,80,62,72,167,198,323,665,221,213,6
2021년01월_여_40~49세,"8,302","1,459","1,201","1,463",537,60,132,90,119,294,294,450,"1,326",532,339,6
2021년01월_여_50~59세,"8,671","1,429",927,822,572,109,271,226,292,507,482,551,"1,439",585,442,17
2021년01월_여_60~69세,"8,629","1,015",643,704,635,189,374,348,411,790,550,622,"1,219",575,521,33
2021년01월_여_70~79세,"6,088",645,438,470,431,130,331,295,351,630,384,428,790,365,363,37
2021년01월_여_80~89세,"3,985",438,294,327,291,135,262,252,299,316,226,197,441,226,258,23
2021년01월_여_90~99세,693,77,61,58,60,16,38,39,60,58,31,28,52,53,62,0
2021년01월_여_100세 이상,24,9,1,1,1,0,2,1,1,2,0,4,1,0,1,0
