,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년12월_계_총인구수,"36,807","34,917","1,890"
2020년12월_계_연령구간인구수,"36,807","34,917","1,890"
2020년12월_계_0~9세,"3,242","3,203",39
2020년12월_계_10~19세,"3,348","3,272",76
2020년12월_계_20~29세,"4,516","4,391",125
2020년12월_계_30~39세,"4,753","4,652",101
2020년12월_계_40~49세,"5,590","5,393",197
2020년12월_계_50~59세,"6,014","5,680",334
2020년12월_계_60~69세,"4,990","4,502",488
2020년12월_계_70~79세,"2,677","2,386",291
2020년12월_계_80~89세,"1,491","1,283",208
2020년12월_계_90~99세,176,146,30
2020년12월_계_100세 이상,10,9,1
2020년12월_남_총인구수,"19,129","18,132",997
2020년12월_남_연령구간인구수,"19,129","18,132",997
2020년12월_남_0~9세,"1,679","1,655",24
2020년12월_남_10~19세,"1,739","1,705",34
2020년12월_남_20~29세,"2,634","2,558",76
2020년12월_남_30~39세,"2,644","2,585",59
2020년12월_남_40~49세,"3,019","2,892",127
2020년12월_남_50~59세,"3,162","2,974",188
2020년12월_남_60~69세,"2,499","2,229",270
2020년12월_남_70~79세,"1,201","1,061",140
2020년12월_남_80~89세,503,436,67
2020년12월_남_90~99세,45,34,11
2020년12월_남_100세 이상,4,3,1
2020년12월_여_총인구수,"17,678","16,785",893
2020년12월_여_연령구간인구수,"17,678","16,785",893
2020년12월_여_0~9세,"1,563","1,548",15
2020년12월_여_10~19세,"1,609","1,567",42
2020년12월_여_20~29세,"1,882","1,833",49
2020년12월_여_30~39세,"2,109","2,067",42
2020년12월_여_40~49세,"2,571","2,501",70
2020년12월_여_50~59세,"2,852","2,706",146
2020년12월_여_60~69세,"2,491","2,273",218
2020년12월_여_70~79세,"1,476","1,325",151
2020년12월_여_80~89세,988,847,141
2020년12월_여_90~99세,131,112,19
2020년12월_여_100세 이상,6,6,0
