,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021년08월_계_총인구수,"315,599","18,461","24,335","16,374","21,006","8,883","27,201","48,892","20,443","31,808","26,487","30,075","16,855","14,263","10,516"
2021년08월_계_연령구간인구수,"315,599","18,461","24,335","16,374","21,006","8,883","27,201","48,892","20,443","31,808","26,487","30,075","16,855","14,263","10,516"
2021년08월_계_0~9세,"22,903",797,"1,895","1,259","1,734",470,"1,585","3,413","1,114","2,024","2,074","3,294","1,535","1,093",616
2021년08월_계_10~19세,"29,474","1,083","3,051","1,204","2,266",598,"1,998","4,302","1,628","3,348","3,096","3,298","1,811","1,240",551
2021년08월_계_20~29세,"44,264","2,431","3,147","2,079","2,783","1,333","4,171","7,827","3,080","5,683","3,560","3,214","2,181","1,752","1,023"
2021년08월_계_30~39세,"41,236","2,216","2,730","2,062","2,649","1,283","3,848","7,664","2,221","3,517","3,123","4,377","2,298","1,891","1,357"
2021년08월_계_40~49세,"50,104","2,404","4,252","2,448","3,587","1,393","4,058","8,301","2,844","5,004","4,160","5,451","2,570","2,259","1,373"
2021년08월_계_50~59세,"60,790","3,538","4,715","3,265","3,734","1,690","5,201","9,327","4,565","6,596","5,462","4,833","3,245","2,681","1,938"
2021년08월_계_60~69세,"43,347","3,670","2,845","2,562","2,717","1,305","4,133","5,688","3,175","3,697","3,465","3,559","2,237","2,216","2,078"
2021년08월_계_70~79세,"16,912","1,715","1,266","1,058","1,125",598,"1,502","1,776","1,242","1,342","1,115","1,505",725,815,"1,128"
2021년08월_계_80~89세,"5,874",551,380,381,359,194,642,520,514,532,390,494,223,288,406
2021년08월_계_90~99세,675,53,53,55,51,19,60,74,59,65,42,47,28,27,42
2021년08월_계_100세 이상,20,3,1,1,1,0,3,0,1,0,0,3,2,1,4
2021년08월_남_총인구수,"160,976","9,335","12,451","8,342","10,631","4,739","13,739","25,365","10,426","16,317","13,277","15,003","8,429","7,371","5,551"
2021년08월_남_연령구간인구수,"160,976","9,335","12,451","8,342","10,631","4,739","13,739","25,365","10,426","16,317","13,277","15,003","8,429","7,371","5,551"
2021년08월_남_0~9세,"11,768",415,"1,004",635,905,234,811,"1,729",622,"1,046","1,076","1,657",762,555,317
2021년08월_남_10~19세,"15,576",566,"1,639",639,"1,170",318,"1,073","2,279",853,"1,733","1,688","1,707",953,656,302
2021년08월_남_20~29세,"24,704","1,363","1,788","1,145","1,535",777,"2,294","4,292","1,721","3,305","2,030","1,726","1,177",964,587
2021년08월_남_30~39세,"22,069","1,239","1,426","1,103","1,417",728,"2,116","4,220","1,223","1,895","1,593","2,147","1,159","1,020",783
2021년08월_남_40~49세,"24,625","1,309","1,965","1,262","1,734",759,"2,044","4,090","1,431","2,342","1,829","2,679","1,193","1,188",800
2021년08월_남_50~59세,"30,391","1,729","2,431","1,646","1,877",880,"2,491","4,701","2,229","3,283","2,617","2,446","1,616","1,364","1,081"
2021년08월_남_60~69세,"21,576","1,728","1,433","1,261","1,313",668,"2,001","2,921","1,620","1,885","1,758","1,729","1,122","1,114","1,023"
2021년08월_남_70~79세,"8,067",772,609,487,537,297,686,939,545,627,550,727,370,415,506
2021년08월_남_80~89세,"2,084",206,149,156,133,76,211,179,172,189,130,172,74,89,148
2021년08월_남_90~99세,115,8,7,8,10,2,12,15,10,12,6,13,3,5,4
2021년08월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021년08월_여_총인구수,"154,623","9,126","11,884","8,032","10,375","4,144","13,462","23,527","10,017","15,491","13,210","15,072","8,426","6,892","4,965"
2021년08월_여_연령구간인구수,"154,623","9,126","11,884","8,032","10,375","4,144","13,462","23,527","10,017","15,491","13,210","15,072","8,426","6,892","4,965"
2021년08월_여_0~9세,"11,135",382,891,624,829,236,774,"1,684",492,978,998,"1,637",773,538,299
2021년08월_여_10~19세,"13,898",517,"1,412",565,"1,096",280,925,"2,023",775,"1,615","1,408","1,591",858,584,249
2021년08월_여_20~29세,"19,560","1,068","1,359",934,"1,248",556,"1,877","3,535","1,359","2,378","1,530","1,488","1,004",788,436
2021년08월_여_30~39세,"19,167",977,"1,304",959,"1,232",555,"1,732","3,444",998,"1,622","1,530","2,230","1,139",871,574
2021년08월_여_40~49세,"25,479","1,095","2,287","1,186","1,853",634,"2,014","4,211","1,413","2,662","2,331","2,772","1,377","1,071",573
2021년08월_여_50~59세,"30,399","1,809","2,284","1,619","1,857",810,"2,710","4,626","2,336","3,313","2,845","2,387","1,629","1,317",857
2021년08월_여_60~69세,"21,771","1,942","1,412","1,301","1,404",637,"2,132","2,767","1,555","1,812","1,707","1,830","1,115","1,102","1,055"
2021년08월_여_70~79세,"8,845",943,657,571,588,301,816,837,697,715,565,778,355,400,622
2021년08월_여_80~89세,"3,790",345,231,225,226,118,431,341,342,343,260,322,149,199,258
2021년08월_여_90~99세,560,45,46,47,41,17,48,59,49,53,36,34,25,22,38
2021년08월_여_100세 이상,19,3,1,1,1,0,3,0,1,0,0,3,2,0,4
