,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 장단면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년08월_계_총인구수,"476,044","48,420","13,505","10,486","29,954","9,586","13,458","11,319","3,888","7,500",715,"22,133","32,884","27,641","45,678","50,167","63,072","85,638"
2021년08월_계_연령구간인구수,"476,044","48,420","13,505","10,486","29,954","9,586","13,458","11,319","3,888","7,500",715,"22,133","32,884","27,641","45,678","50,167","63,072","85,638"
2021년08월_계_0~9세,"43,519","4,722",622,314,"1,672",171,633,445,84,561,21,"1,074","3,112","2,191","4,281","5,133","8,742","9,741"
2021년08월_계_10~19세,"49,740","4,819",833,680,"2,713",275,980,621,187,508,44,"1,460","4,190","2,729","5,657","6,226","7,731","10,087"
2021년08월_계_20~29세,"58,693","5,663","1,562","1,285","3,655","2,388","1,493","1,232",440,977,56,"3,413","4,193","3,857","5,486","6,260","6,472","10,261"
2021년08월_계_30~39세,"67,606","7,490","1,361",876,"2,942","2,210","1,476",999,229,874,55,"2,845","4,280","3,540","6,229","7,383","11,303","13,514"
2021년08월_계_40~49세,"81,873","7,539","1,736","1,129","4,442","1,009","2,086","1,272",343,796,83,"3,169","5,931","4,341","8,660","9,549","12,608","17,180"
2021년08월_계_50~59세,"75,327","7,042","2,572","2,056","5,846","1,340","2,639","2,298",742,"1,139",140,"4,147","5,324","4,863","7,370","7,613","7,859","12,337"
2021년08월_계_60~69세,"53,301","5,619","2,445","2,107","4,781","1,212","2,174","2,343",845,"1,294",131,"3,296","3,064","3,368","4,423","4,601","4,539","7,059"
2021년08월_계_70~79세,"28,799","3,426","1,381","1,250","2,451",588,"1,148","1,239",578,876,115,"1,738","1,773","1,730","2,227","2,214","2,510","3,555"
2021년08월_계_80~89세,"14,959","1,858",855,690,"1,279",338,710,719,367,397,63,862,892,898,"1,159","1,030","1,146","1,696"
2021년08월_계_90~99세,"2,152",233,129,99,162,55,111,147,69,74,7,126,123,123,182,152,158,202
2021년08월_계_100세 이상,75,9,9,0,11,0,8,4,4,4,0,3,2,1,4,6,4,6
2021년08월_남_총인구수,"241,438","24,780","7,189","5,597","15,210","6,320","7,322","6,183","2,049","4,077",368,"11,785","16,044","14,181","23,101","24,626","30,770","41,836"
2021년08월_남_연령구간인구수,"241,438","24,780","7,189","5,597","15,210","6,320","7,322","6,183","2,049","4,077",368,"11,785","16,044","14,181","23,101","24,626","30,770","41,836"
2021년08월_남_0~9세,"22,226","2,383",330,162,847,80,335,230,49,282,9,560,"1,580","1,088","2,194","2,636","4,469","4,992"
2021년08월_남_10~19세,"25,509","2,487",428,363,"1,358",154,513,340,100,295,18,761,"2,159","1,456","2,948","3,095","3,886","5,148"
2021년08월_남_20~29세,"31,374","3,150",949,805,"1,975","1,633",876,766,289,636,28,"1,945","2,110","2,122","2,899","3,061","3,087","5,043"
2021년08월_남_30~39세,"35,658","4,120",767,500,"1,601","1,786",880,604,137,500,27,"1,664","2,160","1,897","3,192","3,693","5,565","6,565"
