카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년01월_계_총인구수,"818,760","78,158","17,349","83,126","39,303","7,382","5,848","6,823","10,922","7,089","9,824","10,273","4,059","11,287","18,859","43,535","28,247","24,523","31,701","13,853","23,468","50,344","35,752","41,789","53,390","37,402","28,918","74,216","21,320"
2020년01월_계_연령구간인구수,"818,760","78,158","17,349","83,126","39,303","7,382","5,848","6,823","10,922","7,089","9,824","10,273","4,059","11,287","18,859","43,535","28,247","24,523","31,701","13,853","23,468","50,344","35,752","41,789","53,390","37,402","28,918","74,216","21,320"
2020년01월_계_0~9세,"105,610","8,587","1,028","10,968","4,111",350,257,274,501,184,330,444,115,455,"3,464","4,753","2,911","2,733","4,550","1,481","1,983","6,599","4,704","6,352","9,916","6,090","4,434","14,350","3,686"
2020년01월_계_10~19세,"93,208","9,657","1,472","9,737","3,409",533,334,428,819,334,470,638,174,821,"1,766","4,075","3,260","4,023","3,855","1,947","2,349","7,075","6,442","5,320","8,431","3,745","2,696","7,615","1,783"
2020년01월_계_20~29세,"97,224","9,402","1,807","9,704","5,241",847,615,726,"1,010",562,"1,008","1,008",410,"1,313","2,267","6,885","4,531","2,837","4,010","1,616","3,072","7,152","3,616","5,656","4,195","3,958","4,020","7,206","2,550"
2020년01월_계_30~39세,"149,761","11,346","1,704","16,038","6,847",690,506,751,902,543,"1,031",914,391,"1,133","4,415","9,360","4,659","3,395","5,997","1,686","3,177","9,629","4,595","8,833","10,095","9,299","7,491","18,443","5,891"
2020년01월_계_40~49세,"156,100","15,318","2,792","16,367","6,429","1,052",694,995,"1,470",838,"1,506","1,343",495,"1,725","3,439","7,649","5,185","5,453","5,819","2,807","4,060","10,526","8,719","8,380","12,927","7,148","5,157","14,206","3,601"
2020년01월_계_50~59세,"108,521","11,766","3,460","10,284","6,249","1,563","1,272","1,442","2,189","1,632","2,319","2,246",967,"2,376","2,304","5,583","3,921","3,098","4,283","2,155","4,162","5,897","4,448","3,832","4,977","3,756","2,930","7,296","2,114"
2020년01월_계_60~69세,"62,479","7,060","2,557","5,670","4,044","1,231","1,070","1,133","1,936","1,573","1,755","1,883",793,"1,826",876,"3,117","2,179","1,588","2,125","1,255","2,776","2,166","1,861","1,920","1,857","2,113","1,406","3,530","1,179"
2020년01월_계_70~79세,"30,290","3,469","1,595","2,843","1,925",725,651,687,"1,238",820,842,"1,093",437,999,216,"1,457","1,137",929,727,635,"1,273",900,981,"1,078",698,940,542,"1,104",349
2020년01월_계_80~89세,"13,604","1,326",826,"1,344",919,347,379,339,729,518,491,637,250,555,96,567,417,410,284,241,550,354,335,371,252,313,207,404,143
2020년01월_계_90~99세,"1,852",214,103,161,126,41,67,44,120,76,67,60,26,74,16,87,45,56,49,28,58,44,48,46,42,38,34,58,24
2020년01월_계_100세 이상,111,13,5,10,3,3,3,4,8,9,5,7,1,10,0,2,2,1,2,2,8,2,3,1,0,2,1,4,0
