카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년06월_계_총인구수,"252,602","5,401","24,444","9,350","21,926","4,260","6,265","4,702","3,244","3,188","21,714","6,150","5,679","5,150","6,379","13,751","4,620","14,699","5,811","23,730","28,404","22,313","9,691","1,731"
2021년06월_계_연령구간인구수,"252,602","5,401","24,444","9,350","21,926","4,260","6,265","4,702","3,244","3,188","21,714","6,150","5,679","5,150","6,379","13,751","4,620","14,699","5,811","23,730","28,404","22,313","9,691","1,731"
2021년06월_계_0~9세,"15,818",135,"1,093",321,"1,346",215,264,92,48,62,"2,350",184,273,198,164,416,90,"1,116",353,"2,845","2,401","1,167",639,46
2021년06월_계_10~19세,"20,427",231,"1,980",502,"1,194",184,320,199,84,128,"2,392",305,309,311,309,798,184,"1,629",329,"2,611","3,582","2,189",573,84
2021년06월_계_20~29세,"26,223",339,"2,231",697,"2,181",445,584,272,133,167,"2,247",470,506,521,596,"1,939",347,"1,881",454,"2,613","3,701","2,916",808,175
2021년06월_계_30~39세,"24,973",323,"1,699",651,"2,613",451,501,239,126,156,"2,938",346,580,471,525,"1,238",270,"1,417",500,"3,347","3,148","2,240","1,080",114
2021년06월_계_40~49세,"36,248",594,"3,242","1,004","2,995",366,704,400,189,284,"3,768",690,691,631,732,"1,753",480,"2,501",742,"4,306","5,105","3,547","1,322",202
2021년06월_계_50~59세,"46,558",985,"4,931","1,652","4,376",650,"1,296",855,563,549,"3,633","1,232","1,044",831,"1,130","2,316",808,"2,791","1,009","4,018","5,404","4,438","1,729",318
2021년06월_계_60~69세,"42,496","1,250","4,491","2,084","3,928",850,"1,367","1,156","1,019",767,"2,515","1,362","1,115","1,066","1,438","2,685","1,064","1,863","1,139","2,458","3,160","3,506","1,815",398
2021년06월_계_70~79세,"24,699",938,"2,912","1,471","2,002",600,740,827,647,656,"1,164",901,720,752,970,"1,831",802,944,793,964,"1,208","1,555","1,050",252
2021년06월_계_80~89세,"13,292",523,"1,670",859,"1,113",430,407,587,388,375,624,573,393,339,453,681,510,489,424,488,600,664,579,123
2021년06월_계_90~99세,"1,800",78,187,104,171,65,80,73,47,42,80,85,47,30,60,92,57,67,66,76,95,86,94,18
2021년06월_계_100세 이상,68,5,8,5,7,4,2,2,0,2,3,2,1,0,2,2,8,1,2,4,0,5,2,1
2021년06월_남_총인구수,"126,429","2,704","12,106","4,739","11,577","2,230","3,339","2,356","1,606","1,595","10,714","3,117","2,961","2,553","3,096","6,820","2,287","7,368","2,867","11,705","13,916","11,149","4,768",856
2021년06월_남_연령구간인구수,"126,429","2,704","12,106","4,739","11,577","2,230","3,339","2,356","1,606","1,595","10,714","3,117","2,961","2,553","3,096","6,820","2,287","7,368","2,867","11,705","13,916","11,149","4,768",856
