카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2021년10월_계_총인구수,"36,701","15,002","4,840","3,306","2,314","2,805","1,218","2,064","1,043","1,388","2,721"
2021년10월_계_연령구간인구수,"36,701","15,002","4,840","3,306","2,314","2,805","1,218","2,064","1,043","1,388","2,721"
2021년10월_계_0~9세,"1,855","1,224",138,124,77,78,33,37,13,30,101
2021년10월_계_10~19세,"2,627","1,519",280,197,117,124,45,93,28,65,159
2021년10월_계_20~29세,"2,885","1,552",305,203,119,182,61,130,58,87,188
2021년10월_계_30~39세,"2,553","1,452",262,170,129,157,60,88,45,46,144
2021년10월_계_40~49세,"3,852","2,029",398,303,197,243,86,145,86,117,248
2021년10월_계_50~59세,"6,139","2,452",802,565,344,481,201,366,239,249,440
2021년10월_계_60~69세,"6,738","2,200","1,014",679,517,592,275,400,252,246,563
2021년10월_계_70~79세,"5,347","1,477",885,558,400,475,203,392,176,252,529
2021년10월_계_80~89세,"4,011",923,648,435,341,381,226,368,124,246,319
2021년10월_계_90~99세,669,162,104,71,70,91,26,44,22,49,30
2021년10월_계_100세 이상,25,12,4,1,3,1,2,1,0,1,0
2021년10월_남_총인구수,"17,854","7,332","2,346","1,594","1,119","1,362",588,979,528,682,"1,324"
2021년10월_남_연령구간인구수,"17,854","7,332","2,346","1,594","1,119","1,362",588,979,528,682,"1,324"
2021년10월_남_0~9세,924,605,76,47,41,49,13,18,3,18,54
2021년10월_남_10~19세,"1,393",795,156,105,63,71,23,43,18,32,87
2021년10월_남_20~29세,"1,630",860,178,118,74,101,31,74,33,46,115
2021년10월_남_30~39세,"1,354",724,144,91,78,96,35,52,29,24,81
2021년10월_남_40~49세,"2,121","1,016",229,189,122,140,56,97,54,71,147
2021년10월_남_50~59세,"3,392","1,303",442,321,193,275,124,208,142,154,230
2021년10월_남_60~69세,"3,354","1,055",516,339,271,301,140,209,131,133,259
2021년10월_남_70~79세,"2,299",647,367,240,169,203,93,162,78,105,235
2021년10월_남_80~89세,"1,255",297,212,128,97,111,67,107,35,89,112
2021년10월_남_90~99세,127,28,25,16,11,15,5,9,5,9,4
2021년10월_남_100세 이상,5,2,1,0,0,0,1,0,0,1,0
2021년10월_여_총인구수,"18,847","7,670","2,494","1,712","1,195","1,443",630,"1,085",515,706,"1,397"
2021년10월_여_연령구간인구수,"18,847","7,670","2,494","1,712","1,195","1,443",630,"1,085",515,706,"1,397"
2021년10월_여_0~9세,931,619,62,77,36,29,20,19,10,12,47
2021년10월_여_10~19세,"1,234",724,124,92,54,53,22,50,10,33,72
2021년10월_여_20~29세,"1,255",692,127,85,45,81,30,56,25,41,73
2021년10월_여_30~39세,"1,199",728,118,79,51,61,25,36,16,22,63
2021년10월_여_40~49세,"1,731","1,013",169,114,75,103,30,48,32,46,101
2021년10월_여_50~59세,"2,747","1,149",360,244,151,206,77,158,97,95,210
2021년10월_여_60~69세,"3,384","1,145",498,340,246,291,135,191,121,113,304
2021년10월_여_70~79세,"3,048",830,518,318,231,272,110,230,98,147,294
2021년10월_여_80~89세,"2,756",626,436,307,244,270,159,261,89,157,207
2021년10월_여_90~99세,542,134,79,55,59,76,21,35,17,40,26
2021년10월_여_100세 이상,20,10,3,1,3,1,1,1,0,0,0
