,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년07월_계_총인구수,"370,185","25,283","37,274","21,313","21,691","14,365","16,246","22,650","24,954","25,051","17,612","20,395","18,737","15,187","19,002","39,738","30,687"
2021년07월_계_연령구간인구수,"370,185","25,283","37,274","21,313","21,691","14,365","16,246","22,650","24,954","25,051","17,612","20,395","18,737","15,187","19,002","39,738","30,687"
2021년07월_계_0~9세,"24,195","2,744","2,221","1,453","2,160",649,"1,423","1,692","1,775",806,974,984,"1,125",585,891,"2,369","2,344"
2021년07월_계_10~19세,"28,041","1,660","2,233","1,556","2,049",840,"1,496","1,839","1,735","1,195",923,"1,293","1,547",769,"1,427","3,382","4,097"
2021년07월_계_20~29세,"61,919","3,109","6,216","2,904","2,224","3,520","2,403","3,376","5,028","6,288","3,365","3,370","2,825","3,240","3,140","6,585","4,326"
2021년07월_계_30~39세,"63,793","4,921","6,511","3,594","3,662","2,400","2,571","3,622","4,127","5,373","3,636","3,840","2,905","3,035","3,259","6,566","3,771"
2021년07월_계_40~49세,"60,498","4,303","5,342","3,116","4,360","2,050","2,992","3,816","3,948","3,674","2,626","3,201","3,197","2,247","3,298","6,371","5,957"
2021년07월_계_50~59세,"54,568","3,807","6,254","3,442","3,014","2,030","2,415","3,587","3,651","3,078","2,341","2,967","2,814","1,970","2,835","5,839","4,524"
2021년07월_계_60~69세,"40,576","2,800","4,559","2,743","2,206","1,486","1,521","2,476","2,548","2,271","1,944","2,438","2,213","1,725","2,235","4,348","3,063"
2021년07월_계_70~79세,"23,649","1,175","2,505","1,522","1,285",857,898,"1,460","1,363","1,492","1,191","1,563","1,461","1,016","1,302","2,865","1,694"
2021년07월_계_80~89세,"11,256",650,"1,275",850,625,451,461,683,685,739,527,649,581,515,557,"1,218",790
2021년07월_계_90~99세,"1,583",104,145,132,103,70,54,94,92,126,82,85,63,80,55,187,111
