카테고리,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년10월_계_총인구수,"142,444","6,536","7,101","4,231","52,807","30,409","2,359","35,097","3,904"
2021년10월_계_연령구간인구수,"142,444","6,536","7,101","4,231","52,807","30,409","2,359","35,097","3,904"
2021년10월_계_0~9세,"19,872",178,466,79,"9,731","4,917",51,"4,330",120
2021년10월_계_10~19세,"12,732",266,468,124,"4,596","4,427",61,"2,654",136
2021년10월_계_20~29세,"12,665",597,854,323,"4,530","2,380",181,"3,499",301
2021년10월_계_30~39세,"27,038",566,872,338,"13,037","4,639",191,"7,037",358
2021년10월_계_40~49세,"25,640",653,908,325,"9,898","6,862",193,"6,365",436
2021년10월_계_50~59세,"17,130","1,186","1,061",800,"4,844","3,380",436,"4,634",789
2021년10월_계_60~69세,"16,939","1,658","1,367","1,314","4,146","2,583",617,"4,247","1,007"
2021년10월_계_70~79세,"7,145",971,718,622,"1,423",889,403,"1,637",482
2021년10월_계_80~89세,"2,794",399,332,257,512,276,191,599,228
2021년10월_계_90~99세,466,60,53,46,81,55,33,95,43
2021년10월_계_100세 이상,23,2,2,3,9,1,2,0,4
2021년10월_남_총인구수,"73,811","3,594","3,998","2,269","26,580","15,177","1,252","18,890","2,051"
2021년10월_남_연령구간인구수,"73,811","3,594","3,998","2,269","26,580","15,177","1,252","18,890","2,051"
2021년10월_남_0~9세,"10,311",87,257,43,"4,996","2,565",24,"2,273",66
2021년10월_남_10~19세,"6,482",142,247,64,"2,256","2,267",36,"1,404",66
2021년10월_남_20~29세,"6,915",349,568,210,"2,256","1,232",103,"2,007",190
2021년10월_남_30~39세,"13,776",334,514,203,"6,408","2,093",115,"3,887",222
2021년10월_남_40~49세,"14,235",408,555,210,"5,420","3,486",123,"3,775",258
2021년10월_남_50~59세,"8,890",674,616,430,"2,336","1,738",246,"2,437",413
2021년10월_남_60~69세,"8,563",928,741,715,"1,986","1,236",325,"2,123",509
2021년10월_남_70~79세,"3,577",509,367,304,729,443,208,775,242
2021년10월_남_80~89세,965,151,127,80,173,101,65,190,78
2021년10월_남_90~99세,91,12,5,9,17,15,7,19,7
2021년10월_남_100세 이상,6,0,1,1,3,1,0,0,0
2021년10월_여_총인구수,"68,633","2,942","3,103","1,962","26,227","15,232","1,107","16,207","1,853"
2021년10월_여_연령구간인구수,"68,633","2,942","3,103","1,962","26,227","15,232","1,107","16,207","1,853"
2021년10월_여_0~9세,"9,561",91,209,36,"4,735","2,352",27,"2,057",54
2021년10월_여_10~19세,"6,250",124,221,60,"2,340","2,160",25,"1,250",70
2021년10월_여_20~29세,"5,750",248,286,113,"2,274","1,148",78,"1,492",111
2021년10월_여_30~39세,"13,262",232,358,135,"6,629","2,546",76,"3,150",136
2021년10월_여_40~49세,"11,405",245,353,115,"4,478","3,376",70,"2,590",178
2021년10월_여_50~59세,"8,240",512,445,370,"2,508","1,642",190,"2,197",376
2021년10월_여_60~69세,"8,376",730,626,599,"2,160","1,347",292,"2,124",498
2021년10월_여_70~79세,"3,568",462,351,318,694,446,195,862,240
2021년10월_여_80~89세,"1,829",248,205,177,339,175,126,409,150
2021년10월_여_90~99세,375,48,48,37,64,40,26,76,36
2021년10월_여_100세 이상,17,2,1,2,6,0,2,0,4
