카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021년11월_계_총인구수,"43,518","13,371","3,648","3,700","1,791","3,117","5,948","4,008","1,528","1,376","2,849","2,182"
2021년11월_계_연령구간인구수,"43,518","13,371","3,648","3,700","1,791","3,117","5,948","4,008","1,528","1,376","2,849","2,182"
2021년11월_계_0~9세,"2,495",952,281,136,47,132,575,158,52,40,66,56
2021년11월_계_10~19세,"3,168","1,217",303,166,68,174,592,248,94,51,161,94
2021년11월_계_20~29세,"3,936","1,247",284,373,123,236,789,379,114,91,186,114
2021년11월_계_30~39세,"3,418","1,089",252,305,120,172,761,261,105,76,140,137
2021년11월_계_40~49세,"5,245","1,903",452,399,176,342,804,479,152,96,247,195
2021년11월_계_50~59세,"7,443","2,186",625,699,342,569,855,787,279,225,468,408
2021년11월_계_60~69세,"7,635","2,082",658,756,373,616,677,762,308,316,567,520
2021년11월_계_70~79세,"5,731","1,606",447,493,275,474,502,538,236,258,517,385
2021년11월_계_80~89세,"3,898",953,301,324,232,365,355,340,161,190,446,231
2021년11월_계_90~99세,532,132,42,48,34,36,37,55,27,32,49,40
2021년11월_계_100세 이상,17,4,3,1,1,1,1,1,0,1,2,2
2021년11월_남_총인구수,"22,272","6,620","1,850","2,007",943,"1,667","3,131","2,031",788,690,"1,421","1,124"
2021년11월_남_연령구간인구수,"22,272","6,620","1,850","2,007",943,"1,667","3,131","2,031",788,690,"1,421","1,124"
2021년11월_남_0~9세,"1,251",496,148,64,20,77,278,68,24,12,37,27
2021년11월_남_10~19세,"1,658",623,164,88,30,95,314,123,51,28,92,50
2021년11월_남_20~29세,"2,334",693,156,223,79,182,484,228,62,58,109,60
2021년11월_남_30~39세,"1,829",535,114,192,78,94,412,145,62,44,77,76
2021년11월_남_40~49세,"2,939","1,011",238,262,112,214,439,270,88,49,144,112
2021년11월_남_50~59세,"4,265","1,216",377,399,206,319,507,434,165,134,272,236
2021년11월_남_60~69세,"4,064","1,016",335,427,217,337,380,423,166,167,302,294
2021년11월_남_70~79세,"2,546",712,210,235,111,214,199,232,106,113,230,184
2021년11월_남_80~89세,"1,270",294,96,105,81,127,107,97,57,78,148,80
2021년11월_남_90~99세,114,24,11,12,9,8,11,10,7,7,10,5
2021년11월_남_100세 이상,2,0,1,0,0,0,0,1,0,0,0,0
2021년11월_여_총인구수,"21,246","6,751","1,798","1,693",848,"1,450","2,817","1,977",740,686,"1,428","1,058"
2021년11월_여_연령구간인구수,"21,246","6,751","1,798","1,693",848,"1,450","2,817","1,977",740,686,"1,428","1,058"
2021년11월_여_0~9세,"1,244",456,133,72,27,55,297,90,28,28,29,29
2021년11월_여_10~19세,"1,510",594,139,78,38,79,278,125,43,23,69,44
2021년11월_여_20~29세,"1,602",554,128,150,44,54,305,151,52,33,77,54
2021년11월_여_30~39세,"1,589",554,138,113,42,78,349,116,43,32,63,61
2021년11월_여_40~49세,"2,306",892,214,137,64,128,365,209,64,47,103,83
2021년11월_여_50~59세,"3,178",970,248,300,136,250,348,353,114,91,196,172
2021년11월_여_60~69세,"3,571","1,066",323,329,156,279,297,339,142,149,265,226
2021년11월_여_70~79세,"3,185",894,237,258,164,260,303,306,130,145,287,201
2021년11월_여_80~89세,"2,628",659,205,219,151,238,248,243,104,112,298,151
2021년11월_여_90~99세,418,108,31,36,25,28,26,45,20,25,39,35
2021년11월_여_100세 이상,15,4,2,1,1,1,1,0,0,1,2,2
