카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년04월_계_총인구수,"103,782","7,325","3,235","2,976","5,492","4,245","4,669","4,628","5,223","2,909","3,203","4,580","8,225","5,392","7,969","19,384","14,327"
2021년04월_계_연령구간인구수,"103,782","7,325","3,235","2,976","5,492","4,245","4,669","4,628","5,223","2,909","3,203","4,580","8,225","5,392","7,969","19,384","14,327"
2021년04월_계_0~9세,"5,622",263,99,69,164,147,196,119,165,70,77,183,439,340,304,"1,369","1,618"
2021년04월_계_10~19세,"8,074",391,115,128,279,199,360,218,281,157,92,319,679,583,530,"2,040","1,703"
2021년04월_계_20~29세,"11,017",463,221,188,313,335,455,281,368,183,157,584,933,718,848,"3,174","1,796"
2021년04월_계_30~39세,"9,291",471,189,181,302,317,349,251,335,142,170,370,829,525,684,"2,280","1,896"
2021년04월_계_40~49세,"13,183",753,269,235,475,472,583,432,522,249,303,561,"1,157",775,"1,003","2,985","2,409"
2021년04월_계_50~59세,"18,076","1,282",593,471,"1,014",950,940,767,918,506,594,793,"1,388",854,"1,533","3,251","2,222"
2021년04월_계_60~69세,"18,888","1,773",751,678,"1,387","1,021",890,"1,157","1,170",681,884,800,"1,444",867,"1,539","2,402","1,444"
2021년04월_계_70~79세,"11,382","1,121",543,530,874,502,497,729,800,477,546,590,844,448,957,"1,201",723
2021년04월_계_80~89세,"7,143",718,398,420,589,255,342,575,566,396,322,321,452,242,511,598,438
2021년04월_계_90~99세,"1,068",88,54,73,94,46,57,98,92,44,53,59,55,38,60,82,75
2021년04월_계_100세 이상,38,2,3,3,1,1,0,1,6,4,5,0,5,2,0,2,3
2021년04월_남_총인구수,"51,925","3,701","1,661","1,534","2,811","2,228","2,408","2,407","2,715","1,461","1,437","2,289","4,031","2,694","4,015","9,444","7,089"
2021년04월_남_연령구간인구수,"51,925","3,701","1,661","1,534","2,811","2,228","2,408","2,407","2,715","1,461","1,437","2,289","4,031","2,694","4,015","9,444","7,089"
2021년04월_남_0~9세,"2,914",147,45,36,85,91,93,65,89,38,37,96,236,178,158,708,812
2021년04월_남_10~19세,"4,171",200,76,62,150,115,179,124,138,75,50,177,332,284,271,"1,036",902
2021년04월_남_20~29세,"6,046",284,127,123,182,189,273,173,221,94,97,310,494,365,493,"1,637",984
2021년04월_남_30~39세,"4,992",287,108,106,162,183,193,143,209,89,84,212,462,284,402,"1,164",904
2021년04월_남_40~49세,"6,963",436,168,144,285,248,327,272,325,150,132,308,614,397,543,"1,448","1,166"
2021년04월_남_50~59세,"9,319",639,340,270,592,512,506,414,519,283,255,401,688,440,793,"1,562","1,105"
2021년04월_남_60~69세,"9,472",904,396,367,706,533,467,624,607,357,405,390,677,447,748,"1,113",731
2021년04월_남_70~79세,"5,240",519,258,252,433,238,243,353,389,212,236,259,358,221,406,536,327
2021년04월_남_80~89세,"2,521",264,123,157,192,105,117,208,190,152,124,118,156,74,183,221,137
2021년04월_남_90~99세,279,20,20,17,23,14,10,31,28,10,17,18,13,3,18,17,20
2021년04월_남_100세 이상,8,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,1
2021년04월_여_총인구수,"51,857","3,624","1,574","1,442","2,681","2,017","2,261","2,221","2,508","1,448","1,766","2,291","4,194","2,698","3,954","9,940","7,238"
2021년04월_여_연령구간인구수,"51,857","3,624","1,574","1,442","2,681","2,017","2,261","2,221","2,508","1,448","1,766","2,291","4,194","2,698","3,954","9,940","7,238"
2021년04월_여_0~9세,"2,708",116,54,33,79,56,103,54,76,32,40,87,203,162,146,661,806
2021년04월_여_10~19세,"3,903",191,39,66,129,84,181,94,143,82,42,142,347,299,259,"1,004",801
2021년04월_여_20~29세,"4,971",179,94,65,131,146,182,108,147,89,60,274,439,353,355,"1,537",812
2021년04월_여_30~39세,"4,299",184,81,75,140,134,156,108,126,53,86,158,367,241,282,"1,116",992
2021년04월_여_40~49세,"6,220",317,101,91,190,224,256,160,197,99,171,253,543,378,460,"1,537","1,243"
2021년04월_여_50~59세,"8,757",643,253,201,422,438,434,353,399,223,339,392,700,414,740,"1,689","1,117"
2021년04월_여_60~69세,"9,416",869,355,311,681,488,423,533,563,324,479,410,767,420,791,"1,289",713
2021년04월_여_70~79세,"6,142",602,285,278,441,264,254,376,411,265,310,331,486,227,551,665,396
2021년04월_여_80~89세,"4,622",454,275,263,397,150,225,367,376,244,198,203,296,168,328,377,301
2021년04월_여_90~99세,789,68,34,56,71,32,47,67,64,34,36,41,42,35,42,65,55
2021년04월_여_100세 이상,30,1,3,3,0,1,0,1,6,3,5,0,4,1,0,0,2
