,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년08월_계_총인구수,"234,640","6,100","10,078","11,596","8,304","8,785","16,951","16,440","13,333","18,075","27,604","2,382","10,164","29,961","19,645","34,128","1,094"
2020년08월_계_연령구간인구수,"234,640","6,100","10,078","11,596","8,304","8,785","16,951","16,440","13,333","18,075","27,604","2,382","10,164","29,961","19,645","34,128","1,094"
2020년08월_계_0~9세,"13,436",111,376,369,281,316,914,"1,213",562,965,"2,723",75,539,"1,291","1,352","2,265",84
2020년08월_계_10~19세,"18,085",295,512,589,370,482,"1,453","1,356",827,"1,270","2,487",115,700,"2,216","1,907","3,393",113
2020년08월_계_20~29세,"33,671",582,"1,170","1,269",853,922,"2,574","2,335","1,612","5,657","3,474",208,"1,137","4,648","2,578","4,568",84
2020년08월_계_30~39세,"25,884",520,"1,039","1,157",818,857,"1,819","2,081","1,511","2,004","3,875",196,987,"3,124","2,224","3,593",79
2020년08월_계_40~49세,"32,597",795,"1,233","1,377","1,004","1,169","2,409","2,368","1,825","2,197","4,743",241,"1,301","3,811","2,975","4,976",173
2020년08월_계_50~59세,"41,212","1,200","2,058","2,374","1,654","1,511","3,024","2,848","2,329","2,309","3,825",490,"1,813","5,713","3,643","6,245",176
2020년08월_계_60~69세,"38,251","1,379","2,154","2,406","1,899","1,796","2,602","2,426","2,607","1,993","3,333",538,"1,915","4,978","2,844","5,162",219
2020년08월_계_70~79세,"21,606",837,"1,105","1,469","1,052","1,233","1,444","1,175","1,505","1,139","2,024",344,"1,200","2,896","1,456","2,623",104
2020년08월_계_80~89세,"8,554",337,374,524,324,453,628,549,489,478,854,154,504,"1,129",584,"1,123",50
2020년08월_계_90~99세,"1,145",33,42,51,45,43,77,84,64,53,168,17,64,147,75,172,10
2020년08월_계_100세 이상,199,11,15,11,4,3,7,5,2,10,98,4,4,8,7,8,2
2020년08월_남_총인구수,"114,665","3,093","5,048","5,813","4,382","4,235","8,136","7,853","6,419","9,268","13,305","1,261","4,984","14,667","9,333","16,334",534
2020년08월_남_연령구간인구수,"114,665","3,093","5,048","5,813","4,382","4,235","8,136","7,853","6,419","9,268","13,305","1,261","4,984","14,667","9,333","16,334",534
2020년08월_남_0~9세,"6,915",59,186,190,157,172,491,614,285,463,"1,438",41,275,672,687,"1,147",38
2020년08월_남_10~19세,"9,259",158,263,297,203,239,748,672,444,632,"1,352",62,363,"1,125",922,"1,717",62
2020년08월_남_20~29세,"18,218",334,648,717,468,513,"1,320","1,213",867,"3,242","1,823",123,659,"2,528","1,346","2,368",49
2020년08월_남_30~39세,"13,411",310,576,656,470,464,927,"1,039",804,"1,106","1,824",120,510,"1,698","1,104","1,766",37
2020년08월_남_40~49세,"16,221",465,675,768,605,648,"1,130","1,125",930,"1,122","2,349",132,627,"1,893","1,388","2,277",87
2020년08월_남_50~59세,"19,525",631,"1,012","1,167",851,706,"1,409","1,318","1,068","1,105","1,757",265,862,"2,670","1,676","2,942",86
2020년08월_남_60~69세,"17,882",628,"1,023","1,166",977,793,"1,226","1,126","1,147",895,"1,502",290,879,"2,336","1,336","2,447",111
2020년08월_남_70~79세,"9,837",383,520,637,519,539,635,529,677,513,902,171,576,"1,301",664,"1,225",46
2020년08월_남_80~89세,"3,079",119,131,204,122,143,229,193,184,174,302,49,208,409,197,401,14
2020년08월_남_90~99세,277,5,10,11,9,16,20,22,13,14,33,7,25,34,12,43,3
2020년08월_남_100세 이상,41,1,4,0,1,2,1,2,0,2,23,1,0,1,1,1,1
2020년08월_여_총인구수,"119,975","3,007","5,030","5,783","3,922","4,550","8,815","8,587","6,914","8,807","14,299","1,121","5,180","15,294","10,312","17,794",560
2020년08월_여_연령구간인구수,"119,975","3,007","5,030","5,783","3,922","4,550","8,815","8,587","6,914","8,807","14,299","1,121","5,180","15,294","10,312","17,794",560
2020년08월_여_0~9세,"6,521",52,190,179,124,144,423,599,277,502,"1,285",34,264,619,665,"1,118",46
2020년08월_여_10~19세,"8,826",137,249,292,167,243,705,684,383,638,"1,135",53,337,"1,091",985,"1,676",51
2020년08월_여_20~29세,"15,453",248,522,552,385,409,"1,254","1,122",745,"2,415","1,651",85,478,"2,120","1,232","2,200",35
2020년08월_여_30~39세,"12,473",210,463,501,348,393,892,"1,042",707,898,"2,051",76,477,"1,426","1,120","1,827",42
2020년08월_여_40~49세,"16,376",330,558,609,399,521,"1,279","1,243",895,"1,075","2,394",109,674,"1,918","1,587","2,699",86
2020년08월_여_50~59세,"21,687",569,"1,046","1,207",803,805,"1,615","1,530","1,261","1,204","2,068",225,951,"3,043","1,967","3,303",90
2020년08월_여_60~69세,"20,369",751,"1,131","1,240",922,"1,003","1,376","1,300","1,460","1,098","1,831",248,"1,036","2,642","1,508","2,715",108
2020년08월_여_70~79세,"11,769",454,585,832,533,694,809,646,828,626,"1,122",173,624,"1,595",792,"1,398",58
2020년08월_여_80~89세,"5,475",218,243,320,202,310,399,356,305,304,552,105,296,720,387,722,36
2020년08월_여_90~99세,868,28,32,40,36,27,57,62,51,39,135,10,39,113,63,129,7
2020년08월_여_100세 이상,158,10,11,11,3,1,6,3,2,8,75,3,4,7,6,7,1
