카테고리,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년02월_계_총인구수,"232,827","21,216","42,050","19,373","25,076","15,906","34,139","22,392","11,323","21,246","20,106"
2020년02월_계_연령구간인구수,"232,827","21,216","42,050","19,373","25,076","15,906","34,139","22,392","11,323","21,246","20,106"
2020년02월_계_0~9세,"13,529",770,"3,315",988,"1,135",699,"2,061","1,708",610,"1,222","1,021"
2020년02월_계_10~19세,"15,545",743,"2,363","1,322","1,495","1,070","2,421","2,235",757,"1,622","1,517"
2020년02월_계_20~29세,"36,391","5,450","7,373","2,822","3,904","2,333","4,959","2,602","1,481","2,828","2,639"
2020년02월_계_30~39세,"35,652","4,847","8,494","2,550","3,515","2,045","4,927","2,619","1,507","2,731","2,417"
2020년02월_계_40~49세,"34,115","2,690","6,186","2,800","3,553","2,313","5,185","3,673","1,616","3,111","2,988"
2020년02월_계_50~59세,"41,174","2,978","6,212","3,961","4,991","3,334","6,055","3,868","2,072","4,021","3,682"
2020년02월_계_60~69세,"31,805","2,231","4,601","2,883","3,754","2,398","4,655","3,109","1,862","3,271","3,041"
2020년02월_계_70~79세,"17,593","1,107","2,508","1,506","1,955","1,269","2,772","1,779","1,020","1,755","1,922"
2020년02월_계_80~89세,"6,068",347,876,457,655,381,944,668,350,606,784
2020년02월_계_90~99세,785,43,106,68,98,49,138,95,45,65,78
2020년02월_계_100세 이상,170,10,16,16,21,15,22,36,3,14,17
2020년02월_남_총인구수,"118,145","11,721","21,728","9,854","12,648","7,998","17,082","10,878","5,668","10,556","10,012"
2020년02월_남_연령구간인구수,"118,145","11,721","21,728","9,854","12,648","7,998","17,082","10,878","5,668","10,556","10,012"
2020년02월_남_0~9세,"6,925",380,"1,705",500,611,373,"1,055",864,310,604,523
2020년02월_남_10~19세,"7,915",382,"1,183",701,751,538,"1,303","1,103",376,812,766
2020년02월_남_20~29세,"18,614","2,640","3,749","1,508","1,964","1,173","2,545","1,350",787,"1,486","1,412"
2020년02월_남_30~39세,"19,705","3,003","4,750","1,369","1,954","1,114","2,632","1,291",824,"1,452","1,316"
2020년02월_남_40~49세,"17,803","1,662","3,352","1,422","1,839","1,153","2,639","1,789",840,"1,559","1,548"
2020년02월_남_50~59세,"20,704","1,721","3,145","2,009","2,500","1,706","2,985","1,848","1,000","1,951","1,839"
2020년02월_남_60~69세,"15,635","1,221","2,332","1,425","1,810","1,173","2,240","1,518",893,"1,591","1,432"
2020년02월_남_70~79세,"8,205",554,"1,119",729,928,605,"1,274",816,487,832,861
2020년02월_남_80~89세,"2,390",145,368,169,262,149,361,258,145,242,291
2020년02월_남_90~99세,193,10,22,17,23,10,42,22,6,22,19
2020년02월_남_100세 이상,56,3,3,5,6,4,6,19,0,5,5
2020년02월_여_총인구수,"114,682","9,495","20,322","9,519","12,428","7,908","17,057","11,514","5,655","10,690","10,094"
2020년02월_여_연령구간인구수,"114,682","9,495","20,322","9,519","12,428","7,908","17,057","11,514","5,655","10,690","10,094"
2020년02월_여_0~9세,"6,604",390,"1,610",488,524,326,"1,006",844,300,618,498
2020년02월_여_10~19세,"7,630",361,"1,180",621,744,532,"1,118","1,132",381,810,751
2020년02월_여_20~29세,"17,777","2,810","3,624","1,314","1,940","1,160","2,414","1,252",694,"1,342","1,227"
2020년02월_여_30~39세,"15,947","1,844","3,744","1,181","1,561",931,"2,295","1,328",683,"1,279","1,101"
2020년02월_여_40~49세,"16,312","1,028","2,834","1,378","1,714","1,160","2,546","1,884",776,"1,552","1,440"
2020년02월_여_50~59세,"20,470","1,257","3,067","1,952","2,491","1,628","3,070","2,020","1,072","2,070","1,843"
2020년02월_여_60~69세,"16,170","1,010","2,269","1,458","1,944","1,225","2,415","1,591",969,"1,680","1,609"
2020년02월_여_70~79세,"9,388",553,"1,389",777,"1,027",664,"1,498",963,533,923,"1,061"
2020년02월_여_80~89세,"3,678",202,508,288,393,232,583,410,205,364,493
2020년02월_여_90~99세,592,33,84,51,75,39,96,73,39,43,59
2020년02월_여_100세 이상,114,7,13,11,15,11,16,17,3,9,12
