카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년01월_계_총인구수,"63,869","12,531","9,795",619,228,"3,144","2,960","4,339","3,898","4,955","1,907","2,649","3,309","2,307","3,117","2,280","3,056","1,285","1,490"
2021년01월_계_연령구간인구수,"63,869","12,531","9,795",619,228,"3,144","2,960","4,339","3,898","4,955","1,907","2,649","3,309","2,307","3,117","2,280","3,056","1,285","1,490"
2021년01월_계_0~9세,"2,605","1,020",522,26,3,67,70,125,91,127,58,40,84,62,119,67,63,28,33
2021년01월_계_10~19세,"3,822","1,425",756,21,13,99,129,191,170,225,89,92,120,103,120,69,103,41,56
2021년01월_계_20~29세,"4,148","1,253",751,14,11,134,146,234,208,245,80,114,223,126,200,112,137,68,92
2021년01월_계_30~39세,"3,674","1,166",722,26,15,138,142,184,154,215,67,91,149,118,165,98,100,48,76
2021년01월_계_40~49세,"6,321","1,892","1,178",31,31,230,234,349,316,434,161,204,255,152,276,149,209,87,133
2021년01월_계_50~59세,"10,167","1,970","1,674",32,44,478,476,668,644,820,288,417,581,346,468,387,438,197,239
2021년01월_계_60~69세,"12,794","1,805","1,885",96,28,700,618,937,864,"1,066",426,588,720,578,683,516,633,285,366
2021년01월_계_70~79세,"11,504","1,224","1,475",189,43,727,589,952,815,"1,028",411,582,618,462,577,469,745,309,289
2021년01월_계_80~89세,"7,536",639,719,155,37,481,472,629,545,692,278,419,470,309,434,358,530,186,183
2021년01월_계_90~99세,"1,246",128,108,29,3,90,83,68,84,94,46,101,85,49,71,54,95,35,23
2021년01월_계_100세 이상,52,9,5,0,0,0,1,2,7,9,3,1,4,2,4,1,3,1,0
2021년01월_남_총인구수,"31,016","6,182","4,782",314,119,"1,564","1,417","2,103","1,880","2,379",929,"1,245","1,576","1,078","1,530","1,101","1,445",619,753
2021년01월_남_연령구간인구수,"31,016","6,182","4,782",314,119,"1,564","1,417","2,103","1,880","2,379",929,"1,245","1,576","1,078","1,530","1,101","1,445",619,753
2021년01월_남_0~9세,"1,291",503,257,11,0,34,34,65,32,60,34,17,42,28,68,36,37,13,20
2021년01월_남_10~19세,"2,053",770,400,11,5,52,63,101,79,122,40,52,72,59,66,45,57,27,32
2021년01월_남_20~29세,"2,420",719,413,5,9,95,76,141,128,151,46,73,124,77,118,72,75,42,56
2021년01월_남_30~39세,"2,005",566,382,12,11,92,92,106,97,120,36,52,88,58,96,60,62,33,42
2021년01월_남_40~49세,"3,660",944,615,16,26,166,145,212,200,268,109,140,163,87,177,105,139,58,90
2021년01월_남_50~59세,"5,660","1,040",892,17,27,299,282,371,352,466,172,233,312,199,278,217,256,111,136
2021년01월_남_60~69세,"6,354",847,913,54,14,364,338,456,426,510,217,297,368,290,332,267,318,147,196
2021년01월_남_70~79세,"4,962",564,654,107,16,292,234,408,394,428,174,249,245,183,247,197,316,127,127
2021년01월_남_80~89세,"2,333",206,237,72,11,149,136,224,159,227,88,116,137,91,120,94,167,51,48
2021년01월_남_90~99세,271,21,18,9,0,21,17,18,13,26,12,16,25,6,28,7,18,10,6
2021년01월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2021년01월_여_총인구수,"32,853","6,349","5,013",305,109,"1,580","1,543","2,236","2,018","2,576",978,"1,404","1,733","1,229","1,587","1,179","1,611",666,737
2021년01월_여_연령구간인구수,"32,853","6,349","5,013",305,109,"1,580","1,543","2,236","2,018","2,576",978,"1,404","1,733","1,229","1,587","1,179","1,611",666,737
2021년01월_여_0~9세,"1,314",517,265,15,3,33,36,60,59,67,24,23,42,34,51,31,26,15,13
2021년01월_여_10~19세,"1,769",655,356,10,8,47,66,90,91,103,49,40,48,44,54,24,46,14,24
2021년01월_여_20~29세,"1,728",534,338,9,2,39,70,93,80,94,34,41,99,49,82,40,62,26,36
2021년01월_여_30~39세,"1,669",600,340,14,4,46,50,78,57,95,31,39,61,60,69,38,38,15,34
2021년01월_여_40~49세,"2,661",948,563,15,5,64,89,137,116,166,52,64,92,65,99,44,70,29,43
2021년01월_여_50~59세,"4,507",930,782,15,17,179,194,297,292,354,116,184,269,147,190,170,182,86,103
2021년01월_여_60~69세,"6,440",958,972,42,14,336,280,481,438,556,209,291,352,288,351,249,315,138,170
2021년01월_여_70~79세,"6,542",660,821,82,27,435,355,544,421,600,237,333,373,279,330,272,429,182,162
2021년01월_여_80~89세,"5,203",433,482,83,26,332,336,405,386,465,190,303,333,218,314,264,363,135,135
2021년01월_여_90~99세,975,107,90,20,3,69,66,50,71,68,34,85,60,43,43,47,77,25,17
2021년01월_여_100세 이상,45,7,4,0,0,0,1,1,7,8,2,1,4,2,4,0,3,1,0
