,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년08월_계_총인구수,"210,304","4,920","2,044","3,043","8,693","3,026","2,333","3,990","12,911","3,745","3,731","2,311","3,276","1,952","2,755","23,559","7,213","15,624","5,274","9,675","17,822","3,683","9,404","14,761","37,820","6,739"
2020년08월_계_연령구간인구수,"210,304","4,920","2,044","3,043","8,693","3,026","2,333","3,990","12,911","3,745","3,731","2,311","3,276","1,952","2,755","23,559","7,213","15,624","5,274","9,675","17,822","3,683","9,404","14,761","37,820","6,739"
2020년08월_계_0~9세,"14,886",111,43,79,567,28,57,82,"1,975",322,110,55,83,64,111,"1,658",295,"1,269",251,383,"2,075",100,554,"1,067","2,916",631
2020년08월_계_10~19세,"19,070",227,65,117,412,117,98,145,933,281,174,81,174,79,157,"2,548",570,"2,040",475,720,"2,312",152,783,"1,787","3,939",684
2020년08월_계_20~29세,"24,311",389,121,203,"1,371",182,126,271,"1,528",495,260,147,190,101,289,"2,779",896,"1,913",585,"1,052","2,068",502,"1,113","1,929","5,038",763
2020년08월_계_30~39세,"23,597",315,103,166,"1,382",170,123,187,"2,929",464,187,126,173,112,227,"2,451",639,"1,677",444,867,"2,568",268,"1,040","1,518","4,606",855
2020년08월_계_40~49세,"31,142",487,167,265,"1,181",235,185,337,"1,992",510,346,203,270,151,344,"3,718",974,"2,913",743,"1,199","3,330",410,"1,408","2,587","6,019","1,168"
2020년08월_계_50~59세,"37,903","1,062",434,658,"1,487",609,417,827,"1,529",512,759,431,598,348,490,"4,375","1,326","2,727",974,"1,818","2,767",729,"1,767","2,851","7,197","1,211"
2020년08월_계_60~69세,"30,865","1,137",562,760,"1,239",771,608,"1,034","1,131",550,874,579,844,512,539,"3,271","1,243","1,665",868,"1,899","1,565",734,"1,484","1,626","4,609",761
2020년08월_계_70~79세,"17,490",683,336,502,607,505,415,646,523,354,566,388,519,342,353,"1,758",800,892,590,"1,108",723,484,878,898,"2,210",410
