카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년03월_계_총인구수,"52,494","11,234","13,794","5,036","2,308","1,712","2,595","1,526","1,293","1,280","2,151","2,071","3,030","4,464"
2020년03월_계_연령구간인구수,"52,494","11,234","13,794","5,036","2,308","1,712","2,595","1,526","1,293","1,280","2,151","2,071","3,030","4,464"
2020년03월_계_0~9세,"2,422",591,"1,035",171,55,38,59,59,28,35,46,49,53,203
2020년03월_계_10~19세,"3,608",911,"1,540",226,64,59,112,75,60,29,70,85,110,267
2020년03월_계_20~29세,"4,058","1,078","1,367",320,103,93,161,82,62,37,102,109,225,319
2020년03월_계_30~39세,"3,661",897,"1,191",337,116,70,123,80,68,62,99,100,165,353
2020년03월_계_40~49세,"6,082","1,609","2,054",516,169,140,244,110,79,94,163,161,249,494
2020년03월_계_50~59세,"8,712","1,932","2,242",838,328,281,381,230,198,202,355,326,580,819
2020년03월_계_60~69세,"9,985","1,936","2,041","1,037",512,347,528,329,279,315,510,503,690,958
2020년03월_계_70~79세,"7,934","1,465","1,371",919,470,348,508,293,250,279,417,403,557,654
2020년03월_계_80~89세,"5,223",724,808,573,436,283,418,241,244,197,333,280,336,350
2020년03월_계_90~99세,766,86,138,93,51,51,58,27,24,27,53,52,61,45
2020년03월_계_100세 이상,43,5,7,6,4,2,3,0,1,3,3,3,4,2
2020년03월_남_총인구수,"25,952","5,623","6,740","2,511","1,106",840,"1,220",732,630,654,"1,049","1,001","1,508","2,338"
2020년03월_남_연령구간인구수,"25,952","5,623","6,740","2,511","1,106",840,"1,220",732,630,654,"1,049","1,001","1,508","2,338"
2020년03월_남_0~9세,"1,214",289,522,90,30,19,28,26,13,23,18,24,31,101
2020년03월_남_10~19세,"1,860",462,807,117,38,27,52,41,31,16,36,43,58,132
2020년03월_남_20~29세,"2,367",625,765,174,65,57,98,48,37,27,62,68,151,190
2020년03월_남_30~39세,"2,039",480,578,200,70,44,76,52,42,34,61,63,102,237
2020년03월_남_40~49세,"3,367",861,"1,000",323,107,92,134,66,47,66,97,93,158,323
2020년03월_남_50~59세,"4,676","1,080","1,149",471,174,152,198,116,108,116,193,182,301,436
2020년03월_남_60~69세,"4,875",910,980,522,241,176,254,166,149,148,246,254,337,492
2020년03월_남_70~79세,"3,485",617,619,385,212,159,216,133,111,137,199,176,247,274
2020년03월_남_80~89세,"1,886",278,282,209,155,103,150,78,84,83,129,81,111,143
2020년03월_남_90~99세,173,21,35,19,12,11,14,6,8,3,8,15,12,9
2020년03월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년03월_여_총인구수,"26,542","5,611","7,054","2,525","1,202",872,"1,375",794,663,626,"1,102","1,070","1,522","2,126"
2020년03월_여_연령구간인구수,"26,542","5,611","7,054","2,525","1,202",872,"1,375",794,663,626,"1,102","1,070","1,522","2,126"
2020년03월_여_0~9세,"1,208",302,513,81,25,19,31,33,15,12,28,25,22,102
2020년03월_여_10~19세,"1,748",449,733,109,26,32,60,34,29,13,34,42,52,135
2020년03월_여_20~29세,"1,691",453,602,146,38,36,63,34,25,10,40,41,74,129
2020년03월_여_30~39세,"1,622",417,613,137,46,26,47,28,26,28,38,37,63,116
2020년03월_여_40~49세,"2,715",748,"1,054",193,62,48,110,44,32,28,66,68,91,171
2020년03월_여_50~59세,"4,036",852,"1,093",367,154,129,183,114,90,86,162,144,279,383
2020년03월_여_60~69세,"5,110","1,026","1,061",515,271,171,274,163,130,167,264,249,353,466
2020년03월_여_70~79세,"4,449",848,752,534,258,189,292,160,139,142,218,227,310,380
2020년03월_여_80~89세,"3,337",446,526,364,281,180,268,163,160,114,204,199,225,207
2020년03월_여_90~99세,593,65,103,74,39,40,44,21,16,24,45,37,49,36
2020년03월_여_100세 이상,33,5,4,5,2,2,3,0,1,2,3,1,4,1
