,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년07월_계_총인구수,"45,412","10,138","3,135","3,542","1,970","1,902","2,315","3,524","6,155","1,803","1,777","1,580","4,399","3,172"
2020년07월_계_연령구간인구수,"45,412","10,138","3,135","3,542","1,970","1,902","2,315","3,524","6,155","1,803","1,777","1,580","4,399","3,172"
2020년07월_계_0~9세,"1,985",616,97,107,55,55,81,103,383,26,72,78,179,133
2020년07월_계_10~19세,"2,943",900,223,187,92,73,116,131,479,77,92,165,235,173
2020년07월_계_20~29세,"3,621","1,044",239,219,135,126,168,291,495,105,94,89,289,327
2020년07월_계_30~39세,"2,896",872,134,152,97,104,123,190,462,74,110,87,247,244
2020년07월_계_40~49세,"5,197","1,418",379,363,196,167,230,347,834,156,161,140,410,396
2020년07월_계_50~59세,"8,575","1,851",720,731,358,364,402,684,"1,091",314,303,276,856,625
2020년07월_계_60~69세,"8,665","1,613",589,733,417,405,490,744,"1,066",370,367,381,943,547
2020년07월_계_70~79세,"6,447","1,137",471,593,312,301,363,583,740,348,306,210,655,428
2020년07월_계_80~89세,"4,361",602,239,384,271,265,284,390,515,283,237,129,500,262
2020년07월_계_90~99세,698,83,42,70,37,41,56,59,87,47,33,24,82,37
2020년07월_계_100세 이상,24,2,2,3,0,1,2,2,3,3,2,1,3,0
2020년07월_남_총인구수,"22,621","4,984","1,596","1,750",963,928,"1,142","1,792","3,036",873,860,827,"2,201","1,669"
2020년07월_남_연령구간인구수,"22,621","4,984","1,596","1,750",963,928,"1,142","1,792","3,036",873,860,827,"2,201","1,669"
2020년07월_남_0~9세,"1,039",311,49,65,34,27,47,56,182,13,29,51,99,76
2020년07월_남_10~19세,"1,571",449,121,108,57,40,56,64,252,31,53,110,130,100
2020년07월_남_20~29세,"2,146",592,134,138,79,73,108,191,292,69,50,50,161,209
2020년07월_남_30~39세,"1,606",462,73,82,49,58,77,127,241,45,61,46,132,153
2020년07월_남_40~49세,"2,903",745,203,200,112,102,131,205,460,88,94,82,244,237
2020년07월_남_50~59세,"4,661",952,413,393,195,188,227,394,579,175,174,143,473,355
2020년07월_남_60~69세,"4,468",805,310,384,218,212,254,360,540,192,202,199,505,287
2020년07월_남_70~79세,"2,755",471,195,247,124,138,152,255,317,164,123,106,291,172
2020년07월_남_80~89세,"1,325",183,89,126,81,77,81,131,160,79,64,35,149,70
2020년07월_남_90~99세,143,14,8,7,14,12,9,9,13,16,9,5,17,10
2020년07월_남_100세 이상,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020년07월_여_총인구수,"22,791","5,154","1,539","1,792","1,007",974,"1,173","1,732","3,119",930,917,753,"2,198","1,503"
2020년07월_여_연령구간인구수,"22,791","5,154","1,539","1,792","1,007",974,"1,173","1,732","3,119",930,917,753,"2,198","1,503"
2020년07월_여_0~9세,946,305,48,42,21,28,34,47,201,13,43,27,80,57
2020년07월_여_10~19세,"1,372",451,102,79,35,33,60,67,227,46,39,55,105,73
2020년07월_여_20~29세,"1,475",452,105,81,56,53,60,100,203,36,44,39,128,118
2020년07월_여_30~39세,"1,290",410,61,70,48,46,46,63,221,29,49,41,115,91
2020년07월_여_40~49세,"2,294",673,176,163,84,65,99,142,374,68,67,58,166,159
2020년07월_여_50~59세,"3,914",899,307,338,163,176,175,290,512,139,129,133,383,270
2020년07월_여_60~69세,"4,197",808,279,349,199,193,236,384,526,178,165,182,438,260
2020년07월_여_70~79세,"3,692",666,276,346,188,163,211,328,423,184,183,104,364,256
2020년07월_여_80~89세,"3,036",419,150,258,190,188,203,259,355,204,173,94,351,192
2020년07월_여_90~99세,555,69,34,63,23,29,47,50,74,31,24,19,65,27
2020년07월_여_100세 이상,20,2,1,3,0,0,2,2,3,2,1,1,3,0
