카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년10월_계_총인구수,"140,149","7,425","3,044","3,102","2,403","3,268","3,985","3,079","3,409","1,940","2,191","2,768","1,527","1,243","2,286","1,038","6,554","7,533","3,879","25,313","20,240","11,052","22,870"
2021년10월_계_연령구간인구수,"140,149","7,425","3,044","3,102","2,403","3,268","3,985","3,079","3,409","1,940","2,191","2,768","1,527","1,243","2,286","1,038","6,554","7,533","3,879","25,313","20,240","11,052","22,870"
2021년10월_계_0~9세,"10,023",368,115,74,51,68,149,86,85,57,50,55,37,24,46,8,183,209,121,"1,985","1,309",855,"4,088"
2021년10월_계_10~19세,"12,288",440,128,132,95,98,164,132,177,75,83,79,54,35,311,33,340,407,225,"3,149","2,316","1,076","2,739"
2021년10월_계_20~29세,"14,196",575,262,210,169,159,285,225,274,139,125,147,79,53,108,43,620,788,283,"3,669","2,258","1,424","2,301"
2021년10월_계_30~39세,"14,575",575,214,201,137,150,200,181,198,104,118,112,63,49,103,20,531,662,252,"2,813","1,935","1,304","4,653"
2021년10월_계_40~49세,"19,175",862,305,275,193,236,398,268,306,183,182,187,92,95,139,89,781,859,385,"4,035","2,907","1,795","4,603"
2021년10월_계_50~59세,"23,508","1,515",553,582,452,569,716,566,684,367,393,511,258,205,347,212,"1,036","1,276",651,"4,330","3,682","1,908","2,695"
2021년10월_계_60~69세,"23,287","1,566",675,732,619,866,951,805,838,448,577,705,384,340,516,300,"1,539","1,626",882,"2,970","3,215","1,549","1,184"
2021년10월_계_70~79세,"13,415",873,441,467,382,558,645,495,461,286,344,512,285,218,362,160,981,"1,055",659,"1,428","1,634",759,410
2021년10월_계_80~89세,"8,388",553,306,364,257,479,402,276,324,242,279,382,240,192,309,154,485,579,374,833,860,332,166
2021년10월_계_90~99세,"1,260",96,44,63,47,85,74,45,59,39,38,76,33,29,43,19,58,69,46,95,123,49,30
2021년10월_계_100세 이상,34,2,1,2,1,0,1,0,3,0,2,2,2,3,2,0,0,3,1,6,1,1,1
2021년10월_남_총인구수,"70,298","3,734","1,599","1,589","1,225","1,622","2,034","1,592","1,734",996,"1,099","1,371",767,621,"1,141",502,"3,325","3,672","1,881","12,577","10,118","5,623","11,476"
2021년10월_남_연령구간인구수,"70,298","3,734","1,599","1,589","1,225","1,622","2,034","1,592","1,734",996,"1,099","1,371",767,621,"1,141",502,"3,325","3,672","1,881","12,577","10,118","5,623","11,476"
2021년10월_남_0~9세,"5,184",190,54,39,31,42,83,43,46,39,26,28,17,15,31,5,100,104,66,"1,027",667,435,"2,096"
2021년10월_남_10~19세,"6,664",231,75,72,49,51,105,82,94,45,43,50,35,18,161,18,166,231,122,"1,620","1,403",596,"1,397"
2021년10월_남_20~29세,"7,937",321,152,134,109,110,177,124,168,79,72,76,50,29,71,28,371,455,147,"2,019","1,319",791,"1,135"
2021년10월_남_30~39세,"7,665",302,126,112,82,81,115,114,113,67,70,69,42,29,58,8,326,396,138,"1,438",986,736,"2,257"
2021년10월_남_40~49세,"10,112",487,196,170,127,144,227,171,177,117,111,119,57,63,81,49,465,477,211,"1,973","1,426",921,"2,343"
2021년10월_남_50~59세,"12,263",795,326,332,246,313,388,306,365,196,214,289,156,119,189,126,572,648,352,"2,149","1,770",972,"1,440"
2021년10월_남_60~69세,"11,520",820,346,395,320,472,497,419,446,232,305,374,213,198,270,157,686,704,404,"1,473","1,485",729,575
2021년10월_남_70~79세,"5,911",388,190,212,175,239,298,230,209,132,166,233,110,86,168,65,447,422,284,598,733,338,188
2021년10월_남_80~89세,"2,767",178,120,114,74,153,130,88,109,82,83,116,76,56,103,43,177,223,143,257,305,97,40
2021년10월_남_90~99세,272,21,14,9,12,17,14,15,7,7,9,16,10,8,9,3,15,12,14,23,24,8,5
2021년10월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"69,851","3,691","1,445","1,513","1,178","1,646","1,951","1,487","1,675",944,"1,092","1,397",760,622,"1,145",536,"3,229","3,861","1,998","12,736","10,122","5,429","11,394"
2021년10월_여_연령구간인구수,"69,851","3,691","1,445","1,513","1,178","1,646","1,951","1,487","1,675",944,"1,092","1,397",760,622,"1,145",536,"3,229","3,861","1,998","12,736","10,122","5,429","11,394"
