,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년12월_계_총인구수,"223,021","4,963","25,338","12,322","12,503","8,811","18,610","15,175","10,582","13,994","18,475","20,607","12,341","11,051","14,590","2,491","21,168"
2020년12월_계_연령구간인구수,"223,021","4,963","25,338","12,322","12,503","8,811","18,610","15,175","10,582","13,994","18,475","20,607","12,341","11,051","14,590","2,491","21,168"
2020년12월_계_0~9세,"15,010",108,"2,632",909,791,283,"1,222","1,469",385,808,981,"1,115",892,586,815,69,"1,945"
2020년12월_계_10~19세,"19,901",143,"3,366",902,982,406,"1,624","1,397",784,"1,130","1,772","1,496",932,810,"1,298",140,"2,719"
2020년12월_계_20~29세,"30,186",373,"2,653","1,384","1,494",815,"2,961","1,814","2,681","2,022","2,946","3,881","1,395","1,932","1,553",206,"2,076"
2020년12월_계_30~39세,"25,852",411,"3,028","1,646","1,469",749,"2,205","2,042","1,083","1,423","1,950","3,093","1,531","1,294","1,447",156,"2,325"
2020년12월_계_40~49세,"34,080",557,"4,888","1,802","1,749","1,031","2,801","2,349","1,254","2,081","2,750","3,144","1,793","1,604","2,198",267,"3,812"
2020년12월_계_50~59세,"36,736",994,"3,598","1,974","2,200","1,568","3,181","2,424","1,564","2,394","3,292","3,344","2,119","1,887","2,594",472,"3,131"
2020년12월_계_60~69세,"32,564","1,169","2,882","1,899","1,969","1,900","2,624","1,924","1,490","2,210","2,662","2,617","1,928","1,630","2,403",553,"2,704"
2020년12월_계_70~79세,"19,150",812,"1,578","1,217","1,174","1,274","1,352","1,169",920,"1,306","1,464","1,348","1,181",878,"1,535",345,"1,597"
2020년12월_계_80~89세,"8,315",340,615,501,596,692,553,500,373,553,590,495,477,379,657,250,744
2020년12월_계_90~99세,"1,129",44,90,76,76,91,80,79,42,61,66,72,83,49,83,31,106
2020년12월_계_100세 이상,98,12,8,12,3,2,7,8,6,6,2,2,10,2,7,2,9
2020년12월_남_총인구수,"112,416","2,788","12,495","6,063","6,092","4,320","9,396","7,612","5,538","7,188","9,240","10,620","6,101","5,620","7,424","1,305","10,614"
2020년12월_남_연령구간인구수,"112,416","2,788","12,495","6,063","6,092","4,320","9,396","7,612","5,538","7,188","9,240","10,620","6,101","5,620","7,424","1,305","10,614"
2020년12월_남_0~9세,"7,725",54,"1,318",468,434,135,631,786,201,398,501,577,465,323,389,33,"1,012"
2020년12월_남_10~19세,"10,325",78,"1,781",486,508,211,802,737,388,569,921,772,470,412,692,68,"1,430"
2020년12월_남_20~29세,"15,943",209,"1,409",696,768,467,"1,588",957,"1,424","1,109","1,513","1,977",741,990,854,124,"1,117"
2020년12월_남_30~39세,"13,992",248,"1,469",878,787,447,"1,200","1,066",670,780,"1,097","1,793",810,720,777,97,"1,153"
2020년12월_남_40~49세,"17,910",370,"2,447",953,866,580,"1,446","1,189",734,"1,147","1,393","1,686",938,885,"1,172",156,"1,948"
2020년12월_남_50~59세,"18,839",643,"1,775",955,"1,064",801,"1,616","1,218",795,"1,275","1,654","1,744","1,054",960,"1,372",273,"1,640"
2020년12월_남_60~69세,"15,786",656,"1,345",840,933,922,"1,274",938,742,"1,104","1,280","1,259",910,798,"1,170",301,"1,314"
2020년12월_남_70~79세,"8,596",385,700,565,509,518,621,520,431,579,657,608,522,382,712,164,723
2020년12월_남_80~89세,"2,988",127,228,202,195,217,194,178,143,209,214,184,165,146,259,79,248
2020년12월_남_90~99세,284,11,22,16,27,22,20,22,10,17,10,20,23,3,25,10,26
2020년12월_남_100세 이상,28,7,1,4,1,0,4,1,0,1,0,0,3,1,2,0,3
2020년12월_여_총인구수,"110,605","2,175","12,843","6,259","6,411","4,491","9,214","7,563","5,044","6,806","9,235","9,987","6,240","5,431","7,166","1,186","10,554"
2020년12월_여_연령구간인구수,"110,605","2,175","12,843","6,259","6,411","4,491","9,214","7,563","5,044","6,806","9,235","9,987","6,240","5,431","7,166","1,186","10,554"
2020년12월_여_0~9세,"7,285",54,"1,314",441,357,148,591,683,184,410,480,538,427,263,426,36,933
2020년12월_여_10~19세,"9,576",65,"1,585",416,474,195,822,660,396,561,851,724,462,398,606,72,"1,289"
2020년12월_여_20~29세,"14,243",164,"1,244",688,726,348,"1,373",857,"1,257",913,"1,433","1,904",654,942,699,82,959
2020년12월_여_30~39세,"11,860",163,"1,559",768,682,302,"1,005",976,413,643,853,"1,300",721,574,670,59,"1,172"
2020년12월_여_40~49세,"16,170",187,"2,441",849,883,451,"1,355","1,160",520,934,"1,357","1,458",855,719,"1,026",111,"1,864"
2020년12월_여_50~59세,"17,897",351,"1,823","1,019","1,136",767,"1,565","1,206",769,"1,119","1,638","1,600","1,065",927,"1,222",199,"1,491"
2020년12월_여_60~69세,"16,778",513,"1,537","1,059","1,036",978,"1,350",986,748,"1,106","1,382","1,358","1,018",832,"1,233",252,"1,390"
2020년12월_여_70~79세,"10,554",427,878,652,665,756,731,649,489,727,807,740,659,496,823,181,874
2020년12월_여_80~89세,"5,327",213,387,299,401,475,359,322,230,344,376,311,312,233,398,171,496
2020년12월_여_90~99세,845,33,68,60,49,69,60,57,32,44,56,52,60,46,58,21,80
2020년12월_여_100세 이상,70,5,7,8,2,2,3,7,6,5,2,2,7,1,5,2,6
