카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2021년01월_계_총인구수,"61,305","16,932","12,244","2,064","1,583","3,895","2,604","1,782","2,571","2,377","5,542","1,868","2,755","1,534","3,554"
2021년01월_계_연령구간인구수,"61,305","16,932","12,244","2,064","1,583","3,895","2,604","1,782","2,571","2,377","5,542","1,868","2,755","1,534","3,554"
2021년01월_계_0~9세,"3,192","1,313",946,63,29,98,71,38,140,58,203,40,82,31,80
2021년01월_계_10~19세,"4,240","1,545",978,149,33,194,305,52,165,76,362,63,147,49,122
2021년01월_계_20~29세,"4,870","1,732",928,111,99,261,130,86,210,178,481,89,221,94,250
2021년01월_계_30~39세,"5,095","1,855","1,176",104,103,256,153,106,184,132,417,110,193,76,230
2021년01월_계_40~49세,"7,061","2,329","1,759",132,116,383,184,141,294,216,647,156,270,126,308
2021년01월_계_50~59세,"10,861","2,852","2,139",320,296,715,417,277,440,484,"1,091",323,509,297,701
2021년01월_계_60~69세,"12,220","2,705","2,184",432,403,825,569,437,504,528,"1,183",426,649,425,950
2021년01월_계_70~79세,"8,078","1,578","1,320",406,269,675,412,384,364,390,719,372,389,253,547
2021년01월_계_80~89세,"4,999",894,714,294,210,434,327,229,236,277,390,259,252,157,326
2021년01월_계_90~99세,660,124,93,52,25,53,31,32,30,36,49,30,40,26,39
2021년01월_계_100세 이상,29,5,7,1,0,1,5,0,4,2,0,0,3,0,1
2021년01월_남_총인구수,"30,468","8,377","6,153","1,038",743,"2,004","1,212",871,"1,335","1,182","2,788",913,"1,358",765,"1,729"
2021년01월_남_연령구간인구수,"30,468","8,377","6,153","1,038",743,"2,004","1,212",871,"1,335","1,182","2,788",913,"1,358",765,"1,729"
2021년01월_남_0~9세,"1,661",678,490,30,12,51,38,26,76,33,101,21,43,19,43
2021년01월_남_10~19세,"2,276",810,530,97,24,127,117,22,98,40,202,41,73,27,68
2021년01월_남_20~29세,"2,798",949,529,67,55,169,77,54,131,106,285,59,112,62,143
2021년01월_남_30~39세,"2,797",970,618,62,58,147,89,70,101,80,243,63,123,47,126
2021년01월_남_40~49세,"3,926","1,229",973,81,73,226,112,81,178,121,362,98,142,79,171
2021년01월_남_50~59세,"5,790","1,459","1,147",170,147,437,214,165,262,276,566,175,277,133,362
2021년01월_남_60~69세,"6,109","1,289","1,070",244,201,424,282,218,254,277,602,217,329,229,473
2021년01월_남_70~79세,"3,508",699,564,177,119,284,181,160,151,159,312,159,176,127,240
2021년01월_남_80~89세,"1,496",272,216,98,48,133,92,70,80,89,108,74,77,40,99
2021년01월_남_90~99세,105,22,15,12,6,6,9,5,4,1,7,6,6,2,4
2021년01월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2021년01월_여_총인구수,"30,837","8,555","6,091","1,026",840,"1,891","1,392",911,"1,236","1,195","2,754",955,"1,397",769,"1,825"
2021년01월_여_연령구간인구수,"30,837","8,555","6,091","1,026",840,"1,891","1,392",911,"1,236","1,195","2,754",955,"1,397",769,"1,825"
2021년01월_여_0~9세,"1,531",635,456,33,17,47,33,12,64,25,102,19,39,12,37
2021년01월_여_10~19세,"1,964",735,448,52,9,67,188,30,67,36,160,22,74,22,54
2021년01월_여_20~29세,"2,072",783,399,44,44,92,53,32,79,72,196,30,109,32,107
2021년01월_여_30~39세,"2,298",885,558,42,45,109,64,36,83,52,174,47,70,29,104
2021년01월_여_40~49세,"3,135","1,100",786,51,43,157,72,60,116,95,285,58,128,47,137
2021년01월_여_50~59세,"5,071","1,393",992,150,149,278,203,112,178,208,525,148,232,164,339
2021년01월_여_60~69세,"6,111","1,416","1,114",188,202,401,287,219,250,251,581,209,320,196,477
2021년01월_여_70~79세,"4,570",879,756,229,150,391,231,224,213,231,407,213,213,126,307
2021년01월_여_80~89세,"3,503",622,498,196,162,301,235,159,156,188,282,185,175,117,227
2021년01월_여_90~99세,555,102,78,40,19,47,22,27,26,35,42,24,34,24,35
2021년01월_여_100세 이상,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
