,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 개항동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년07월_계_총인구수,"140,641","6,189","5,120","13,212","3,992","3,249","5,853",0,0,"7,082","16,591","43,557","31,801","3,995"
2021년07월_계_연령구간인구수,"140,641","6,189","5,120","13,212","3,992","3,249","5,853",0,0,"7,082","16,591","43,557","31,801","3,995"
2021년07월_계_0~9세,"11,620",226,240,804,131,92,197,0,0,250,978,"6,890","1,735",77
2021년07월_계_10~19세,"12,863",339,349,"1,109",264,192,288,0,0,457,"1,300","5,060","3,395",110
2021년07월_계_20~29세,"18,800",622,531,"1,600",430,334,609,0,0,753,"2,151","3,774","7,734",262
2021년07월_계_30~39세,"21,384",604,517,"1,566",364,285,665,0,0,682,"2,483","8,660","5,292",266
2021년07월_계_40~49세,"24,767",811,804,"2,017",549,479,734,0,0,964,"2,677","9,597","5,680",455
2021년07월_계_50~59세,"20,632","1,279",860,"2,283",713,606,"1,105",0,0,"1,243","2,891","4,638","4,139",875
2021년07월_계_60~69세,"16,718","1,316",824,"2,055",765,621,"1,110",0,0,"1,388","2,524","3,005","2,026","1,084"
2021년07월_계_70~79세,"9,311",641,629,"1,188",539,445,694,0,0,908,"1,030","1,407","1,230",600
2021년07월_계_80~89세,"3,896",298,309,511,203,165,371,0,0,385,459,451,525,219
2021년07월_계_90~99세,625,51,55,79,33,30,75,0,0,50,93,73,42,44
2021년07월_계_100세 이상,25,2,2,0,1,0,5,0,0,2,5,2,3,3
2021년07월_남_총인구수,"73,107","3,350","2,609","6,755","2,031","1,670","3,091",0,0,"3,561","9,170","21,893","16,746","2,231"
2021년07월_남_연령구간인구수,"73,107","3,350","2,609","6,755","2,031","1,670","3,091",0,0,"3,561","9,170","21,893","16,746","2,231"
2021년07월_남_0~9세,"6,010",119,135,409,57,55,97,0,0,138,500,"3,559",905,36
2021년07월_남_10~19세,"6,646",162,180,576,149,93,146,0,0,222,679,"2,580","1,804",55
2021년07월_남_20~29세,"9,604",362,290,870,247,184,329,0,0,404,"1,204","1,873","3,669",172
2021년07월_남_30~39세,"11,659",367,289,839,197,171,385,0,0,396,"1,505","4,186","3,156",168
2021년07월_남_40~49세,"13,499",485,439,"1,078",308,267,438,0,0,535,"1,556","5,054","3,043",296
2021년07월_남_50~59세,"11,426",748,465,"1,230",377,342,652,0,0,676,"1,640","2,404","2,370",522
2021년07월_남_60~69세,"8,375",688,410,"1,015",365,303,580,0,0,653,"1,380","1,369","1,035",577
2021년07월_남_70~79세,"4,319",300,275,535,247,198,319,0,0,390,514,687,536,318
2021년07월_남_80~89세,"1,416",106,115,189,75,51,127,0,0,129,167,165,214,78
2021년07월_남_90~99세,145,13,11,14,9,6,17,0,0,18,22,15,12,8
2021년07월_남_100세 이상,8,0,0,0,0,0,1,0,0,0,3,1,2,1
2021년07월_여_총인구수,"67,534","2,839","2,511","6,457","1,961","1,579","2,762",0,0,"3,521","7,421","21,664","15,055","1,764"
2021년07월_여_연령구간인구수,"67,534","2,839","2,511","6,457","1,961","1,579","2,762",0,0,"3,521","7,421","21,664","15,055","1,764"
2021년07월_여_0~9세,"5,610",107,105,395,74,37,100,0,0,112,478,"3,331",830,41
2021년07월_여_10~19세,"6,217",177,169,533,115,99,142,0,0,235,621,"2,480","1,591",55
2021년07월_여_20~29세,"9,196",260,241,730,183,150,280,0,0,349,947,"1,901","4,065",90
2021년07월_여_30~39세,"9,725",237,228,727,167,114,280,0,0,286,978,"4,474","2,136",98
2021년07월_여_40~49세,"11,268",326,365,939,241,212,296,0,0,429,"1,121","4,543","2,637",159
2021년07월_여_50~59세,"9,206",531,395,"1,053",336,264,453,0,0,567,"1,251","2,234","1,769",353
2021년07월_여_60~69세,"8,343",628,414,"1,040",400,318,530,0,0,735,"1,144","1,636",991,507
2021년07월_여_70~79세,"4,992",341,354,653,292,247,375,0,0,518,516,720,694,282
2021년07월_여_80~89세,"2,480",192,194,322,128,114,244,0,0,256,292,286,311,141
2021년07월_여_90~99세,480,38,44,65,24,24,58,0,0,32,71,58,30,36
2021년07월_여_100세 이상,17,2,2,0,1,0,4,0,0,2,2,1,1,2
