카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년02월_계_총인구수,"28,260","10,251","1,595","2,068","1,794","1,773","1,498","2,042","2,257","1,349","1,214","2,419"
2020년02월_계_연령구간인구수,"28,260","10,251","1,595","2,068","1,794","1,773","1,498","2,042","2,257","1,349","1,214","2,419"
2020년02월_계_0~9세,"1,647",908,61,86,76,58,71,78,131,45,62,71
2020년02월_계_10~19세,"2,279","1,326",104,104,99,75,74,122,138,48,63,126
2020년02월_계_20~29세,"2,177",986,102,109,110,114,95,156,143,117,98,147
2020년02월_계_30~39세,"2,178","1,074",106,119,122,108,119,111,142,83,85,109
2020년02월_계_40~49세,"3,426","1,646",146,217,205,148,126,203,246,124,134,231
2020년02월_계_50~59세,"4,664","1,534",300,360,270,332,260,383,407,222,163,433
2020년02월_계_60~69세,"4,604","1,245",286,381,320,382,259,411,421,240,196,463
2020년02월_계_70~79세,"4,225",947,261,404,331,294,268,340,401,264,227,488
2020년02월_계_80~89세,"2,667",503,198,247,230,235,199,212,192,179,170,302
2020년02월_계_90~99세,366,78,27,38,29,25,25,26,33,24,15,46
2020년02월_계_100세 이상,27,4,4,3,2,2,2,0,3,3,1,3
2020년02월_남_총인구수,"13,721","4,958",771,"1,013",885,873,735,"1,014","1,087",652,565,"1,168"
2020년02월_남_연령구간인구수,"13,721","4,958",771,"1,013",885,873,735,"1,014","1,087",652,565,"1,168"
2020년02월_남_0~9세,859,481,32,45,39,29,41,34,72,15,36,35
2020년02월_남_10~19세,"1,157",670,53,50,53,40,37,72,67,23,30,62
2020년02월_남_20~29세,"1,181",516,61,59,63,69,51,78,85,74,44,81
2020년02월_남_30~39세,"1,066",481,50,66,77,61,58,63,59,46,44,61
2020년02월_남_40~49세,"1,953",860,78,149,130,97,82,122,136,74,83,142
2020년02월_남_50~59세,"2,529",805,177,191,155,176,156,197,214,128,93,237
2020년02월_남_60~69세,"2,320",580,150,223,161,212,130,225,215,112,91,221
2020년02월_남_70~79세,"1,692",378,109,138,135,114,105,142,169,109,96,197
2020년02월_남_80~89세,867,164,54,86,66,67,70,75,57,63,47,118
2020년02월_남_90~99세,97,23,7,6,6,8,5,6,13,8,1,14
2020년02월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"14,539","5,293",824,"1,055",909,900,763,"1,028","1,170",697,649,"1,251"
2020년02월_여_연령구간인구수,"14,539","5,293",824,"1,055",909,900,763,"1,028","1,170",697,649,"1,251"
2020년02월_여_0~9세,788,427,29,41,37,29,30,44,59,30,26,36
2020년02월_여_10~19세,"1,122",656,51,54,46,35,37,50,71,25,33,64
2020년02월_여_20~29세,996,470,41,50,47,45,44,78,58,43,54,66
2020년02월_여_30~39세,"1,112",593,56,53,45,47,61,48,83,37,41,48
2020년02월_여_40~49세,"1,473",786,68,68,75,51,44,81,110,50,51,89
2020년02월_여_50~59세,"2,135",729,123,169,115,156,104,186,193,94,70,196
2020년02월_여_60~69세,"2,284",665,136,158,159,170,129,186,206,128,105,242
2020년02월_여_70~79세,"2,533",569,152,266,196,180,163,198,232,155,131,291
2020년02월_여_80~89세,"1,800",339,144,161,164,168,129,137,135,116,123,184
2020년02월_여_90~99세,269,55,20,32,23,17,20,20,20,16,14,32
2020년02월_여_100세 이상,27,4,4,3,2,2,2,0,3,3,1,3
