,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년09월_계_총인구수,"38,012","20,863","1,044","1,425","1,699","2,089","2,240","1,211","1,649","3,758","2,034"
2021년09월_계_연령구간인구수,"38,012","20,863","1,044","1,425","1,699","2,089","2,240","1,211","1,649","3,758","2,034"
2021년09월_계_0~9세,"1,582","1,227",19,26,25,31,38,43,44,88,41
2021년09월_계_10~19세,"2,806","2,079",32,50,79,84,102,42,57,203,78
2021년09월_계_20~29세,"3,129","2,220",49,65,79,124,113,93,93,207,86
2021년09월_계_30~39세,"2,666","1,861",39,50,51,101,111,71,112,181,89
2021년09월_계_40~49세,"4,357","2,891",102,106,148,178,209,111,150,297,165
2021년09월_계_50~59세,"7,131","3,752",189,322,370,421,417,254,286,733,387
2021년09월_계_60~69세,"8,396","3,503",280,390,514,568,658,326,433,"1,071",653
2021년09월_계_70~79세,"4,733","2,042",185,241,255,341,344,163,274,534,354
2021년09월_계_80~89세,"2,839","1,143",134,158,156,210,212,101,173,393,159
2021년09월_계_90~99세,349,140,15,16,22,24,30,7,26,47,22
2021년09월_계_100세 이상,24,5,0,1,0,7,6,0,1,4,0
2021년09월_남_총인구수,"19,673","10,676",544,753,880,"1,100","1,189",673,895,"1,926","1,037"
2021년09월_남_연령구간인구수,"19,673","10,676",544,753,880,"1,100","1,189",673,895,"1,926","1,037"
2021년09월_남_0~9세,837,659,12,10,12,16,17,21,26,46,18
2021년09월_남_10~19세,"1,516","1,138",18,26,40,32,53,25,23,118,43
2021년09월_남_20~29세,"1,824","1,263",34,42,51,79,73,60,55,121,46
2021년09월_남_30~39세,"1,454",980,18,36,31,57,73,37,82,98,42
2021년09월_남_40~49세,"2,346","1,443",68,68,78,117,129,66,104,172,101
2021년09월_남_50~59세,"3,959","2,049",110,182,202,246,251,159,170,392,198
2021년09월_남_60~69세,"4,445","1,800",153,231,275,316,354,177,236,571,332
2021년09월_남_70~79세,"2,160",895,84,98,130,149,164,84,123,251,182
2021년09월_남_80~89세,"1,027",409,46,53,57,79,65,42,65,143,68
2021년09월_남_90~99세,97,39,1,7,4,6,8,2,10,13,7
2021년09월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0
2021년09월_여_총인구수,"18,339","10,187",500,672,819,989,"1,051",538,754,"1,832",997
2021년09월_여_연령구간인구수,"18,339","10,187",500,672,819,989,"1,051",538,754,"1,832",997
2021년09월_여_0~9세,745,568,7,16,13,15,21,22,18,42,23
2021년09월_여_10~19세,"1,290",941,14,24,39,52,49,17,34,85,35
2021년09월_여_20~29세,"1,305",957,15,23,28,45,40,33,38,86,40
2021년09월_여_30~39세,"1,212",881,21,14,20,44,38,34,30,83,47
2021년09월_여_40~49세,"2,011","1,448",34,38,70,61,80,45,46,125,64
2021년09월_여_50~59세,"3,172","1,703",79,140,168,175,166,95,116,341,189
2021년09월_여_60~69세,"3,951","1,703",127,159,239,252,304,149,197,500,321
2021년09월_여_70~79세,"2,573","1,147",101,143,125,192,180,79,151,283,172
2021년09월_여_80~89세,"1,812",734,88,105,99,131,147,59,108,250,91
2021년09월_여_90~99세,252,101,14,9,18,18,22,5,16,34,15
2021년09월_여_100세 이상,16,4,0,1,0,4,4,0,0,3,0
