카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년10월_계_총인구수,"252,403","5,387","24,184","9,278","22,163","4,218","6,273","4,721","3,243","3,139","21,666","6,103","5,671","5,154","6,344","13,688","4,519","14,729","5,781","24,099","28,379","22,194","9,748","1,722"
2021년10월_계_연령구간인구수,"252,403","5,387","24,184","9,278","22,163","4,218","6,273","4,721","3,243","3,139","21,666","6,103","5,671","5,154","6,344","13,688","4,519","14,729","5,781","24,099","28,379","22,194","9,748","1,722"
2021년10월_계_0~9세,"15,511",138,"1,024",310,"1,365",197,260,96,44,57,"2,301",171,265,187,157,396,80,"1,088",337,"2,870","2,388","1,109",622,49
2021년10월_계_10~19세,"20,259",222,"1,949",493,"1,195",176,316,200,82,121,"2,379",300,306,299,305,781,180,"1,600",336,"2,656","3,528","2,167",590,78
2021년10월_계_20~29세,"25,973",327,"2,164",679,"2,143",431,570,272,131,164,"2,252",457,503,518,589,"1,967",333,"1,894",452,"2,597","3,699","2,871",789,171
2021년10월_계_30~39세,"24,727",315,"1,661",645,"2,679",448,495,238,115,142,"2,828",326,556,466,518,"1,218",255,"1,408",473,"3,404","3,136","2,185","1,108",108
2021년10월_계_40~49세,"35,860",588,"3,154",968,"2,980",360,684,404,191,275,"3,752",673,678,624,715,"1,719",476,"2,465",743,"4,393","5,000","3,471","1,347",200
2021년10월_계_50~59세,"46,628",983,"4,875","1,621","4,427",664,"1,306",857,553,528,"3,669","1,219","1,052",848,"1,131","2,297",780,"2,829",996,"4,069","5,444","4,456","1,704",320
2021년10월_계_60~69세,"43,130","1,254","4,540","2,107","4,029",853,"1,410","1,161","1,036",768,"2,566","1,387","1,137","1,071","1,435","2,686","1,046","1,882","1,155","2,539","3,249","3,575","1,838",406
2021년10월_계_70~79세,"24,972",947,"2,926","1,470","2,048",596,738,827,647,655,"1,200",910,726,767,976,"1,838",791,993,794,994,"1,233","1,587","1,061",248
2021년10월_계_80~89세,"13,444",530,"1,687",876,"1,117",424,411,581,395,383,637,574,397,340,451,692,516,503,429,495,607,676,599,124
2021년10월_계_90~99세,"1,837",78,196,106,175,65,80,83,49,45,81,84,50,34,65,91,58,66,62,78,94,93,87,17
2021년10월_계_100세 이상,62,5,8,3,5,4,3,2,0,1,1,2,1,0,2,3,4,1,4,4,1,4,3,1
2021년10월_남_총인구수,"126,297","2,698","11,948","4,702","11,682","2,211","3,335","2,374","1,607","1,568","10,670","3,097","2,969","2,553","3,062","6,793","2,239","7,392","2,846","11,869","13,937","11,091","4,798",856
2021년10월_남_연령구간인구수,"126,297","2,698","11,948","4,702","11,682","2,211","3,335","2,374","1,607","1,568","10,670","3,097","2,969","2,553","3,062","6,793","2,239","7,392","2,846","11,869","13,937","11,091","4,798",856
2021년10월_남_0~9세,"7,918",76,531,162,701,112,127,52,27,23,"1,208",82,134,96,71,222,42,560,165,"1,439","1,197",557,311,23
2021년10월_남_10~19세,"10,554",116,995,276,640,111,163,101,43,83,"1,188",149,150,165,165,407,88,856,179,"1,347","1,870","1,131",294,37
