카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년05월_계_총인구수,"475,143","36,972","39,000","28,047","22,656","28,580","32,300","27,100","31,766","27,494","24,866","45,987","27,231","20,575","15,125","11,232","56,212"
2021년05월_계_연령구간인구수,"475,143","36,972","39,000","28,047","22,656","28,580","32,300","27,100","31,766","27,494","24,866","45,987","27,231","20,575","15,125","11,232","56,212"
2021년05월_계_0~9세,"28,596","2,396","2,283","1,075",970,"1,479","1,713","1,136","2,371","3,168",979,"2,548","1,535","1,061",724,706,"4,452"
2021년05월_계_10~19세,"37,857","2,256","2,638","1,747","1,519","2,379","2,817","1,598","2,628","2,306","1,567","3,447","2,042","1,633","1,150",757,"7,373"
2021년05월_계_20~29세,"66,483","5,014","5,319","4,289","3,658","4,378","4,426","4,919","4,323","2,734","3,602","6,569","3,865","2,928","2,058","1,473","6,928"
2021년05월_계_30~39세,"67,345","5,965","5,333","3,800","2,983","3,856","4,041","4,184","5,253","4,865","3,383","6,465","4,048","2,745","1,988","1,753","6,683"
2021년05월_계_40~49세,"75,128","5,681","5,833","3,791","3,188","4,617","5,001","3,982","5,384","5,240","3,458","7,488","4,119","3,125","2,238","1,510","10,473"
2021년05월_계_50~59세,"76,771","5,866","6,659","4,849","3,898","4,746","5,603","4,159","4,724","3,657","4,190","7,593","4,416","3,466","2,515","1,975","8,455"
2021년05월_계_60~69세,"65,571","5,182","5,666","4,475","3,538","3,764","4,680","3,598","3,731","2,983","3,782","6,361","3,987","3,187","2,478","1,720","6,439"
2021년05월_계_70~79세,"38,799","3,135","3,465","2,747","2,056","2,298","2,713","2,358","2,300","1,704","2,575","3,840","2,244","1,643","1,374",884,"3,463"
2021년05월_계_80~89세,"16,283","1,300","1,602","1,134",739,943,"1,154","1,028",934,724,"1,186","1,502",880,697,524,402,"1,534"
2021년05월_계_90~99세,"2,029",171,190,127,101,108,149,115,116,91,142,165,94,86,73,52,249
2021년05월_계_100세 이상,281,6,12,13,6,12,3,23,2,22,2,9,1,4,3,0,163
2021년05월_남_총인구수,"227,496","17,573","18,451","13,594","11,023","13,504","15,922","12,629","15,052","13,356","12,131","21,637","13,137","10,254","7,351","5,527","26,355"
2021년05월_남_연령구간인구수,"227,496","17,573","18,451","13,594","11,023","13,504","15,922","12,629","15,052","13,356","12,131","21,637","13,137","10,254","7,351","5,527","26,355"
2021년05월_남_0~9세,"14,656","1,192","1,189",535,519,764,851,590,"1,203","1,644",533,"1,281",747,550,368,371,"2,319"
2021년05월_남_10~19세,"19,360","1,126","1,384",896,783,"1,190","1,388",733,"1,368","1,205",814,"1,710","1,080",916,585,401,"3,781"
2021년05월_남_20~29세,"31,819","2,373","2,563","2,142","1,834","2,105","2,145","2,169","1,962","1,369","1,812","3,107","1,955","1,503","1,012",743,"3,025"
2021년05월_남_30~39세,"33,156","2,942","2,622","1,989","1,599","1,884","2,055","2,067","2,550","2,291","1,785","3,111","2,036","1,437",998,894,"2,896"
2021년05월_남_40~49세,"37,194","2,862","2,818","1,973","1,626","2,246","2,518","1,945","2,653","2,675","1,773","3,745","2,053","1,580","1,114",760,"4,853"
2021년05월_남_50~59세,"36,951","2,821","3,132","2,260","1,771","2,209","2,807","2,034","2,303","1,789","2,087","3,543","2,058","1,678","1,235","1,001","4,223"
2021년05월_남_60~69세,"30,202","2,313","2,567","2,075","1,631","1,693","2,310","1,610","1,643","1,355","1,755","2,825","1,855","1,550","1,175",827,"3,018"
2021년05월_남_70~79세,"17,046","1,375","1,480","1,228",918,978,"1,318","1,006",989,720,"1,069","1,686",978,746,621,381,"1,553"
2021년05월_남_80~89세,"6,517",529,628,457,316,400,491,434,346,276,463,588,352,268,225,138,606
2021년05월_남_90~99세,554,38,66,35,24,31,39,34,34,25,40,41,23,25,17,11,71
2021년05월_남_100세 이상,41,2,2,4,2,4,0,7,1,7,0,0,0,1,1,0,10
2021년05월_여_총인구수,"247,647","19,399","20,549","14,453","11,633","15,076","16,378","14,471","16,714","14,138","12,735","24,350","14,094","10,321","7,774","5,705","29,857"
2021년05월_여_연령구간인구수,"247,647","19,399","20,549","14,453","11,633","15,076","16,378","14,471","16,714","14,138","12,735","24,350","14,094","10,321","7,774","5,705","29,857"
2021년05월_여_0~9세,"13,940","1,204","1,094",540,451,715,862,546,"1,168","1,524",446,"1,267",788,511,356,335,"2,133"
2021년05월_여_10~19세,"18,497","1,130","1,254",851,736,"1,189","1,429",865,"1,260","1,101",753,"1,737",962,717,565,356,"3,592"
2021년05월_여_20~29세,"34,664","2,641","2,756","2,147","1,824","2,273","2,281","2,750","2,361","1,365","1,790","3,462","1,910","1,425","1,046",730,"3,903"
2021년05월_여_30~39세,"34,189","3,023","2,711","1,811","1,384","1,972","1,986","2,117","2,703","2,574","1,598","3,354","2,012","1,308",990,859,"3,787"
2021년05월_여_40~49세,"37,934","2,819","3,015","1,818","1,562","2,371","2,483","2,037","2,731","2,565","1,685","3,743","2,066","1,545","1,124",750,"5,620"
2021년05월_여_50~59세,"39,820","3,045","3,527","2,589","2,127","2,537","2,796","2,125","2,421","1,868","2,103","4,050","2,358","1,788","1,280",974,"4,232"
2021년05월_여_60~69세,"35,369","2,869","3,099","2,400","1,907","2,071","2,370","1,988","2,088","1,628","2,027","3,536","2,132","1,637","1,303",893,"3,421"
2021년05월_여_70~79세,"21,753","1,760","1,985","1,519","1,138","1,320","1,395","1,352","1,311",984,"1,506","2,154","1,266",897,753,503,"1,910"
2021년05월_여_80~89세,"9,766",771,974,677,423,543,663,594,588,448,723,914,528,429,299,264,928
2021년05월_여_90~99세,"1,475",133,124,92,77,77,110,81,82,66,102,124,71,61,56,41,178
2021년05월_여_100세 이상,240,4,10,9,4,8,3,16,1,15,2,9,1,3,2,0,153
