,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년02월_계_총인구수,"63,814","12,534","9,787",620,228,"3,134","2,962","4,331","3,904","4,932","1,902","2,640","3,313","2,302","3,119","2,271","3,049","1,286","1,500"
2021년02월_계_연령구간인구수,"63,814","12,534","9,787",620,228,"3,134","2,962","4,331","3,904","4,932","1,902","2,640","3,313","2,302","3,119","2,271","3,049","1,286","1,500"
2021년02월_계_0~9세,"2,608","1,023",519,25,1,67,75,122,94,126,55,39,85,62,122,66,63,28,36
2021년02월_계_10~19세,"3,790","1,416",750,20,13,96,127,186,172,223,90,94,115,103,118,67,103,40,57
2021년02월_계_20~29세,"4,130","1,248",748,16,9,130,149,231,207,242,81,112,226,124,204,112,137,67,87
2021년02월_계_30~39세,"3,635","1,171",699,28,14,137,141,182,153,211,64,88,148,118,162,95,97,49,78
2021년02월_계_40~49세,"6,319","1,885","1,190",33,34,231,234,340,315,431,159,205,256,150,277,147,209,87,136
2021년02월_계_50~59세,"10,152","1,981","1,675",32,45,477,477,674,644,809,285,410,579,339,469,384,436,199,237
2021년02월_계_60~69세,"12,822","1,800","1,886",98,28,701,618,939,867,"1,069",433,590,724,581,684,521,633,283,367
2021년02월_계_70~79세,"11,489","1,236","1,484",184,44,723,585,954,811,"1,020",406,581,621,462,571,463,740,310,294
2021년02월_계_80~89세,"7,567",639,723,155,37,484,475,631,547,697,280,416,470,310,438,364,531,185,185
2021년02월_계_90~99세,"1,252",126,108,29,3,88,80,70,87,96,46,104,85,52,70,51,97,37,23
2021년02월_계_100세 이상,50,9,5,0,0,0,1,2,7,8,3,1,4,1,4,1,3,1,0
2021년02월_남_총인구수,"31,004","6,175","4,785",315,121,"1,558","1,425","2,101","1,885","2,368",926,"1,243","1,582","1,076","1,527","1,104","1,439",616,758
2021년02월_남_연령구간인구수,"31,004","6,175","4,785",315,121,"1,558","1,425","2,101","1,885","2,368",926,"1,243","1,582","1,076","1,527","1,104","1,439",616,758
2021년02월_남_0~9세,"1,292",506,254,10,0,34,36,64,34,60,31,17,42,29,69,36,37,12,21
2021년02월_남_10~19세,"2,031",762,397,11,5,49,61,99,80,120,41,54,69,59,63,45,57,26,33
2021년02월_남_20~29세,"2,431",720,416,6,8,91,80,139,127,155,48,71,126,75,123,75,76,41,54
2021년02월_남_30~39세,"1,984",569,372,15,11,92,92,106,94,114,36,51,89,57,94,57,59,34,42
2021년02월_남_40~49세,"3,648",933,622,17,29,167,146,202,201,268,106,140,164,86,175,106,139,58,89
2021년02월_남_50~59세,"5,666","1,048",899,17,28,300,281,379,355,456,171,230,312,195,280,215,255,110,135
2021년02월_남_60~69세,"6,361",842,911,53,14,365,341,458,427,511,217,298,370,293,331,269,318,145,198
2021년02월_남_70~79세,"4,965",567,658,104,16,289,234,410,392,426,171,251,247,182,247,196,314,129,132
2021년02월_남_80~89세,"2,349",205,237,72,10,150,138,225,161,232,92,115,139,94,118,97,166,50,48
2021년02월_남_90~99세,271,21,18,10,0,21,16,18,14,26,12,16,24,6,27,7,18,11,6
2021년02월_남_100세 이상,6,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2021년02월_여_총인구수,"32,810","6,359","5,002",305,107,"1,576","1,537","2,230","2,019","2,564",976,"1,397","1,731","1,226","1,592","1,167","1,610",670,742
2021년02월_여_연령구간인구수,"32,810","6,359","5,002",305,107,"1,576","1,537","2,230","2,019","2,564",976,"1,397","1,731","1,226","1,592","1,167","1,610",670,742
2021년02월_여_0~9세,"1,316",517,265,15,1,33,39,58,60,66,24,22,43,33,53,30,26,16,15
2021년02월_여_10~19세,"1,759",654,353,9,8,47,66,87,92,103,49,40,46,44,55,22,46,14,24
2021년02월_여_20~29세,"1,699",528,332,10,1,39,69,92,80,87,33,41,100,49,81,37,61,26,33
2021년02월_여_30~39세,"1,651",602,327,13,3,45,49,76,59,97,28,37,59,61,68,38,38,15,36
2021년02월_여_40~49세,"2,671",952,568,16,5,64,88,138,114,163,53,65,92,64,102,41,70,29,47
2021년02월_여_50~59세,"4,486",933,776,15,17,177,196,295,289,353,114,180,267,144,189,169,181,89,102
2021년02월_여_60~69세,"6,461",958,975,45,14,336,277,481,440,558,216,292,354,288,353,252,315,138,169
2021년02월_여_70~79세,"6,524",669,826,80,28,434,351,544,419,594,235,330,374,280,324,267,426,181,162
2021년02월_여_80~89세,"5,218",434,486,83,27,334,337,406,386,465,188,301,331,216,320,267,365,135,137
2021년02월_여_90~99세,981,105,90,19,3,67,64,52,73,70,34,88,61,46,43,44,79,26,17
2021년02월_여_100세 이상,44,7,4,0,0,0,1,1,7,8,2,1,4,1,4,0,3,1,0
