,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년05월_계_총인구수,"723,215","61,495","92,895","104,242","14,895","23,927","53,718","29,441","19,722","9,025","4,165","57,278","36,785","18,732","4,526","80,787","35,900","75,682"
2021년05월_계_연령구간인구수,"723,215","61,495","92,895","104,242","14,895","23,927","53,718","29,441","19,722","9,025","4,165","57,278","36,785","18,732","4,526","80,787","35,900","75,682"
2021년05월_계_0~9세,"64,403","3,863","8,012","8,562","1,624",977,"3,852","1,686","1,188",342,195,"6,311","3,215",687,158,"10,504","4,711","8,516"
2021년05월_계_10~19세,"77,928","7,279","11,388","11,488","1,385","1,828","6,558","2,540","1,892",577,238,"7,186","4,920","1,167",191,"8,512","3,797","6,982"
2021년05월_계_20~29세,"85,855","7,733","10,639","12,218","1,623","3,216","6,777","4,006","2,539",802,407,"6,176","4,627","2,447",515,"9,291","3,727","9,112"
2021년05월_계_30~39세,"89,743","5,865","10,044","12,174","2,157","2,317","5,394","3,277","1,789",755,406,"7,550","4,344","2,062",482,"13,388","5,554","12,185"
2021년05월_계_40~49세,"131,202","10,764","17,190","19,673","2,534","3,219","10,083","4,220","3,218","1,033",505,"11,914","7,273","2,204",471,"15,962","7,329","13,610"
2021년05월_계_50~59세,"119,382","11,130","15,304","17,731","2,332","5,084","9,778","5,652","3,648","1,783",771,"8,375","5,974","3,867",892,"10,647","5,198","11,216"
2021년05월_계_60~69세,"87,081","7,827","11,386","12,372","1,948","4,188","5,974","4,712","2,814","1,964",895,"5,239","3,523","3,673","1,081","7,333","3,513","8,639"
2021년05월_계_70~79세,"45,288","4,726","5,988","6,872",833,"1,982","3,515","2,228","1,713","1,114",472,"3,109","1,922","1,635",483,"3,536","1,415","3,745"
2021년05월_계_80~89세,"19,470","2,013","2,612","2,767",389,972,"1,590","1,003",794,524,236,"1,214",873,855,226,"1,398",563,"1,441"
2021년05월_계_90~99세,"2,727",282,318,372,69,138,193,109,107,124,37,194,112,130,24,208,90,220
2021년05월_계_100세 이상,136,13,14,13,1,6,4,8,20,7,3,10,2,5,3,8,3,16
2021년05월_남_총인구수,"360,076","30,372","46,847","52,213","7,502","12,428","27,057","14,695","9,873","4,748","2,156","27,928","18,120","9,572","2,564","39,691","17,514","36,796"
2021년05월_남_연령구간인구수,"360,076","30,372","46,847","52,213","7,502","12,428","27,057","14,695","9,873","4,748","2,156","27,928","18,120","9,572","2,564","39,691","17,514","36,796"
2021년05월_남_0~9세,"33,192","2,022","4,168","4,440",838,547,"2,016",830,613,190,100,"3,266","1,635",349,79,"5,357","2,410","4,332"
2021년05월_남_10~19세,"39,994","3,732","5,891","5,995",693,925,"3,360","1,329","1,017",331,114,"3,704","2,540",610,97,"4,254","1,956","3,446"
2021년05월_남_20~29세,"44,742","4,118","5,629","6,421",846,"1,784","3,637","2,142","1,280",468,227,"3,188","2,322","1,370",299,"4,624","1,882","4,505"
2021년05월_남_30~39세,"44,308","2,905","4,980","6,062","1,085","1,275","2,733","1,741",931,414,212,"3,549","2,140","1,178",297,"6,383","2,532","5,891"
2021년05월_남_40~49세,"65,732","5,099","8,624","9,986","1,307","1,717","5,030","2,123","1,622",572,266,"5,751","3,547","1,172",298,"8,150","3,674","6,794"
2021년05월_남_50~59세,"61,004","5,627","8,110","9,195","1,194","2,685","5,203","2,729","1,902",983,421,"4,244","3,062","1,948",510,"5,275","2,555","5,361"
2021년05월_남_60~69세,"42,396","3,755","5,684","5,938",977,"2,208","2,914","2,369","1,363","1,025",469,"2,368","1,677","1,855",642,"3,406","1,622","4,124"
2021년05월_남_70~79세,"20,681","2,218","2,677","3,034",397,897,"1,518","1,037",770,550,239,"1,342",850,762,244,"1,692",653,"1,801"
2021년05월_남_80~89세,"7,373",815,"1,001","1,048",151,363,601,365,336,194,99,470,320,298,92,514,209,497
2021년05월_남_90~99세,623,77,82,91,13,27,44,28,34,19,6,44,27,29,6,35,20,41
2021년05월_남_100세 이상,31,4,1,3,1,0,1,2,5,2,3,2,0,1,0,1,1,4
