카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동
2020년02월_계_총인구수,"369,588","20,308","21,462","17,881","20,920","22,126","17,204","25,846","26,169","19,247","19,233","36,679","36,797","48,284","37,432"
2020년02월_계_연령구간인구수,"369,588","20,308","21,462","17,881","20,920","22,126","17,204","25,846","26,169","19,247","19,233","36,679","36,797","48,284","37,432"
2020년02월_계_0~9세,"36,744","1,528","1,633","1,005","1,128","1,533","1,143","1,429","2,375","1,552","1,689","3,261","4,966","7,328","6,174"
2020년02월_계_10~19세,"41,689","2,031","2,358","1,158","1,741","1,874","1,394","1,904","2,816","2,131","2,904","5,489","6,321","5,795","3,773"
2020년02월_계_20~29세,"50,721","2,874","3,170","2,719","3,385","3,537","2,357","3,686","3,775","2,848","2,646","5,905","3,690","5,944","4,185"
2020년02월_계_30~39세,"54,846","2,477","2,605","2,421","2,839","3,347","2,445","3,199","4,025","2,681","1,899","4,231","4,636","9,711","8,330"
2020년02월_계_40~49세,"65,822","3,293","3,501","2,412","3,494","3,228","2,401","3,951","4,345","3,201","3,543","6,751","8,591","9,822","7,289"
2020년02월_계_50~59세,"62,289","3,899","4,121","3,613","4,186","4,091","3,190","5,428","4,778","3,625","3,405","6,177","5,348","5,747","4,681"
2020년02월_계_60~69세,"34,474","2,256","2,296","2,709","2,450","2,613","2,318","3,610","2,599","1,964","1,839","3,111","2,053","2,560","2,096"
2020년02월_계_70~79세,"14,804","1,290","1,143","1,221","1,149","1,138","1,120","1,700",888,785,844,"1,152",772,983,619
2020년02월_계_80~89세,"6,961",579,539,526,471,659,689,814,465,403,383,497,355,338,243
2020년02월_계_90~99세,"1,187",78,91,93,73,104,140,116,92,55,80,105,64,56,40
2020년02월_계_100세 이상,51,3,5,4,4,2,7,9,11,2,1,0,1,0,2
2020년02월_남_총인구수,"183,851","10,090","10,641","9,225","11,336","10,826","8,207","13,353","12,879","9,446","9,374","18,102","18,039","23,780","18,553"
2020년02월_남_연령구간인구수,"183,851","10,090","10,641","9,225","11,336","10,826","8,207","13,353","12,879","9,446","9,374","18,102","18,039","23,780","18,553"
2020년02월_남_0~9세,"18,802",794,834,521,596,795,586,733,"1,205",807,845,"1,692","2,522","3,734","3,138"
2020년02월_남_10~19세,"21,415","1,070","1,205",599,941,956,731,994,"1,422","1,079","1,499","2,813","3,238","2,956","1,912"
2020년02월_남_20~29세,"26,308","1,551","1,671","1,506","1,880","1,850","1,154","2,035","1,936","1,481","1,359","3,001","1,884","2,909","2,091"
2020년02월_남_30~39세,"27,083","1,250","1,308","1,383","1,669","1,738","1,267","1,842","2,022","1,360",838,"1,968","1,931","4,565","3,942"
2020년02월_남_40~49세,"32,296","1,613","1,700","1,343","1,980","1,558","1,151","2,070","2,065","1,479","1,626","3,103","4,031","4,856","3,721"
2020년02월_남_50~59세,"30,946","1,916","2,001","1,707","2,231","1,930","1,484","2,770","2,280","1,737","1,694","3,124","2,876","2,893","2,303"
2020년02월_남_60~69세,"17,791","1,121","1,173","1,411","1,323","1,325","1,162","1,851","1,357","1,019",968,"1,657","1,071","1,289","1,064"
2020년02월_남_70~79세,"6,709",554,541,554,548,466,461,758,420,344,399,562,356,445,301
2020년02월_남_80~89세,"2,213",199,183,180,152,184,188,266,147,126,126,158,115,114,75
2020년02월_남_90~99세,273,22,23,21,16,23,20,29,22,13,20,24,15,19,6
2020년02월_남_100세 이상,15,0,2,0,0,1,3,5,3,1,0,0,0,0,0
2020년02월_여_총인구수,"185,737","10,218","10,821","8,656","9,584","11,300","8,997","12,493","13,290","9,801","9,859","18,577","18,758","24,504","18,879"
2020년02월_여_연령구간인구수,"185,737","10,218","10,821","8,656","9,584","11,300","8,997","12,493","13,290","9,801","9,859","18,577","18,758","24,504","18,879"
2020년02월_여_0~9세,"17,942",734,799,484,532,738,557,696,"1,170",745,844,"1,569","2,444","3,594","3,036"
2020년02월_여_10~19세,"20,274",961,"1,153",559,800,918,663,910,"1,394","1,052","1,405","2,676","3,083","2,839","1,861"
2020년02월_여_20~29세,"24,413","1,323","1,499","1,213","1,505","1,687","1,203","1,651","1,839","1,367","1,287","2,904","1,806","3,035","2,094"
2020년02월_여_30~39세,"27,763","1,227","1,297","1,038","1,170","1,609","1,178","1,357","2,003","1,321","1,061","2,263","2,705","5,146","4,388"
2020년02월_여_40~49세,"33,526","1,680","1,801","1,069","1,514","1,670","1,250","1,881","2,280","1,722","1,917","3,648","4,560","4,966","3,568"
2020년02월_여_50~59세,"31,343","1,983","2,120","1,906","1,955","2,161","1,706","2,658","2,498","1,888","1,711","3,053","2,472","2,854","2,378"
2020년02월_여_60~69세,"16,683","1,135","1,123","1,298","1,127","1,288","1,156","1,759","1,242",945,871,"1,454",982,"1,271","1,032"
2020년02월_여_70~79세,"8,095",736,602,667,601,672,659,942,468,441,445,590,416,538,318
2020년02월_여_80~89세,"4,748",380,356,346,319,475,501,548,318,277,257,339,240,224,168
2020년02월_여_90~99세,914,56,68,72,57,81,120,87,70,42,60,81,49,37,34
2020년02월_여_100세 이상,36,3,3,4,4,1,4,4,8,1,1,0,1,0,2
