,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년07월_계_총인구수,"32,062","14,830","1,882","1,475","2,164","1,635","2,282","1,894",739,"1,738","1,659","1,764"
2021년07월_계_연령구간인구수,"32,062","14,830","1,882","1,475","2,164","1,635","2,282","1,894",739,"1,738","1,659","1,764"
2021년07월_계_0~9세,"1,380",975,29,81,46,18,60,39,20,46,35,31
2021년07월_계_10~19세,"2,046","1,302",84,71,95,53,119,91,26,63,66,76
2021년07월_계_20~29세,"2,323","1,371",122,107,84,80,153,110,24,85,86,101
2021년07월_계_30~39세,"2,066","1,250",80,145,81,65,154,78,17,53,73,70
2021년07월_계_40~49세,"3,205","1,917",148,156,147,101,187,151,53,107,102,136
2021년07월_계_50~59세,"5,669","2,645",384,239,366,249,368,305,125,323,323,342
2021년07월_계_60~69세,"7,191","2,675",506,301,572,439,548,542,239,469,427,473
2021년07월_계_70~79세,"4,510","1,545",333,197,419,328,383,300,135,309,285,276
2021년07월_계_80~89세,"3,156",992,162,155,312,265,282,233,86,237,216,216
2021년07월_계_90~99세,502,152,33,22,40,37,27,44,14,45,45,43
2021년07월_계_100세 이상,14,6,1,1,2,0,1,1,0,1,1,0
2021년07월_남_총인구수,"16,170","7,389",982,786,"1,039",802,"1,159",953,403,868,854,935
2021년07월_남_연령구간인구수,"16,170","7,389",982,786,"1,039",802,"1,159",953,403,868,854,935
2021년07월_남_0~9세,705,477,16,43,25,13,32,23,12,23,20,21
2021년07월_남_10~19세,"1,085",698,43,30,50,28,62,41,15,33,39,46
2021년07월_남_20~29세,"1,382",794,80,76,45,47,92,59,13,54,61,61
2021년07월_남_30~39세,"1,135",633,51,89,45,40,107,48,11,25,41,45
2021년07월_남_40~49세,"1,780","1,000",93,92,90,63,113,84,35,76,61,73
2021년07월_남_50~59세,"3,155","1,415",210,149,202,149,209,171,78,188,185,199
2021년07월_남_60~69세,"3,697","1,306",273,151,290,214,275,302,132,249,241,264
2021년07월_남_70~79세,"2,047",686,142,96,183,147,170,144,74,141,121,143
2021년07월_남_80~89세,"1,072",343,66,55,96,91,95,77,32,71,73,73
2021년07월_남_90~99세,112,37,8,5,13,10,4,4,1,8,12,10
2021년07월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"15,892","7,441",900,689,"1,125",833,"1,123",941,336,870,805,829
2021년07월_여_연령구간인구수,"15,892","7,441",900,689,"1,125",833,"1,123",941,336,870,805,829
2021년07월_여_0~9세,675,498,13,38,21,5,28,16,8,23,15,10
2021년07월_여_10~19세,961,604,41,41,45,25,57,50,11,30,27,30
2021년07월_여_20~29세,941,577,42,31,39,33,61,51,11,31,25,40
2021년07월_여_30~39세,931,617,29,56,36,25,47,30,6,28,32,25
2021년07월_여_40~49세,"1,425",917,55,64,57,38,74,67,18,31,41,63
2021년07월_여_50~59세,"2,514","1,230",174,90,164,100,159,134,47,135,138,143
2021년07월_여_60~69세,"3,494","1,369",233,150,282,225,273,240,107,220,186,209
2021년07월_여_70~79세,"2,463",859,191,101,236,181,213,156,61,168,164,133
2021년07월_여_80~89세,"2,084",649,96,100,216,174,187,156,54,166,143,143
2021년07월_여_90~99세,390,115,25,17,27,27,23,40,13,37,33,33
2021년07월_여_100세 이상,14,6,1,1,2,0,1,1,0,1,1,0
