카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년07월_계_총인구수,"16,738","7,298","2,168","1,724","1,784","1,687","2,077"
2020년07월_계_연령구간인구수,"16,738","7,298","2,168","1,724","1,784","1,687","2,077"
2020년07월_계_0~9세,760,451,82,59,49,51,68
2020년07월_계_10~19세,960,568,85,53,83,93,78
2020년07월_계_20~29세,"1,148",652,105,74,110,90,117
2020년07월_계_30~39세,"1,055",636,115,66,70,67,101
2020년07월_계_40~49세,"1,769",970,186,131,143,168,171
2020년07월_계_50~59세,"2,998","1,239",388,289,350,326,406
2020년07월_계_60~69세,"3,362","1,257",501,405,372,367,460
2020년07월_계_70~79세,"2,712",911,409,380,314,290,408
2020년07월_계_80~89세,"1,710",513,260,238,266,195,238
2020년07월_계_90~99세,238,93,35,25,25,35,25
2020년07월_계_100세 이상,26,8,2,4,2,5,5
2020년07월_남_총인구수,"8,271","3,584","1,045",871,883,846,"1,042"
2020년07월_남_연령구간인구수,"8,271","3,584","1,045",871,883,846,"1,042"
2020년07월_남_0~9세,399,247,41,31,22,29,29
2020년07월_남_10~19세,499,286,50,28,44,49,42
2020년07월_남_20~29세,659,365,61,42,64,55,72
2020년07월_남_30~39세,571,328,61,43,44,39,56
2020년07월_남_40~49세,"1,047",545,123,87,80,105,107
2020년07월_남_50~59세,"1,626",636,208,179,196,179,228
2020년07월_남_60~69세,"1,674",612,239,193,194,188,248
2020년07월_남_70~79세,"1,176",382,174,191,139,119,171
2020년07월_남_80~89세,555,164,77,69,92,69,84
2020년07월_남_90~99세,59,17,9,7,8,13,5
2020년07월_남_100세 이상,6,2,2,1,0,1,0
2020년07월_여_총인구수,"8,467","3,714","1,123",853,901,841,"1,035"
2020년07월_여_연령구간인구수,"8,467","3,714","1,123",853,901,841,"1,035"
2020년07월_여_0~9세,361,204,41,28,27,22,39
2020년07월_여_10~19세,461,282,35,25,39,44,36
2020년07월_여_20~29세,489,287,44,32,46,35,45
2020년07월_여_30~39세,484,308,54,23,26,28,45
2020년07월_여_40~49세,722,425,63,44,63,63,64
2020년07월_여_50~59세,"1,372",603,180,110,154,147,178
2020년07월_여_60~69세,"1,688",645,262,212,178,179,212
2020년07월_여_70~79세,"1,536",529,235,189,175,171,237
2020년07월_여_80~89세,"1,155",349,183,169,174,126,154
2020년07월_여_90~99세,179,76,26,18,17,22,20
2020년07월_여_100세 이상,20,6,0,3,2,4,5
