카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년08월_계_총인구수,"61,890","29,375","8,598","2,334","4,261","5,411","5,345","4,336","2,230"
2021년08월_계_연령구간인구수,"61,890","29,375","8,598","2,334","4,261","5,411","5,345","4,336","2,230"
2021년08월_계_0~9세,"2,923","2,075",304,64,117,116,98,106,43
2021년08월_계_10~19세,"4,364","2,849",617,116,162,197,184,156,83
2021년08월_계_20~29세,"4,818","2,895",548,91,372,260,244,291,117
2021년08월_계_30~39세,"4,764","3,068",508,106,236,286,225,235,100
2021년08월_계_40~49세,"7,512","4,387",970,243,404,464,508,356,180
2021년08월_계_50~59세,"10,582","4,933","1,499",410,701,987,936,764,352
2021년08월_계_60~69세,"12,699","4,602","1,970",565,"1,063","1,463","1,417","1,062",557
2021년08월_계_70~79세,"8,904","2,977","1,449",438,723,"1,018","1,051",794,454
2021년08월_계_80~89세,"4,639","1,397",617,274,421,537,609,483,301
2021년08월_계_90~99세,665,189,107,26,61,80,73,87,42
2021년08월_계_100세 이상,20,3,9,1,1,3,0,2,1
2021년08월_남_총인구수,"31,192","14,817","4,284","1,122","2,189","2,772","2,637","2,225","1,146"
2021년08월_남_연령구간인구수,"31,192","14,817","4,284","1,122","2,189","2,772","2,637","2,225","1,146"
2021년08월_남_0~9세,"1,458","1,045",152,23,54,54,54,53,23
2021년08월_남_10~19세,"2,269","1,462",339,49,92,105,95,82,45
2021년08월_남_20~29세,"2,834","1,662",329,54,246,161,128,188,66
2021년08월_남_30~39세,"2,618","1,646",258,56,138,184,127,148,61
2021년08월_남_40~49세,"4,226","2,320",549,149,251,301,321,210,125
2021년08월_남_50~59세,"5,630","2,534",804,227,368,541,513,430,213
2021년08월_남_60~69세,"6,127","2,213",927,270,528,709,685,520,275
2021년08월_남_70~79세,"4,237","1,414",686,195,344,490,487,397,224
2021년08월_남_80~89세,"1,643",471,217,93,152,208,215,178,109
2021년08월_남_90~99세,143,50,18,6,15,19,12,18,5
2021년08월_남_100세 이상,7,0,5,0,1,0,0,1,0
2021년08월_여_총인구수,"30,698","14,558","4,314","1,212","2,072","2,639","2,708","2,111","1,084"
2021년08월_여_연령구간인구수,"30,698","14,558","4,314","1,212","2,072","2,639","2,708","2,111","1,084"
2021년08월_여_0~9세,"1,465","1,030",152,41,63,62,44,53,20
2021년08월_여_10~19세,"2,095","1,387",278,67,70,92,89,74,38
2021년08월_여_20~29세,"1,984","1,233",219,37,126,99,116,103,51
2021년08월_여_30~39세,"2,146","1,422",250,50,98,102,98,87,39
2021년08월_여_40~49세,"3,286","2,067",421,94,153,163,187,146,55
2021년08월_여_50~59세,"4,952","2,399",695,183,333,446,423,334,139
2021년08월_여_60~69세,"6,572","2,389","1,043",295,535,754,732,542,282
2021년08월_여_70~79세,"4,667","1,563",763,243,379,528,564,397,230
2021년08월_여_80~89세,"2,996",926,400,181,269,329,394,305,192
2021년08월_여_90~99세,522,139,89,20,46,61,61,69,37
2021년08월_여_100세 이상,13,3,4,1,0,3,0,1,1
