카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년08월_계_총인구수,"157,534","6,356","3,998","2,956","3,479","6,950","2,682","1,737","2,107","2,820","2,724","1,731","1,832","1,606","1,726","5,110","4,975","22,109","9,036","13,137","6,306","6,219","21,425","16,156","10,357"
2021년08월_계_연령구간인구수,"157,534","6,356","3,998","2,956","3,479","6,950","2,682","1,737","2,107","2,820","2,724","1,731","1,832","1,606","1,726","5,110","4,975","22,109","9,036","13,137","6,306","6,219","21,425","16,156","10,357"
2021년08월_계_0~9세,"10,249",182,84,58,80,463,45,24,51,58,41,31,46,24,31,221,290,"1,850",610,896,368,325,"1,912","1,495","1,064"
2021년08월_계_10~19세,"13,388",266,194,80,122,378,111,60,84,106,79,50,49,43,60,335,401,"2,310",884,944,510,545,"2,584","1,703","1,490"
2021년08월_계_20~29세,"16,483",431,266,140,272,970,133,80,145,168,119,70,81,67,60,615,508,"2,994",847,"1,352",649,676,"2,595","1,958","1,287"
2021년08월_계_30~39세,"15,213",365,185,150,205,"1,101",113,75,125,142,111,59,77,66,68,490,411,"2,510",768,"1,483",569,564,"2,389","2,088","1,099"
2021년08월_계_40~49세,"21,704",555,315,299,329,781,223,147,175,250,170,141,106,114,125,613,690,"3,490","1,359","1,841",890,836,"3,710","2,563","1,982"
2021년08월_계_50~59세,"25,708","1,053",639,511,575,907,418,262,417,495,507,279,332,271,265,789,906,"3,443","1,418","2,165","1,024","1,146","3,488","2,750","1,648"
2021년08월_계_60~69세,"26,718","1,479",946,690,892,"1,041",626,415,518,726,731,494,507,435,494,923,896,"2,907","1,521","2,271","1,181","1,191","2,724","2,128",982
2021년08월_계_70~79세,"16,586","1,112",719,525,536,748,555,346,327,476,532,335,348,335,334,720,549,"1,625","1,008","1,436",710,650,"1,255",895,510
2021년08월_계_80~89세,"9,958",779,565,436,386,479,400,283,227,334,386,245,259,217,254,339,289,856,548,663,349,248,669,491,256
2021년08월_계_90~99세,"1,479",128,82,66,82,76,55,45,38,63,47,24,26,34,35,64,35,123,69,81,54,37,95,82,38
2021년08월_계_100세 이상,48,6,3,1,0,6,3,0,0,2,1,3,1,0,0,1,0,1,4,5,2,1,4,3,1
2021년08월_남_총인구수,"77,935","3,212","2,066","1,548","1,844","3,536","1,299",862,"1,087","1,480","1,382",897,953,840,903,"2,491","2,383","10,989","4,346","6,532","3,066","3,068","10,187","7,854","5,110"
2021년08월_남_연령구간인구수,"77,935","3,212","2,066","1,548","1,844","3,536","1,299",862,"1,087","1,480","1,382",897,953,840,903,"2,491","2,383","10,989","4,346","6,532","3,066","3,068","10,187","7,854","5,110"
2021년08월_남_0~9세,"5,357",97,48,34,40,240,27,13,26,30,15,21,27,13,21,125,154,960,329,448,183,173,985,798,550
2021년08월_남_10~19세,"6,984",150,119,49,72,187,62,34,40,54,41,23,34,23,27,177,190,"1,216",450,507,277,280,"1,313",877,782
2021년08월_남_20~29세,"8,977",247,150,90,164,495,80,46,96,103,73,40,54,39,36,338,265,"1,681",453,754,353,362,"1,365","1,038",655
2021년08월_남_30~39세,"7,952",211,110,100,130,603,62,54,72,84,65,36,43,45,47,243,210,"1,275",376,795,321,312,"1,176","1,061",521
2021년08월_남_40~49세,"11,225",340,190,196,210,446,136,95,114,168,124,91,66,78,84,339,356,"1,735",681,982,457,410,"1,768","1,234",925
2021년08월_남_50~59세,"13,236",587,370,301,335,511,242,144,228,297,295,173,177,162,154,405,459,"1,757",718,"1,071",490,553,"1,645","1,295",867
2021년08월_남_60~69세,"12,983",751,509,364,477,519,299,223,263,397,400,276,277,223,278,407,415,"1,357",675,"1,060",508,556,"1,238","1,032",479
2021년08월_남_70~79세,"7,451",534,338,242,254,345,253,152,160,221,222,147,169,167,160,317,235,698,447,643,331,313,495,366,242
2021년08월_남_80~89세,"3,454",262,210,160,144,166,129,99,78,110,138,82,99,79,84,129,89,290,198,258,138,99,189,141,83
2021년08월_남_90~99세,307,32,22,12,18,20,9,2,10,16,9,8,7,11,12,10,10,19,19,13,8,10,12,12,6
2021년08월_남_100세 이상,9,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
2021년08월_여_총인구수,"79,599","3,144","1,932","1,408","1,635","3,414","1,383",875,"1,020","1,340","1,342",834,879,766,823,"2,619","2,592","11,120","4,690","6,605","3,240","3,151","11,238","8,302","5,247"
2021년08월_여_연령구간인구수,"79,599","3,144","1,932","1,408","1,635","3,414","1,383",875,"1,020","1,340","1,342",834,879,766,823,"2,619","2,592","11,120","4,690","6,605","3,240","3,151","11,238","8,302","5,247"
2021년08월_여_0~9세,"4,892",85,36,24,40,223,18,11,25,28,26,10,19,11,10,96,136,890,281,448,185,152,927,697,514
2021년08월_여_10~19세,"6,404",116,75,31,50,191,49,26,44,52,38,27,15,20,33,158,211,"1,094",434,437,233,265,"1,271",826,708
2021년08월_여_20~29세,"7,506",184,116,50,108,475,53,34,49,65,46,30,27,28,24,277,243,"1,313",394,598,296,314,"1,230",920,632
2021년08월_여_30~39세,"7,261",154,75,50,75,498,51,21,53,58,46,23,34,21,21,247,201,"1,235",392,688,248,252,"1,213","1,027",578
2021년08월_여_40~49세,"10,479",215,125,103,119,335,87,52,61,82,46,50,40,36,41,274,334,"1,755",678,859,433,426,"1,942","1,329","1,057"
2021년08월_여_50~59세,"12,472",466,269,210,240,396,176,118,189,198,212,106,155,109,111,384,447,"1,686",700,"1,094",534,593,"1,843","1,455",781
2021년08월_여_60~69세,"13,735",728,437,326,415,522,327,192,255,329,331,218,230,212,216,516,481,"1,550",846,"1,211",673,635,"1,486","1,096",503
2021년08월_여_70~79세,"9,135",578,381,283,282,403,302,194,167,255,310,188,179,168,174,403,314,927,561,793,379,337,760,529,268
2021년08월_여_80~89세,"6,504",517,355,276,242,313,271,184,149,224,248,163,160,138,170,210,200,566,350,405,211,149,480,350,173
2021년08월_여_90~99세,"1,172",96,60,54,64,56,46,43,28,47,38,16,19,23,23,54,25,104,50,68,46,27,83,70,32
2021년08월_여_100세 이상,39,5,3,1,0,2,3,0,0,2,1,3,1,0,0,0,0,0,4,4,2,1,3,3,1
