,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년10월_계_총인구수,"542,982","45,921","41,450","31,412","48,939","30,242","28,314","6,647","9,880","22,839","13,479","14,478","32,283","12,217","20,572","16,599","10,905","33,027","22,829","24,536","28,362","24,782","23,269"
2020년10월_계_연령구간인구수,"542,982","45,921","41,450","31,412","48,939","30,242","28,314","6,647","9,880","22,839","13,479","14,478","32,283","12,217","20,572","16,599","10,905","33,027","22,829","24,536","28,362","24,782","23,269"
2020년10월_계_0~9세,"50,571","4,716","2,442","3,894","6,920","4,758","3,314",350,488,"1,259",727,635,"2,798",613,"1,426",690,793,"2,730","1,954","2,586","2,999","2,323","2,156"
2020년10월_계_10~19세,"56,780","4,454","3,591","4,418","6,283","3,798","2,118",425,782,"1,601",941,"1,261","3,045",894,"1,961","1,296",789,"3,445","2,864","3,494","3,349","2,688","3,283"
2020년10월_계_20~29세,"72,846","6,541","6,587","3,884","5,743","3,275","3,498","1,042","1,583","3,303","1,751","2,219","4,342","1,731","3,004","2,345","1,413","4,747","2,878","2,731","3,864","3,171","3,194"
2020년10월_계_30~39세,"80,037","8,370","4,976","5,853","8,391","5,650","4,970",893,"1,203","2,977","1,593","1,560","4,520","1,558","2,614","1,866","1,685","4,668","2,565","3,364","4,596","3,290","2,875"
2020년10월_계_40~49세,"95,590","8,517","6,377","6,483","9,970","6,092","4,503",851,"1,346","3,278","1,901","2,164","5,002","1,862","3,046","2,279","1,593","5,908","4,529","5,592","5,494","4,333","4,470"
2020년10월_계_50~59세,"93,460","6,906","8,697","4,008","6,607","3,891","4,699","1,629","2,269","4,770","2,795","3,077","6,080","2,542","4,035","3,402","2,009","5,801","3,881","3,583","4,491","4,437","3,851"
2020년10월_계_60~69세,"57,517","3,987","5,203","1,870","3,397","1,933","3,267",987,"1,424","3,487","2,265","2,126","4,253","1,782","2,851","2,820","1,656","3,411","2,178","1,764","2,157","2,732","1,967"
2020년10월_계_70~79세,"24,196","1,715","2,247",657,"1,113",570,"1,302",296,512,"1,486","1,026",970,"1,582",847,"1,062","1,271",633,"1,573","1,304",962,918,"1,185",965
2020년10월_계_80~89세,"10,209",610,"1,125",298,430,226,536,134,246,577,407,410,557,341,474,538,271,636,616,396,427,518,436
2020년10월_계_90~99세,"1,670",100,192,45,81,48,100,33,25,91,69,54,97,44,97,86,57,96,54,60,65,104,72
2020년10월_계_100세 이상,106,5,13,2,4,1,7,7,2,10,4,2,7,3,2,6,6,12,6,4,2,1,0
2020년10월_남_총인구수,"274,290","23,348","21,109","15,621","24,367","14,991","14,212","3,489","4,961","11,763","6,986","7,304","16,158","6,531","10,025","8,461","5,620","17,086","11,555","12,437","14,153","12,646","11,467"
2020년10월_남_연령구간인구수,"274,290","23,348","21,109","15,621","24,367","14,991","14,212","3,489","4,961","11,763","6,986","7,304","16,158","6,531","10,025","8,461","5,620","17,086","11,555","12,437","14,153","12,646","11,467"
2020년10월_남_0~9세,"26,148","2,448","1,231","2,036","3,604","2,446","1,745",173,243,646,369,358,"1,416",336,737,348,388,"1,433",995,"1,386","1,522","1,173","1,115"
2020년10월_남_10~19세,"29,065","2,337","1,854","2,211","3,223","1,938","1,100",213,411,835,489,616,"1,503",460,981,685,428,"1,769","1,480","1,779","1,740","1,385","1,628"
2020년10월_남_20~29세,"37,837","3,361","3,558","1,897","2,892","1,632","1,772",600,823,"1,784",988,"1,171","2,244",937,"1,560","1,244",715,"2,524","1,535","1,414","1,936","1,668","1,582"
2020년10월_남_30~39세,"40,898","4,292","2,645","2,893","3,967","2,628","2,497",499,678,"1,705",871,881,"2,297",920,"1,319","1,051",895,"2,528","1,311","1,655","2,305","1,655","1,406"
2020년10월_남_40~49세,"48,749","4,442","3,258","3,178","4,980","3,068","2,378",471,677,"1,797","1,029","1,128","2,562","1,039","1,455","1,168",845,"3,058","2,286","2,777","2,722","2,239","2,192"
2020년10월_남_50~59세,"47,475","3,467","4,399","2,082","3,302","1,933","2,319",829,"1,085","2,387","1,433","1,537","3,011","1,384","1,885","1,708","1,044","3,057","2,068","2,000","2,290","2,299","1,956"
2020년10월_남_60~69세,"29,259","1,974","2,727",944,"1,719","1,011","1,626",524,750,"1,736","1,169","1,050","2,162",944,"1,434","1,433",890,"1,759","1,052",825,"1,070","1,467",993
2020년10월_남_70~79세,"11,161",798,987,277,519,268,605,144,219,692,492,435,764,384,490,622,314,728,571,432,395,582,443
2020년10월_남_80~89세,"3,340",208,399,98,146,59,153,29,70,160,130,121,185,112,143,181,84,210,239,157,154,163,139
2020년10월_남_90~99세,323,18,45,5,14,7,15,4,5,17,16,7,13,13,21,20,15,16,16,11,18,14,13
2020년10월_남_100세 이상,35,3,6,0,1,1,2,3,0,4,0,0,1,2,0,1,2,4,2,1,1,1,0
2020년10월_여_총인구수,"268,692","22,573","20,341","15,791","24,572","15,251","14,102","3,158","4,919","11,076","6,493","7,174","16,125","5,686","10,547","8,138","5,285","15,941","11,274","12,099","14,209","12,136","11,802"
2020년10월_여_연령구간인구수,"268,692","22,573","20,341","15,791","24,572","15,251","14,102","3,158","4,919","11,076","6,493","7,174","16,125","5,686","10,547","8,138","5,285","15,941","11,274","12,099","14,209","12,136","11,802"
2020년10월_여_0~9세,"24,423","2,268","1,211","1,858","3,316","2,312","1,569",177,245,613,358,277,"1,382",277,689,342,405,"1,297",959,"1,200","1,477","1,150","1,041"
2020년10월_여_10~19세,"27,715","2,117","1,737","2,207","3,060","1,860","1,018",212,371,766,452,645,"1,542",434,980,611,361,"1,676","1,384","1,715","1,609","1,303","1,655"
