,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년06월_계_총인구수,"140,293","7,023","3,029","3,123","2,433","3,313","3,988","3,118","3,414","1,967","2,217","2,825","1,545","1,267","2,322","1,041","6,640","7,588","3,948","25,454","20,306","11,070","22,662"
2021년06월_계_연령구간인구수,"140,293","7,023","3,029","3,123","2,433","3,313","3,988","3,118","3,414","1,967","2,217","2,825","1,545","1,267","2,322","1,041","6,640","7,588","3,948","25,454","20,306","11,070","22,662"
2021년06월_계_0~9세,"10,155",333,118,71,51,70,157,88,82,62,51,59,41,25,50,8,191,213,132,"2,009","1,348",877,"4,119"
2021년06월_계_10~19세,"12,383",404,130,136,102,106,170,139,185,75,86,80,55,38,327,33,354,416,230,"3,238","2,355","1,068","2,656"
2021년06월_계_20~29세,"14,455",516,257,223,171,167,291,240,282,149,131,168,77,60,110,45,635,806,314,"3,768","2,302","1,432","2,311"
2021년06월_계_30~39세,"14,686",528,217,199,142,166,207,175,197,115,124,123,69,54,110,22,535,681,245,"2,822","1,961","1,305","4,689"
2021년06월_계_40~49세,"19,216",826,297,300,198,243,398,272,309,190,188,187,101,102,147,85,801,845,399,"4,080","2,921","1,808","4,519"
2021년06월_계_50~59세,"23,557","1,407",557,590,457,584,719,583,700,370,421,526,255,212,359,211,"1,058","1,312",668,"4,305","3,693","1,933","2,637"
2021년06월_계_60~69세,"22,916","1,504",671,719,629,859,937,801,829,440,554,714,381,330,499,304,"1,549","1,623",876,"2,888","3,147","1,517","1,145"
2021년06월_계_70~79세,"13,305",860,433,469,379,562,635,497,451,290,340,502,294,223,369,155,986,"1,044",667,"1,416","1,600",747,386
2021년06월_계_80~89세,"8,330",546,307,348,258,476,402,279,321,240,282,388,237,192,307,159,476,574,369,822,857,326,164
2021년06월_계_90~99세,"1,258",97,41,66,45,80,71,44,55,36,38,78,33,29,41,19,55,71,47,100,121,56,35
2021년06월_계_100세 이상,32,2,1,2,1,0,1,0,3,0,2,0,2,2,3,0,0,3,1,6,1,1,1
2021년06월_남_총인구수,"70,444","3,550","1,592","1,606","1,236","1,644","2,044","1,611","1,739","1,018","1,109","1,402",770,633,"1,160",502,"3,388","3,702","1,910","12,623","10,165","5,647","11,393"
2021년06월_남_연령구간인구수,"70,444","3,550","1,592","1,606","1,236","1,644","2,044","1,611","1,739","1,018","1,109","1,402",770,633,"1,160",502,"3,388","3,702","1,910","12,623","10,165","5,647","11,393"
2021년06월_남_0~9세,"5,244",172,56,41,32,42,88,45,43,43,26,30,20,16,32,5,104,108,74,"1,034",681,439,"2,113"
2021년06월_남_10~19세,"6,730",212,73,72,51,55,105,83,98,45,47,51,35,21,172,18,173,227,126,"1,677","1,445",599,"1,345"
2021년06월_남_20~29세,"8,107",298,153,142,112,113,184,134,177,81,75,93,48,35,70,28,373,464,164,"2,069","1,350",794,"1,150"
2021년06월_남_30~39세,"7,734",273,129,109,86,93,112,111,110,81,74,73,44,32,65,9,335,407,131,"1,445",990,740,"2,285"
