카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년01월_계_총인구수,"36,807","34,921","1,886"
2021년01월_계_연령구간인구수,"36,807","34,921","1,886"
2021년01월_계_0~9세,"3,199","3,158",41
2021년01월_계_10~19세,"3,353","3,275",78
2021년01월_계_20~29세,"4,512","4,390",122
2021년01월_계_30~39세,"4,725","4,622",103
2021년01월_계_40~49세,"5,580","5,386",194
2021년01월_계_50~59세,"6,030","5,697",333
2021년01월_계_60~69세,"5,025","4,539",486
2021년01월_계_70~79세,"2,691","2,406",285
2021년01월_계_80~89세,"1,501","1,288",213
2021년01월_계_90~99세,181,151,30
2021년01월_계_100세 이상,10,9,1
2021년01월_남_총인구수,"19,125","18,135",990
2021년01월_남_연령구간인구수,"19,125","18,135",990
2021년01월_남_0~9세,"1,647","1,622",25
2021년01월_남_10~19세,"1,740","1,706",34
2021년01월_남_20~29세,"2,632","2,558",74
2021년01월_남_30~39세,"2,637","2,578",59
2021년01월_남_40~49세,"3,008","2,884",124
2021년01월_남_50~59세,"3,181","2,993",188
2021년01월_남_60~69세,"2,511","2,243",268
2021년01월_남_70~79세,"1,213","1,076",137
2021년01월_남_80~89세,507,437,70
2021년01월_남_90~99세,45,35,10
2021년01월_남_100세 이상,4,3,1
2021년01월_여_총인구수,"17,682","16,786",896
2021년01월_여_연령구간인구수,"17,682","16,786",896
2021년01월_여_0~9세,"1,552","1,536",16
2021년01월_여_10~19세,"1,613","1,569",44
2021년01월_여_20~29세,"1,880","1,832",48
2021년01월_여_30~39세,"2,088","2,044",44
2021년01월_여_40~49세,"2,572","2,502",70
2021년01월_여_50~59세,"2,849","2,704",145
2021년01월_여_60~69세,"2,514","2,296",218
2021년01월_여_70~79세,"1,478","1,330",148
2021년01월_여_80~89세,994,851,143
2021년01월_여_90~99세,136,116,20
2021년01월_여_100세 이상,6,6,0
