카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년05월_계_총인구수,"84,623","30,125","29,194",0,"3,157","3,469","2,084","6,120","10,474"
2021년05월_계_연령구간인구수,"84,623","30,125","29,194",0,"3,157","3,469","2,084","6,120","10,474"
2021년05월_계_0~9세,"7,618","2,156","4,343",0,69,117,48,189,696
2021년05월_계_10~19세,"8,374","3,339","3,093",0,171,146,76,393,"1,156"
2021년05월_계_20~29세,"9,271","3,916","3,103",0,201,255,100,530,"1,166"
2021년05월_계_30~39세,"11,528","3,134","6,156",0,177,247,116,480,"1,218"
2021년05월_계_40~49세,"13,650","4,907","5,453",0,301,340,165,703,"1,781"
2021년05월_계_50~59세,"13,690","5,314","3,414",0,590,722,374,"1,194","2,082"
2021년05월_계_60~69세,"10,951","3,928","2,167",0,766,810,570,"1,368","1,342"
2021년05월_계_70~79세,"5,508","2,092",853,0,454,453,333,700,623
2021년05월_계_80~89세,"3,531","1,179",538,0,382,334,257,488,353
2021년05월_계_90~99세,490,158,71,0,45,44,41,74,57
2021년05월_계_100세 이상,12,2,3,0,1,1,4,1,0
2021년05월_남_총인구수,"44,376","15,481","15,411",0,"1,632","1,804","1,063","3,254","5,731"
2021년05월_남_연령구간인구수,"44,376","15,481","15,411",0,"1,632","1,804","1,063","3,254","5,731"
2021년05월_남_0~9세,"3,939","1,128","2,235",0,36,57,26,102,355
2021년05월_남_10~19세,"4,352","1,719","1,572",0,88,74,41,207,651
2021년05월_남_20~29세,"5,356","2,240","1,723",0,124,151,61,332,725
2021년05월_남_30~39세,"6,358","1,686","3,330",0,110,147,69,294,722
2021년05월_남_40~49세,"7,443","2,564","3,011",0,183,212,100,405,968
2021년05월_남_50~59세,"7,485","2,862","1,844",0,348,389,214,665,"1,163"
2021년05월_남_60~69세,"5,604","1,902","1,092",0,410,439,294,751,716
2021년05월_남_70~79세,"2,530",942,388,0,211,220,155,325,289
2021년05월_남_80~89세,"1,215",404,198,0,115,107,94,163,134
2021년05월_남_90~99세,91,33,18,0,7,7,9,9,8
2021년05월_남_100세 이상,3,1,0,0,0,1,0,1,0
2021년05월_여_총인구수,"40,247","14,644","13,783",0,"1,525","1,665","1,021","2,866","4,743"
2021년05월_여_연령구간인구수,"40,247","14,644","13,783",0,"1,525","1,665","1,021","2,866","4,743"
2021년05월_여_0~9세,"3,679","1,028","2,108",0,33,60,22,87,341
2021년05월_여_10~19세,"4,022","1,620","1,521",0,83,72,35,186,505
2021년05월_여_20~29세,"3,915","1,676","1,380",0,77,104,39,198,441
2021년05월_여_30~39세,"5,170","1,448","2,826",0,67,100,47,186,496
2021년05월_여_40~49세,"6,207","2,343","2,442",0,118,128,65,298,813
2021년05월_여_50~59세,"6,205","2,452","1,570",0,242,333,160,529,919
2021년05월_여_60~69세,"5,347","2,026","1,075",0,356,371,276,617,626
2021년05월_여_70~79세,"2,978","1,150",465,0,243,233,178,375,334
2021년05월_여_80~89세,"2,316",775,340,0,267,227,163,325,219
2021년05월_여_90~99세,399,125,53,0,38,37,32,65,49
2021년05월_여_100세 이상,9,1,3,0,1,0,4,0,0
