,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2021년08월_계_총인구수,"544,726","45,505","40,847","31,486","48,860","31,357","28,096","6,503","9,668","22,430","13,130","13,894","31,784","12,167","20,120","16,516","10,583","32,844","22,703","24,252","28,042","25,423","22,934","5,582"
2021년08월_계_연령구간인구수,"544,726","45,505","40,847","31,486","48,860","31,357","28,096","6,503","9,668","22,430","13,130","13,894","31,784","12,167","20,120","16,516","10,583","32,844","22,703","24,252","28,042","25,423","22,934","5,582"
2021년08월_계_0~9세,"48,484","4,334","2,235","3,767","6,375","4,685","3,204",326,424,"1,111",628,562,"2,663",608,"1,316",668,754,"2,529","1,773","2,322","2,764","2,292","1,997","1,147"
2021년08월_계_10~19세,"56,473","4,427","3,429","4,410","6,575","4,024","2,150",366,715,"1,542",906,"1,187","2,958",841,"1,860","1,197",738,"3,370","2,765","3,505","3,272","2,666","3,138",432
2021년08월_계_20~29세,"71,523","6,310","6,402","3,934","5,592","3,380","3,335","1,041","1,540","3,139","1,681","2,039","4,118","1,726","2,797","2,327","1,257","4,631","2,842","2,761","3,812","3,189","3,200",470
2021년08월_계_30~39세,"78,677","7,980","4,853","5,606","7,937","5,601","4,693",893,"1,184","2,916","1,479","1,566","4,304","1,551","2,541","1,825","1,592","4,557","2,459","3,084","4,330","3,353","2,733","1,640"
2021년08월_계_40~49세,"95,513","8,516","6,056","6,460","10,166","6,462","4,623",788,"1,255","3,158","1,823","1,984","4,989","1,788","2,930","2,237","1,542","5,744","4,364","5,447","5,381","4,473","4,279","1,048"
2021년08월_계_50~59세,"93,849","7,049","8,486","4,249","6,770","4,119","4,587","1,538","2,199","4,543","2,688","2,876","5,848","2,459","3,897","3,325","1,905","5,903","4,096","3,787","4,641","4,488","3,942",454
2021년08월_계_60~69세,"62,777","4,336","5,719","2,035","3,730","2,216","3,523","1,086","1,562","3,777","2,379","2,279","4,601","1,947","3,075","2,965","1,761","3,754","2,354","1,866","2,384","3,033","2,135",260
2021년08월_계_70~79세,"24,841","1,776","2,268",668,"1,166",604,"1,349",290,500,"1,538","1,068",938,"1,621",844,"1,080","1,277",672,"1,572","1,341",985,941,"1,252","1,000",91
