카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년01월_계_총인구수,"440,795","31,883","14,534","26,641","17,723","26,985","20,220","36,369","14,919","18,621","28,094","35,046","27,464","20,455","24,418","23,662","45,914",268,"27,579"
2020년01월_계_연령구간인구수,"440,795","31,883","14,534","26,641","17,723","26,985","20,220","36,369","14,919","18,621","28,094","35,046","27,464","20,455","24,418","23,662","45,914",268,"27,579"
2020년01월_계_0~9세,"32,825","2,759","1,213","2,182","1,196","3,349","2,262","2,428","1,332","2,109","1,613","1,934","1,562","1,614","1,200","1,404","2,698",7,"1,963"
2020년01월_계_10~19세,"38,907","4,482","1,667","2,782","2,654","3,476","1,778","2,863","1,022","1,982","1,953","2,040","1,443","1,854","1,322","1,981","3,205",8,"2,395"
2020년01월_계_20~29세,"59,405","3,901","1,753","3,326","2,275","2,645","2,230","4,989","1,988","2,054","3,948","4,987","4,078","2,758","3,899","3,610","6,932",20,"4,012"
2020년01월_계_30~39세,"68,470","3,358","2,048","4,193","1,871","4,067","3,489","5,641","2,806","2,697","4,207","6,309","4,889","3,380","4,349","3,653","7,415",27,"4,071"
2020년01월_계_40~49세,"70,987","5,610","2,372","4,359","3,172","5,494","3,299","5,755","2,370","3,331","4,218","5,164","4,010","3,457","3,633","3,707","6,902",52,"4,082"
2020년01월_계_50~59세,"71,420","4,991","2,479","4,198","2,885","3,639","3,149","6,160","2,214","2,727","4,834","6,075","4,580","3,104","3,998","4,023","7,659",33,"4,672"
2020년01월_계_60~69세,"58,402","3,696","1,896","3,437","2,368","2,663","2,553","4,918","1,795","2,323","4,232","4,833","4,007","2,530","3,456","3,077","6,659",55,"3,904"
2020년01월_계_70~79세,"28,667","2,007",794,"1,521",893,"1,066","1,023","2,590","1,027","1,008","2,227","2,685","2,095","1,265","1,853","1,633","3,200",39,"1,741"
