,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년10월_계_총인구수,"24,605","5,128","1,821","2,481","2,077","2,495","2,583","1,752","6,268"
2021년10월_계_연령구간인구수,"24,605","5,128","1,821","2,481","2,077","2,495","2,583","1,752","6,268"
2021년10월_계_0~9세,935,276,46,66,74,56,72,52,293
2021년10월_계_10~19세,"1,160",345,52,87,98,93,96,52,337
2021년10월_계_20~29세,"1,582",440,86,129,137,111,101,79,499
2021년10월_계_30~39세,"1,556",441,107,112,95,114,118,88,481
2021년10월_계_40~49세,"2,281",594,136,165,187,174,183,132,710
2021년10월_계_50~59세,"4,507",992,343,464,413,442,485,260,"1,108"
2021년10월_계_60~69세,"5,708",960,480,664,448,737,638,463,"1,318"
2021년10월_계_70~79세,"3,967",614,337,463,353,446,509,326,919
2021년10월_계_80~89세,"2,557",409,209,289,234,283,326,256,551
2021년10월_계_90~99세,340,53,25,41,35,38,52,44,52
2021년10월_계_100세 이상,12,4,0,1,3,1,3,0,0
2021년10월_남_총인구수,"12,253","2,530",906,"1,225","1,036","1,224","1,246",873,"3,213"
2021년10월_남_연령구간인구수,"12,253","2,530",906,"1,225","1,036","1,224","1,246",873,"3,213"
2021년10월_남_0~9세,482,143,22,34,38,29,41,25,150
2021년10월_남_10~19세,617,176,33,51,52,50,52,21,182
2021년10월_남_20~29세,953,254,51,76,80,61,63,47,321
2021년10월_남_30~39세,899,245,65,59,54,68,64,57,287
2021년10월_남_40~49세,"1,303",308,87,94,110,99,107,81,417
2021년10월_남_50~59세,"2,418",523,177,253,229,230,257,145,604
2021년10월_남_60~69세,"2,842",476,257,323,217,357,317,260,635
2021년10월_남_70~79세,"1,782",261,146,212,166,204,218,146,429
2021년10월_남_80~89세,888,137,65,116,82,118,112,79,179
2021년10월_남_90~99세,68,7,3,6,8,8,15,12,9
2021년10월_남_100세 이상,1,0,0,1,0,0,0,0,0
2021년10월_여_총인구수,"12,352","2,598",915,"1,256","1,041","1,271","1,337",879,"3,055"
2021년10월_여_연령구간인구수,"12,352","2,598",915,"1,256","1,041","1,271","1,337",879,"3,055"
2021년10월_여_0~9세,453,133,24,32,36,27,31,27,143
2021년10월_여_10~19세,543,169,19,36,46,43,44,31,155
2021년10월_여_20~29세,629,186,35,53,57,50,38,32,178
2021년10월_여_30~39세,657,196,42,53,41,46,54,31,194
2021년10월_여_40~49세,978,286,49,71,77,75,76,51,293
2021년10월_여_50~59세,"2,089",469,166,211,184,212,228,115,504
2021년10월_여_60~69세,"2,866",484,223,341,231,380,321,203,683
2021년10월_여_70~79세,"2,185",353,191,251,187,242,291,180,490
2021년10월_여_80~89세,"1,669",272,144,173,152,165,214,177,372
2021년10월_여_90~99세,272,46,22,35,27,30,37,32,43
2021년10월_여_100세 이상,11,4,0,0,3,1,3,0,0
