카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2021년08월_계_총인구수,"42,538","13,139","3,689","1,642","3,879","2,285","3,467","2,584","3,514","2,814","5,525"
2021년08월_계_연령구간인구수,"42,538","13,139","3,689","1,642","3,879","2,285","3,467","2,584","3,514","2,814","5,525"
2021년08월_계_0~9세,"1,522",827,72,47,120,77,49,53,106,48,123
2021년08월_계_10~19세,"2,862","1,382",239,108,177,159,182,87,170,106,252
2021년08월_계_20~29세,"3,147","1,542",202,90,199,171,193,109,193,153,295
2021년08월_계_30~39세,"2,365","1,103",131,85,175,124,129,99,169,102,248
2021년08월_계_40~49세,"4,434","1,881",329,134,382,237,306,212,302,181,470
2021년08월_계_50~59세,"7,115","2,209",622,303,638,455,571,400,559,441,917
2021년08월_계_60~69세,"8,572","2,038",792,340,875,509,709,569,717,687,"1,336"
2021년08월_계_70~79세,"6,655","1,225",686,269,702,342,710,492,647,534,"1,048"
2021년08월_계_80~89세,"4,936",794,520,227,508,175,517,484,524,462,725
2021년08월_계_90~99세,914,136,94,39,102,36,95,77,126,100,109
2021년08월_계_100세 이상,16,2,2,0,1,0,6,2,1,0,2
2021년08월_남_총인구수,"20,581","6,437","1,772",803,"1,884","1,182","1,663","1,237","1,644","1,334","2,625"
2021년08월_남_연령구간인구수,"20,581","6,437","1,772",803,"1,884","1,182","1,663","1,237","1,644","1,334","2,625"
2021년08월_남_0~9세,791,408,34,28,70,36,26,32,57,27,73
2021년08월_남_10~19세,"1,571",739,149,55,104,83,98,53,101,51,138
2021년08월_남_20~29세,"1,944",930,125,63,124,119,120,81,103,98,181
2021년08월_남_30~39세,"1,227",544,71,37,95,65,76,58,90,57,134
2021년08월_남_40~49세,"2,375",897,179,74,216,131,185,133,177,99,284
2021년08월_남_50~59세,"3,851","1,132",356,175,358,250,322,236,296,236,490
2021년08월_남_60~69세,"4,198",964,382,176,424,265,344,276,345,356,666
2021년08월_남_70~79세,"2,944",545,291,115,321,167,325,208,289,245,438
2021년08월_남_80~89세,"1,520",260,163,76,156,61,144,151,157,147,205
2021년08월_남_90~99세,159,18,21,4,16,5,23,9,29,18,16
2021년08월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"21,957","6,702","1,917",839,"1,995","1,103","1,804","1,347","1,870","1,480","2,900"
2021년08월_여_연령구간인구수,"21,957","6,702","1,917",839,"1,995","1,103","1,804","1,347","1,870","1,480","2,900"
2021년08월_여_0~9세,731,419,38,19,50,41,23,21,49,21,50
2021년08월_여_10~19세,"1,291",643,90,53,73,76,84,34,69,55,114
2021년08월_여_20~29세,"1,203",612,77,27,75,52,73,28,90,55,114
2021년08월_여_30~39세,"1,138",559,60,48,80,59,53,41,79,45,114
2021년08월_여_40~49세,"2,059",984,150,60,166,106,121,79,125,82,186
2021년08월_여_50~59세,"3,264","1,077",266,128,280,205,249,164,263,205,427
2021년08월_여_60~69세,"4,374","1,074",410,164,451,244,365,293,372,331,670
2021년08월_여_70~79세,"3,711",680,395,154,381,175,385,284,358,289,610
2021년08월_여_80~89세,"3,416",534,357,151,352,114,373,333,367,315,520
2021년08월_여_90~99세,755,118,73,35,86,31,72,68,97,82,93
2021년08월_여_100세 이상,15,2,1,0,1,0,6,2,1,0,2
