,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년12월_계_총인구수,"47,858","13,878","2,721","6,681",679,"2,740","2,482","1,693","6,287","7,410","1,280","2,007"
2021년12월_계_연령구간인구수,"47,858","13,878","2,721","6,681",679,"2,740","2,482","1,693","6,287","7,410","1,280","2,007"
2021년12월_계_0~9세,"2,725","1,023",48,757,5,107,48,42,288,342,21,44
2021년12월_계_10~19세,"3,559","1,603",194,459,20,112,96,65,359,538,35,78
2021년12월_계_20~29세,"4,253","1,536",164,720,42,182,159,89,634,595,39,93
2021년12월_계_30~39세,"4,076","1,335",147,"1,071",24,163,118,50,526,525,39,78
2021년12월_계_40~49세,"5,986","2,233",203,968,58,288,140,134,790,915,105,152
2021년12월_계_50~59세,"8,320","2,419",435,"1,050",132,485,401,263,"1,196","1,312",294,333
2021년12월_계_60~69세,"8,814","1,871",575,850,161,612,606,390,"1,307","1,636",337,469
2021년12월_계_70~79세,"5,534","1,066",495,459,120,376,434,339,687,992,217,349
2021년12월_계_80~89세,"3,883",675,383,303,104,351,395,266,436,462,173,335
2021년12월_계_90~99세,695,114,76,40,13,64,84,54,64,92,19,75
2021년12월_계_100세 이상,13,3,1,4,0,0,1,1,0,1,1,1
2021년12월_남_총인구수,"24,026","7,018","1,297","3,534",351,"1,383","1,183",816,"3,244","3,619",630,951
2021년12월_남_연령구간인구수,"24,026","7,018","1,297","3,534",351,"1,383","1,183",816,"3,244","3,619",630,951
2021년12월_남_0~9세,"1,406",533,26,384,3,66,24,19,146,173,12,20
2021년12월_남_10~19세,"1,897",834,132,238,10,59,45,38,194,291,18,38
2021년12월_남_20~29세,"2,525",891,91,437,23,107,109,50,393,346,24,54
2021년12월_남_30~39세,"2,255",719,82,584,18,97,75,31,304,271,25,49
2021년12월_남_40~49세,"3,271","1,117",123,549,40,175,75,76,460,505,53,98
2021년12월_남_50~59세,"4,570","1,273",246,603,87,281,232,156,657,675,161,199
2021년12월_남_60~69세,"4,390",943,262,430,86,316,307,200,656,764,183,243
2021년12월_남_70~79세,"2,429",466,202,218,49,161,186,150,312,437,95,153
2021년12월_남_80~89세,"1,161",226,118,88,34,110,116,83,109,137,51,89
2021년12월_남_90~99세,121,16,15,2,1,11,14,13,13,20,8,8
2021년12월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"23,832","6,860","1,424","3,147",328,"1,357","1,299",877,"3,043","3,791",650,"1,056"
2021년12월_여_연령구간인구수,"23,832","6,860","1,424","3,147",328,"1,357","1,299",877,"3,043","3,791",650,"1,056"
2021년12월_여_0~9세,"1,319",490,22,373,2,41,24,23,142,169,9,24
2021년12월_여_10~19세,"1,662",769,62,221,10,53,51,27,165,247,17,40
2021년12월_여_20~29세,"1,728",645,73,283,19,75,50,39,241,249,15,39
2021년12월_여_30~39세,"1,821",616,65,487,6,66,43,19,222,254,14,29
2021년12월_여_40~49세,"2,715","1,116",80,419,18,113,65,58,330,410,52,54
2021년12월_여_50~59세,"3,750","1,146",189,447,45,204,169,107,539,637,133,134
2021년12월_여_60~69세,"4,424",928,313,420,75,296,299,190,651,872,154,226
2021년12월_여_70~79세,"3,105",600,293,241,71,215,248,189,375,555,122,196
2021년12월_여_80~89세,"2,722",449,265,215,70,241,279,183,327,325,122,246
2021년12월_여_90~99세,574,98,61,38,12,53,70,41,51,72,11,67
2021년12월_여_100세 이상,12,3,1,3,0,0,1,1,0,1,1,1
