,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년04월_계_총인구수,"184,211","57,853","5,487","7,578","3,421","5,634","15,617","5,238","6,172","7,573","6,870","3,505","1,937","12,633","22,608","22,085"
2020년04월_계_연령구간인구수,"184,211","57,853","5,487","7,578","3,421","5,634","15,617","5,238","6,172","7,573","6,870","3,505","1,937","12,633","22,608","22,085"
2020년04월_계_0~9세,"14,584","6,218",182,477,94,236,"1,525",148,414,307,244,95,51,750,"2,119","1,724"
2020년04월_계_10~19세,"18,141","7,475",314,682,155,282,"1,187",277,357,442,396,199,84,"1,109","2,567","2,615"
2020년04월_계_20~29세,"21,842","6,545",538,727,307,519,"2,079",478,766,663,693,390,183,"1,615","3,098","3,241"
2020년04월_계_30~39세,"23,294","8,524",438,714,262,532,"2,777",393,870,647,571,290,147,"1,433","3,046","2,650"
2020년04월_계_40~49세,"29,993","11,772",575,"1,123",357,687,"2,526",569,878,844,817,351,193,"1,793","3,951","3,557"
2020년04월_계_50~59세,"30,984","8,298","1,086","1,344",706,"1,072","2,395","1,071","1,193","1,448","1,444",665,387,"2,283","3,663","3,929"
2020년04월_계_60~69세,"23,711","4,906","1,121","1,304",728,"1,125","1,740","1,136",911,"1,600","1,326",738,436,"1,905","2,350","2,385"
2020년04월_계_70~79세,"13,336","2,724",722,693,469,691,884,638,481,966,829,472,263,"1,083","1,163","1,258"
2020년04월_계_80~89세,"7,318","1,239",447,449,306,430,442,434,261,570,503,283,169,574,575,636
2020년04월_계_90~99세,953,146,59,62,35,55,58,91,38,80,43,21,23,81,74,87
2020년04월_계_100세 이상,55,6,5,3,2,5,4,3,3,6,4,1,1,7,2,3
2020년04월_남_총인구수,"94,781","29,128","2,898","3,801","1,794","3,048","8,665","2,757","3,403","3,942","3,644","1,864","1,004","6,346","11,410","11,077"
2020년04월_남_연령구간인구수,"94,781","29,128","2,898","3,801","1,794","3,048","8,665","2,757","3,403","3,942","3,644","1,864","1,004","6,346","11,410","11,077"
2020년04월_남_0~9세,"7,491","3,127",98,263,59,129,814,77,226,154,113,54,30,366,"1,093",888
2020년04월_남_10~19세,"9,419","3,881",181,348,88,147,582,133,185,237,204,102,43,564,"1,354","1,370"
2020년04월_남_20~29세,"11,995","3,448",313,392,188,327,"1,189",290,463,366,396,219,102,870,"1,656","1,776"
2020년04월_남_30~39세,"12,674","4,418",274,367,150,339,"1,616",237,521,392,343,191,86,777,"1,561","1,402"
2020년04월_남_40~49세,"16,021","6,020",345,600,211,430,"1,547",337,538,497,482,216,117,948,"2,040","1,693"
2020년04월_남_50~59세,"16,375","4,300",597,693,388,571,"1,383",615,639,781,816,361,205,"1,153","1,875","1,998"
2020년04월_남_60~69세,"11,943","2,291",597,672,374,606,920,599,493,817,706,388,220,935,"1,143","1,182"
2020년04월_남_70~79세,"6,060","1,194",325,299,212,333,431,307,232,471,386,223,132,494,494,527
2020년04월_남_80~89세,"2,591",412,159,155,115,154,172,147,92,209,186,108,64,219,175,224
2020년04월_남_90~99세,201,36,9,11,8,11,10,15,13,16,12,2,5,18,18,17
2020년04월_남_100세 이상,11,1,0,1,1,1,1,0,1,2,0,0,0,2,1,0
2020년04월_여_총인구수,"89,430","28,725","2,589","3,777","1,627","2,586","6,952","2,481","2,769","3,631","3,226","1,641",933,"6,287","11,198","11,008"
2020년04월_여_연령구간인구수,"89,430","28,725","2,589","3,777","1,627","2,586","6,952","2,481","2,769","3,631","3,226","1,641",933,"6,287","11,198","11,008"
2020년04월_여_0~9세,"7,093","3,091",84,214,35,107,711,71,188,153,131,41,21,384,"1,026",836
2020년04월_여_10~19세,"8,722","3,594",133,334,67,135,605,144,172,205,192,97,41,545,"1,213","1,245"
2020년04월_여_20~29세,"9,847","3,097",225,335,119,192,890,188,303,297,297,171,81,745,"1,442","1,465"
2020년04월_여_30~39세,"10,620","4,106",164,347,112,193,"1,161",156,349,255,228,99,61,656,"1,485","1,248"
2020년04월_여_40~49세,"13,972","5,752",230,523,146,257,979,232,340,347,335,135,76,845,"1,911","1,864"
2020년04월_여_50~59세,"14,609","3,998",489,651,318,501,"1,012",456,554,667,628,304,182,"1,130","1,788","1,931"
2020년04월_여_60~69세,"11,768","2,615",524,632,354,519,820,537,418,783,620,350,216,970,"1,207","1,203"
2020년04월_여_70~79세,"7,276","1,530",397,394,257,358,453,331,249,495,443,249,131,589,669,731
2020년04월_여_80~89세,"4,727",827,288,294,191,276,270,287,169,361,317,175,105,355,400,412
2020년04월_여_90~99세,752,110,50,51,27,44,48,76,25,64,31,19,18,63,56,70
2020년04월_여_100세 이상,44,5,5,2,1,4,3,3,2,4,4,1,1,5,1,3
