,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년06월_계_총인구수,"46,316","20,324","3,257","4,281","2,233","1,915","2,361","3,156",980,"2,784","1,830","3,195"
2021년06월_계_연령구간인구수,"46,316","20,324","3,257","4,281","2,233","1,915","2,361","3,156",980,"2,784","1,830","3,195"
2021년06월_계_0~9세,"2,211","1,469",92,166,44,50,65,100,26,73,33,93
2021년06월_계_10~19세,"3,243","1,964",151,292,103,89,105,172,51,103,79,134
2021년06월_계_20~29세,"4,081","2,483",218,270,136,113,107,279,40,150,102,183
2021년06월_계_30~39세,"3,079","1,860",161,252,86,71,100,168,31,117,63,170
2021년06월_계_40~49세,"5,102","2,925",291,408,209,150,179,263,68,187,163,259
2021년06월_계_50~59세,"8,097","3,425",623,771,426,337,377,601,189,464,326,558
2021년06월_계_60~69세,"9,623","3,121",842,"1,017",546,488,617,730,251,761,433,817
2021년06월_계_70~79세,"6,388","1,948",485,654,406,319,463,497,173,515,354,574
2021년06월_계_80~89세,"3,953","1,009",345,409,240,267,294,314,132,350,228,365
2021년06월_계_90~99세,526,116,47,42,37,30,51,32,18,62,49,42
2021년06월_계_100세 이상,13,4,2,0,0,1,3,0,1,2,0,0
2021년06월_남_총인구수,"23,096","10,040","1,665","2,150","1,108",953,"1,162","1,611",487,"1,402",914,"1,604"
2021년06월_남_연령구간인구수,"23,096","10,040","1,665","2,150","1,108",953,"1,162","1,611",487,"1,402",914,"1,604"
2021년06월_남_0~9세,"1,131",737,50,95,23,25,28,43,15,44,21,50
2021년06월_남_10~19세,"1,684","1,018",73,153,54,47,63,99,28,43,40,66
2021년06월_남_20~29세,"2,309","1,340",122,159,79,71,64,181,21,100,60,112
2021년06월_남_30~39세,"1,626",940,102,130,48,42,55,94,20,62,43,90
2021년06월_남_40~49세,"2,768","1,484",161,232,120,94,106,157,39,122,97,156
2021년06월_남_50~59세,"4,320","1,770",343,420,234,182,215,329,109,255,171,292
2021년06월_남_60~69세,"4,958","1,556",452,525,269,254,323,380,138,391,242,428
2021년06월_남_70~79세,"2,820",832,240,281,191,138,201,215,71,237,149,265
2021년06월_남_80~89세,"1,361",343,111,148,81,93,97,105,41,134,78,130
2021년06월_남_90~99세,116,19,11,7,9,7,8,8,5,14,13,15
2021년06월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0
2021년06월_여_총인구수,"23,220","10,284","1,592","2,131","1,125",962,"1,199","1,545",493,"1,382",916,"1,591"
2021년06월_여_연령구간인구수,"23,220","10,284","1,592","2,131","1,125",962,"1,199","1,545",493,"1,382",916,"1,591"
2021년06월_여_0~9세,"1,080",732,42,71,21,25,37,57,11,29,12,43
2021년06월_여_10~19세,"1,559",946,78,139,49,42,42,73,23,60,39,68
2021년06월_여_20~29세,"1,772","1,143",96,111,57,42,43,98,19,50,42,71
2021년06월_여_30~39세,"1,453",920,59,122,38,29,45,74,11,55,20,80
2021년06월_여_40~49세,"2,334","1,441",130,176,89,56,73,106,29,65,66,103
2021년06월_여_50~59세,"3,777","1,655",280,351,192,155,162,272,80,209,155,266
2021년06월_여_60~69세,"4,665","1,565",390,492,277,234,294,350,113,370,191,389
2021년06월_여_70~79세,"3,568","1,116",245,373,215,181,262,282,102,278,205,309
2021년06월_여_80~89세,"2,592",666,234,261,159,174,197,209,91,216,150,235
2021년06월_여_90~99세,410,97,36,35,28,23,43,24,13,48,36,27
2021년06월_여_100세 이상,10,3,2,0,0,1,1,0,1,2,0,0
