,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년10월_계_총인구수,"1,076,564","474,658","15,169","23,773","45,433","21,859","11,548","11,264","22,422","20,726","30,534","36,649","15,726","38,241","33,576","19,213","22,247","32,563","46,145","25,029","2,541","298,726","34,658","47,531","23,739","39,297","30,911","20,902","24,545","16,719","10,704","26,751","22,969","303,180","27,816","18,781","36,238","52,411","28,164","29,451","36,462","21,884","51,973"
2020년10월_계_연령구간인구수,"1,076,564","474,658","15,169","23,773","45,433","21,859","11,548","11,264","22,422","20,726","30,534","36,649","15,726","38,241","33,576","19,213","22,247","32,563","46,145","25,029","2,541","298,726","34,658","47,531","23,739","39,297","30,911","20,902","24,545","16,719","10,704","26,751","22,969","303,180","27,816","18,781","36,238","52,411","28,164","29,451","36,462","21,884","51,973"
2020년10월_계_0~9세,"82,451","38,587",584,"3,171","5,493","1,333",667,"1,525","2,230","2,554","2,306","2,180",928,"2,074","2,711",746,"1,460","2,315","2,802","3,424",84,"20,883","3,339","3,484","1,247","3,249","2,075",912,"1,443","1,243","1,370","1,122","1,399","22,981","2,042",944,"2,672","4,725","1,926","2,033","2,288","1,669","4,682"
2020년10월_계_10~19세,"105,464","41,535","1,240","1,937","3,926","1,891","1,083",794,"1,443","1,487","3,178","2,846","1,246","3,728","3,822","1,253","2,095","2,892","4,938","1,599",137,"29,796","4,672","4,550","2,149","4,591","2,810","1,358","3,310","2,243",949,"1,602","1,562","34,133","2,694","1,522","5,897","5,679","3,304","3,236","3,082","2,323","6,396"
2020년10월_계_20~29세,"150,740","62,797","2,152","2,316","5,103","2,988","1,464","1,476","2,719","2,331","3,581","4,376","2,130","6,251","4,641","2,884","3,142","5,038","6,958","2,830",417,"44,919","4,767","7,021","4,044","5,402","5,013","3,427","3,879","2,300","1,133","5,002","2,931","43,024","4,034","2,809","4,854","7,540","3,707","3,873","6,398","3,138","6,671"
2020년10월_계_30~39세,"142,116","67,274","1,524","4,070","7,779","2,520","1,295","2,380","4,256","4,589","3,379","4,151","1,806","4,306","4,347","2,292","2,755","4,923","5,113","5,517",272,"38,125","3,755","5,604","2,925","4,744","4,502","3,388","2,277","1,605","1,640","4,783","2,902","36,717","3,257","1,945","3,520","7,176","3,295","3,367","5,370","2,952","5,835"
2020년10월_계_40~49세,"182,591","78,543","2,208","4,294","8,430","3,526","1,790","1,839","3,617","3,600","5,321","5,762","2,287","5,977","6,320","2,795","3,612","5,050","7,613","4,199",303,"51,376","6,931","7,443","3,667","6,924","5,109","3,769","4,221","3,005","1,951","4,867","3,489","52,672","4,414","2,620","7,304","9,344","4,728","4,885","5,706","3,790","9,881"
2020년10월_계_50~59세,"194,323","82,583","3,196","3,308","6,429","4,242","2,102","1,529","3,259","2,611","5,053","6,946","3,193","7,635","5,782","4,047","4,261","6,038","9,277","3,199",476,"55,705","6,211","9,280","4,507","6,995","5,731","3,847","4,833","3,126","1,860","4,771","4,544","56,035","5,272","4,238","6,516","9,543","5,030","5,252","6,816","3,977","9,391"
2020년10월_계_60~69세,"119,335","56,003","2,325","2,745","4,645","2,879","1,597",951,"2,663","2,052","4,041","5,702","2,274","4,038","3,076","2,925","2,727","3,321","5,095","2,493",454,"32,245","2,885","5,556","2,926","4,144","3,296","2,276","2,540","1,550","1,159","2,442","3,471","31,087","3,244","2,677","3,127","4,500","3,024","3,176","3,819","2,282","5,238"
2020년10월_계_70~79세,"61,832","30,324","1,240","1,318","2,468","1,578",941,489,"1,523","1,029","2,450","3,106","1,191","2,566","1,722","1,432","1,376","1,845","2,634","1,153",263,"15,527","1,343","2,738","1,442","2,012","1,492","1,151","1,192",848,446,"1,245","1,618","15,981","1,819","1,242","1,363","2,345","1,747","1,973","1,882","1,094","2,516"
2020년10월_계_80~89세,"32,645","14,755",613,536,"1,029",786,541,219,627,390,"1,077","1,332",566,"1,476","1,023",727,725,997,"1,479",498,114,"8,717",649,"1,579",726,"1,071",772,672,723,685,158,810,872,"9,173",907,682,832,"1,352","1,224","1,446",961,583,"1,186"
2020년10월_계_90~99세,"4,735","2,046",80,73,126,106,64,42,70,71,135,206,93,174,128,106,90,135,232,100,15,"1,371",102,261,100,161,105,96,118,113,35,104,176,"1,318",122,97,147,203,172,200,133,74,170
2020년10월_계_100세 이상,332,211,7,5,5,10,4,20,15,12,13,42,12,16,4,6,4,9,4,17,6,62,4,15,6,4,6,6,9,1,3,3,5,59,11,5,6,4,7,10,7,2,7
2020년10월_남_총인구수,"527,169","234,680","7,835","11,427","22,111","10,877","5,585","5,504","10,836","10,326","15,354","18,621","8,075","18,578","16,306","10,020","10,837","16,013","22,439","12,471","1,465","145,358","16,874","22,973","11,481","18,947","14,739","10,118","11,831","7,901","5,497","12,997","12,000","147,131","13,494","9,326","17,583","25,705","13,187","13,800","17,624","10,792","25,620"
