카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년07월_계_총인구수,"50,768","29,114","3,225","1,432","1,955","2,337","3,041","4,277","2,318","3,069"
2020년07월_계_연령구간인구수,"50,768","29,114","3,225","1,432","1,955","2,337","3,041","4,277","2,318","3,069"
2020년07월_계_0~9세,"2,692","2,187",97,36,32,31,62,115,61,71
2020년07월_계_10~19세,"3,944","3,071",126,70,77,54,135,208,86,117
2020년07월_계_20~29세,"4,455","3,156",229,67,101,88,147,272,180,215
2020년07월_계_30~39세,"3,987","2,857",176,72,72,82,130,279,131,188
2020년07월_계_40~49세,"6,336","4,523",297,102,169,136,228,402,176,303
2020년07월_계_50~59세,"9,118","5,019",629,274,335,457,533,792,443,636
2020년07월_계_60~69세,"9,641","4,248",794,356,514,626,790,978,566,769
2020년07월_계_70~79세,"6,254","2,614",489,240,341,438,593,702,383,454
2020년07월_계_80~89세,"3,752","1,255",329,181,262,369,375,452,262,267
2020년07월_계_90~99세,561,178,58,33,45,53,44,74,30,46
2020년07월_계_100세 이상,28,6,1,1,7,3,4,3,0,3
2020년07월_남_총인구수,"25,574","14,568","1,661",718,987,"1,164","1,481","2,184","1,203","1,608"
2020년07월_남_연령구간인구수,"25,574","14,568","1,661",718,987,"1,164","1,481","2,184","1,203","1,608"
2020년07월_남_0~9세,"1,405","1,147",55,19,14,15,30,57,31,37
2020년07월_남_10~19세,"2,077","1,614",64,38,39,33,72,106,43,68
2020년07월_남_20~29세,"2,528","1,748",147,41,59,57,85,164,98,129
2020년07월_남_30~39세,"2,072","1,429",101,44,47,42,64,165,74,106
2020년07월_남_40~49세,"3,413","2,306",173,67,106,87,135,255,112,172
2020년07월_남_50~59세,"4,872","2,597",342,143,200,245,306,432,252,355
2020년07월_남_60~69세,"4,924","2,070",421,192,267,348,400,504,309,413
2020년07월_남_70~79세,"2,873","1,160",232,112,155,207,272,343,183,209
2020년07월_남_80~89세,"1,261",455,108,55,86,110,104,140,96,107
2020년07월_남_90~99세,142,41,18,7,11,20,12,16,5,12
2020년07월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년07월_여_총인구수,"25,194","14,546","1,564",714,968,"1,173","1,560","2,093","1,115","1,461"
2020년07월_여_연령구간인구수,"25,194","14,546","1,564",714,968,"1,173","1,560","2,093","1,115","1,461"
2020년07월_여_0~9세,"1,287","1,040",42,17,18,16,32,58,30,34
2020년07월_여_10~19세,"1,867","1,457",62,32,38,21,63,102,43,49
2020년07월_여_20~29세,"1,927","1,408",82,26,42,31,62,108,82,86
2020년07월_여_30~39세,"1,915","1,428",75,28,25,40,66,114,57,82
2020년07월_여_40~49세,"2,923","2,217",124,35,63,49,93,147,64,131
2020년07월_여_50~59세,"4,246","2,422",287,131,135,212,227,360,191,281
2020년07월_여_60~69세,"4,717","2,178",373,164,247,278,390,474,257,356
2020년07월_여_70~79세,"3,381","1,454",257,128,186,231,321,359,200,245
2020년07월_여_80~89세,"2,491",800,221,126,176,259,271,312,166,160
2020년07월_여_90~99세,419,137,40,26,34,33,32,58,25,34
2020년07월_여_100세 이상,21,5,1,1,4,3,3,1,0,3
