,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년07월_계_총인구수,"67,917","24,657","2,908","3,173","2,771","6,073","2,786","1,976","2,946","2,109","2,393","4,802","3,735","4,001","3,587"
2021년07월_계_연령구간인구수,"67,917","24,657","2,908","3,173","2,771","6,073","2,786","1,976","2,946","2,109","2,393","4,802","3,735","4,001","3,587"
2021년07월_계_0~9세,"3,758","2,207",88,120,63,273,91,38,78,69,70,181,172,185,123
2021년07월_계_10~19세,"5,055","2,869",144,121,125,356,164,86,150,79,124,234,193,223,187
2021년07월_계_20~29세,"5,518","2,781",215,200,145,455,177,122,193,84,130,281,229,257,249
2021년07월_계_30~39세,"4,773","2,453",153,182,127,367,120,72,121,98,104,265,253,234,224
2021년07월_계_40~49세,"7,772","3,760",254,280,224,612,243,155,303,197,229,394,379,372,370
2021년07월_계_50~59세,"11,427","4,110",550,517,481,"1,058",459,330,499,288,410,819,609,685,612
2021년07월_계_60~69세,"12,630","3,351",623,675,630,"1,241",584,409,574,472,477,"1,180",746,869,799
2021년07월_계_70~79세,"9,888","2,011",524,640,560,982,555,416,539,402,460,825,690,711,573
2021년07월_계_80~89세,"6,173",970,304,397,361,653,349,305,414,365,326,547,401,401,380
2021년07월_계_90~99세,882,143,51,40,51,73,43,43,68,54,58,71,61,62,64
2021년07월_계_100세 이상,41,2,2,1,4,3,1,0,7,1,5,5,2,2,6
2021년07월_남_총인구수,"33,608","12,122","1,463","1,579","1,384","2,976","1,351",937,"1,476",989,"1,210","2,356","1,908","2,002","1,855"
2021년07월_남_연령구간인구수,"33,608","12,122","1,463","1,579","1,384","2,976","1,351",937,"1,476",989,"1,210","2,356","1,908","2,002","1,855"
2021년07월_남_0~9세,"1,900","1,106",41,66,35,134,43,22,43,31,41,89,87,98,64
2021년07월_남_10~19세,"2,623","1,471",79,63,67,181,86,43,84,44,71,127,97,119,91
2021년07월_남_20~29세,"3,111","1,512",118,100,95,279,101,67,98,52,82,178,130,162,137
2021년07월_남_30~39세,"2,539","1,202",93,117,83,215,60,40,72,47,59,152,142,118,139
2021년07월_남_40~49세,"4,332","1,809",158,183,132,356,147,98,188,127,152,235,272,223,252
2021년07월_남_50~59세,"6,343","2,150",301,305,280,562,254,194,294,159,259,459,356,393,377
2021년07월_남_60~69세,"6,333","1,633",331,329,328,589,288,206,306,232,239,588,406,434,424
2021년07월_남_70~79세,"4,344",906,228,286,246,441,245,162,238,175,197,355,293,328,244
2021년07월_남_80~89세,"1,928",304,102,122,111,211,113,100,142,109,98,163,120,118,115
2021년07월_남_90~99세,155,29,12,8,7,8,14,5,11,13,12,10,5,9,12
2021년07월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"34,309","12,535","1,445","1,594","1,387","3,097","1,435","1,039","1,470","1,120","1,183","2,446","1,827","1,999","1,732"
2021년07월_여_연령구간인구수,"34,309","12,535","1,445","1,594","1,387","3,097","1,435","1,039","1,470","1,120","1,183","2,446","1,827","1,999","1,732"
2021년07월_여_0~9세,"1,858","1,101",47,54,28,139,48,16,35,38,29,92,85,87,59
2021년07월_여_10~19세,"2,432","1,398",65,58,58,175,78,43,66,35,53,107,96,104,96
2021년07월_여_20~29세,"2,407","1,269",97,100,50,176,76,55,95,32,48,103,99,95,112
2021년07월_여_30~39세,"2,234","1,251",60,65,44,152,60,32,49,51,45,113,111,116,85
2021년07월_여_40~49세,"3,440","1,951",96,97,92,256,96,57,115,70,77,159,107,149,118
2021년07월_여_50~59세,"5,084","1,960",249,212,201,496,205,136,205,129,151,360,253,292,235
2021년07월_여_60~69세,"6,297","1,718",292,346,302,652,296,203,268,240,238,592,340,435,375
2021년07월_여_70~79세,"5,544","1,105",296,354,314,541,310,254,301,227,263,470,397,383,329
2021년07월_여_80~89세,"4,245",666,202,275,250,442,236,205,272,256,228,384,281,283,265
2021년07월_여_90~99세,727,114,39,32,44,65,29,38,57,41,46,61,56,53,52
2021년07월_여_100세 이상,41,2,2,1,4,3,1,0,7,1,5,5,2,2,6
