카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년01월_계_총인구수,"27,665","10,257","1,552","2,015","1,725","1,747","1,428","1,953","2,202","1,303","1,128","2,355"
2021년01월_계_연령구간인구수,"27,665","10,257","1,552","2,015","1,725","1,747","1,428","1,953","2,202","1,303","1,128","2,355"
2021년01월_계_0~9세,"1,496",852,61,69,63,47,60,68,116,39,52,69
2021년01월_계_10~19세,"2,202","1,325",94,95,86,69,70,117,142,35,49,120
2021년01월_계_20~29세,"2,059","1,035",100,105,91,100,83,117,128,99,75,126
2021년01월_계_30~39세,"1,970",996,102,101,110,110,101,93,121,72,63,101
2021년01월_계_40~49세,"3,289","1,625",136,205,187,138,117,187,209,129,120,236
2021년01월_계_50~59세,"4,483","1,532",276,338,262,318,247,349,411,201,153,396
2021년01월_계_60~69세,"4,843","1,325",298,400,329,413,275,437,433,256,212,465
2021년01월_계_70~79세,"4,172",957,254,397,328,291,251,343,394,264,212,481
2021년01월_계_80~89세,"2,744",520,203,265,240,231,205,206,208,180,177,309
2021년01월_계_90~99세,380,85,23,37,27,28,18,36,38,24,14,50
2021년01월_계_100세 이상,27,5,5,3,2,2,1,0,2,4,1,2
2021년01월_남_총인구수,"13,457","4,980",744,984,858,862,705,967,"1,050",637,529,"1,141"
2021년01월_남_연령구간인구수,"13,457","4,980",744,984,858,862,705,967,"1,050",637,529,"1,141"
2021년01월_남_0~9세,763,453,29,35,29,23,32,28,60,10,30,34
2021년01월_남_10~19세,"1,142",676,47,49,46,39,39,70,72,21,25,58
2021년01월_남_20~29세,"1,143",557,61,54,60,56,46,64,79,62,34,70
2021년01월_남_30~39세,957,447,43,57,69,67,49,49,51,38,31,56
2021년01월_남_40~49세,"1,864",846,75,142,114,91,73,111,108,82,77,145
2021년01월_남_50~59세,"2,435",813,162,176,152,164,146,176,223,119,88,216
2021년01월_남_60~69세,"2,462",622,155,228,167,235,141,237,220,126,104,227
2021년01월_남_70~79세,"1,709",378,111,152,143,115,104,146,162,105,89,204
2021년01월_남_80~89세,883,169,56,85,71,64,71,74,62,64,50,117
2021년01월_남_90~99세,99,19,5,6,7,8,4,12,13,10,1,14
2021년01월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년01월_여_총인구수,"14,208","5,277",808,"1,031",867,885,723,986,"1,152",666,599,"1,214"
2021년01월_여_연령구간인구수,"14,208","5,277",808,"1,031",867,885,723,986,"1,152",666,599,"1,214"
2021년01월_여_0~9세,733,399,32,34,34,24,28,40,56,29,22,35
2021년01월_여_10~19세,"1,060",649,47,46,40,30,31,47,70,14,24,62
2021년01월_여_20~29세,916,478,39,51,31,44,37,53,49,37,41,56
2021년01월_여_30~39세,"1,013",549,59,44,41,43,52,44,70,34,32,45
2021년01월_여_40~49세,"1,425",779,61,63,73,47,44,76,101,47,43,91
2021년01월_여_50~59세,"2,048",719,114,162,110,154,101,173,188,82,65,180
2021년01월_여_60~69세,"2,381",703,143,172,162,178,134,200,213,130,108,238
2021년01월_여_70~79세,"2,463",579,143,245,185,176,147,197,232,159,123,277
2021년01월_여_80~89세,"1,861",351,147,180,169,167,134,132,146,116,127,192
2021년01월_여_90~99세,281,66,18,31,20,20,14,24,25,14,13,36
2021년01월_여_100세 이상,27,5,5,3,2,2,1,0,2,4,1,2
