카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년08월_계_총인구수,"81,347","2,633","2,432","2,484","3,510","3,733","1,296","2,475","1,751","1,770","2,588","4,983","2,207","1,871","4,536","1,335","11,050","12,760","11,475","6,458"
2021년08월_계_연령구간인구수,"81,347","2,633","2,432","2,484","3,510","3,733","1,296","2,475","1,751","1,770","2,588","4,983","2,207","1,871","4,536","1,335","11,050","12,760","11,475","6,458"
2021년08월_계_0~9세,"4,040",78,60,67,84,117,43,60,51,46,36,190,73,43,120,42,714,845,946,425
2021년08월_계_10~19세,"6,078",122,96,116,150,195,56,120,77,70,98,300,85,70,191,58,"1,019","1,397","1,353",505
2021년08월_계_20~29세,"7,004",161,113,140,256,253,81,182,83,102,128,405,116,144,301,73,"1,250","1,344","1,327",545
2021년08월_계_30~39세,"6,342",151,121,153,198,255,83,151,95,94,124,316,120,88,263,77,"1,095","1,204","1,152",602
2021년08월_계_40~49세,"9,656",244,209,235,318,368,98,200,161,174,227,537,181,162,411,134,"1,570","1,860","1,821",746
2021년08월_계_50~59세,"13,342",414,338,419,556,637,192,424,273,264,376,943,310,333,840,205,"1,785","2,128","1,872","1,033"
2021년08월_계_60~69세,"14,982",655,598,547,792,775,280,572,380,399,585,"1,027",497,402,"1,022",279,"1,741","1,823","1,489","1,119"
2021년08월_계_70~79세,"11,348",429,488,486,644,648,244,403,333,342,567,761,426,337,774,275,"1,138","1,282",920,851
2021년08월_계_80~89세,"7,278",322,353,274,422,408,190,305,253,227,379,437,348,256,514,163,618,779,491,539
2021년08월_계_90~99세,"1,234",57,55,42,88,76,29,54,45,50,67,66,47,35,92,29,116,98,103,85
2021년08월_계_100세 이상,43,0,1,5,2,1,0,4,0,2,1,1,4,1,8,0,4,0,1,8
2021년08월_남_총인구수,"40,383","1,324","1,197","1,329","1,792","1,826",616,"1,269",877,893,"1,251","2,546","1,092",945,"2,288",691,"5,453","6,184","5,596","3,214"
2021년08월_남_연령구간인구수,"40,383","1,324","1,197","1,329","1,792","1,826",616,"1,269",877,893,"1,251","2,546","1,092",945,"2,288",691,"5,453","6,184","5,596","3,214"
2021년08월_남_0~9세,"2,103",48,33,37,46,60,21,29,30,21,19,98,44,20,53,21,367,439,487,230
2021년08월_남_10~19세,"3,089",70,57,65,79,91,32,62,42,40,48,156,42,38,105,29,490,708,682,253
2021년08월_남_20~29세,"3,886",96,74,86,142,133,49,109,52,62,78,217,72,83,179,45,671,725,708,305
2021년08월_남_30~39세,"3,396",85,70,99,120,144,48,87,57,57,75,185,76,57,155,45,566,604,569,297
2021년08월_남_40~49세,"5,414",150,136,158,219,218,62,126,102,111,149,331,127,104,258,100,811,942,889,421
2021년08월_남_50~59세,"7,353",235,195,274,312,351,103,252,157,157,221,517,178,197,476,122,946,"1,083","1,001",576
2021년08월_남_60~69세,"7,572",333,300,288,429,394,139,307,186,221,299,546,253,223,532,141,829,869,714,569
2021년08월_남_70~79세,"4,992",203,224,226,294,291,100,188,149,143,229,335,178,140,345,120,529,543,377,378
2021년08월_남_80~89세,"2,296",94,100,88,126,121,54,91,93,69,122,143,112,75,158,58,215,245,155,177
2021년08월_남_90~99세,276,10,7,8,24,22,8,18,9,12,10,18,10,8,27,10,27,26,14,8
2021년08월_남_100세 이상,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2021년08월_여_총인구수,"40,964","1,309","1,235","1,155","1,718","1,907",680,"1,206",874,877,"1,337","2,437","1,115",926,"2,248",644,"5,597","6,576","5,879","3,244"
2021년08월_여_연령구간인구수,"40,964","1,309","1,235","1,155","1,718","1,907",680,"1,206",874,877,"1,337","2,437","1,115",926,"2,248",644,"5,597","6,576","5,879","3,244"
2021년08월_여_0~9세,"1,937",30,27,30,38,57,22,31,21,25,17,92,29,23,67,21,347,406,459,195
2021년08월_여_10~19세,"2,989",52,39,51,71,104,24,58,35,30,50,144,43,32,86,29,529,689,671,252
2021년08월_여_20~29세,"3,118",65,39,54,114,120,32,73,31,40,50,188,44,61,122,28,579,619,619,240
2021년08월_여_30~39세,"2,946",66,51,54,78,111,35,64,38,37,49,131,44,31,108,32,529,600,583,305
2021년08월_여_40~49세,"4,242",94,73,77,99,150,36,74,59,63,78,206,54,58,153,34,759,918,932,325
2021년08월_여_50~59세,"5,989",179,143,145,244,286,89,172,116,107,155,426,132,136,364,83,839,"1,045",871,457
2021년08월_여_60~69세,"7,410",322,298,259,363,381,141,265,194,178,286,481,244,179,490,138,912,954,775,550
2021년08월_여_70~79세,"6,356",226,264,260,350,357,144,215,184,199,338,426,248,197,429,155,609,739,543,473
2021년08월_여_80~89세,"4,982",228,253,186,296,287,136,214,160,158,257,294,236,181,356,105,403,534,336,362
2021년08월_여_90~99세,958,47,48,34,64,54,21,36,36,38,57,48,37,27,65,19,89,72,89,77
2021년08월_여_100세 이상,37,0,0,5,1,0,0,4,0,2,0,1,4,1,8,0,2,0,1,8
