카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년08월_계_총인구수,"69,167","34,865","4,648","2,412","2,391","3,761","3,929","6,208","3,802","3,918","3,233"
2020년08월_계_연령구간인구수,"69,167","34,865","4,648","2,412","2,391","3,761","3,929","6,208","3,802","3,918","3,233"
2020년08월_계_0~9세,"3,846","2,698",127,41,51,134,96,367,98,118,116
2020년08월_계_10~19세,"5,251","3,616",163,112,110,204,160,409,135,193,149
2020년08월_계_20~29세,"6,939","4,174",395,145,115,270,260,846,249,289,196
2020년08월_계_30~39세,"6,173","3,959",315,104,99,207,195,595,253,251,195
2020년08월_계_40~49세,"8,324","5,343",386,152,201,321,347,565,357,353,299
2020년08월_계_50~59세,"12,895","6,067",836,466,496,826,781,"1,026",754,861,782
2020년08월_계_60~69세,"13,437","4,894","1,207",666,684,939,"1,068","1,175","1,047",936,821
2020년08월_계_70~79세,"7,317","2,535",702,420,376,486,606,699,555,521,417
2020년08월_계_80~89세,"4,321","1,363",426,259,233,330,371,464,296,354,225
2020년08월_계_90~99세,622,200,85,47,26,40,39,61,55,37,32
2020년08월_계_100세 이상,42,16,6,0,0,4,6,1,3,5,1
2020년08월_남_총인구수,"35,613","17,605","2,451","1,212","1,255","1,907","2,033","3,370","1,996","2,067","1,717"
2020년08월_남_연령구간인구수,"35,613","17,605","2,451","1,212","1,255","1,907","2,033","3,370","1,996","2,067","1,717"
2020년08월_남_0~9세,"1,939","1,345",61,25,33,71,46,191,47,59,61
2020년08월_남_10~19세,"2,719","1,867",89,64,65,105,93,180,71,107,78
2020년08월_남_20~29세,"4,207","2,409",263,87,64,167,155,634,143,171,114
2020년08월_남_30~39세,"3,372","2,089",191,52,63,104,114,349,162,142,106
2020년08월_남_40~49세,"4,472","2,704",243,91,128,180,207,323,212,215,169
2020년08월_남_50~59세,"6,799","3,140",456,243,255,425,422,550,393,473,442
2020년08월_남_60~69세,"6,955","2,443",631,347,361,485,547,631,568,509,433
2020년08월_남_70~79세,"3,453","1,088",352,192,201,245,307,334,267,250,217
2020년08월_남_80~89세,"1,518",470,139,99,76,113,130,161,113,130,87
2020년08월_남_90~99세,170,49,23,12,9,11,11,17,20,9,9
2020년08월_남_100세 이상,9,1,3,0,0,1,1,0,0,2,1
2020년08월_여_총인구수,"33,554","17,260","2,197","1,200","1,136","1,854","1,896","2,838","1,806","1,851","1,516"
2020년08월_여_연령구간인구수,"33,554","17,260","2,197","1,200","1,136","1,854","1,896","2,838","1,806","1,851","1,516"
2020년08월_여_0~9세,"1,907","1,353",66,16,18,63,50,176,51,59,55
2020년08월_여_10~19세,"2,532","1,749",74,48,45,99,67,229,64,86,71
2020년08월_여_20~29세,"2,732","1,765",132,58,51,103,105,212,106,118,82
2020년08월_여_30~39세,"2,801","1,870",124,52,36,103,81,246,91,109,89
2020년08월_여_40~49세,"3,852","2,639",143,61,73,141,140,242,145,138,130
2020년08월_여_50~59세,"6,096","2,927",380,223,241,401,359,476,361,388,340
2020년08월_여_60~69세,"6,482","2,451",576,319,323,454,521,544,479,427,388
2020년08월_여_70~79세,"3,864","1,447",350,228,175,241,299,365,288,271,200
2020년08월_여_80~89세,"2,803",893,287,160,157,217,241,303,183,224,138
2020년08월_여_90~99세,452,151,62,35,17,29,28,44,35,28,23
2020년08월_여_100세 이상,33,15,3,0,0,3,5,1,3,3,0
